,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Nick FaldoPlayoff: Beat Ray Floyd with par on second extra hole,,Win,71,72,66,69,12,10,3,-10,278,"$225,000",-,bio - career - this year - this tournament
1,Raymond FloydPlayoff: Lost to Nick Faldo who made par on second extra hole,,T2,70,68,68,72,5,1,1,-10,278,"$135,000",-,bio - career - this year - this tournament
2,Lanny Wadkins,,T3,72,73,70,68,20,19,12,-5,283,"$72,500",-,bio - career - this year - this tournament
3,John Huston,,T3,66,74,68,75,2,3,2,-5,283,"$72,500",-,bio - career - this year - this tournament
4,Fred Couples,,5,74,69,72,69,38,10,12,-4,284,"$50,000",-,bio - career - this year - this tournament
5,Jack Nicklaus,,6,72,70,69,74,20,5,4,-3,285,"$45,000",-,bio - career - this year - this tournament
6,Curtis Strange,,T7,70,73,71,72,5,10,10,-2,286,"$35,150",-,bio - career - this year - this tournament
7,Bill Britton,,T7,68,74,71,73,4,5,7,-2,286,"$35,150",-,bio - career - this year - this tournament
8,Bernhard Langer,,T7,70,73,69,74,5,10,5,-2,286,"$35,150",-,bio - career - this year - this tournament
9,Scott Simpson,,T7,74,71,68,73,38,19,7,-2,286,"$35,150",-,bio - career - this year - this tournament
10,Seve Ballesteros,,T7,74,73,68,71,38,34,12,-2,286,"$35,150",-,bio - career - this year - this tournament
11,Tom Watson,,T7,77,71,67,71,63,42,12,-2,286,"$35,150",-,bio - career - this year - this tournament
12,Jose Maria Olazabal,,13,72,73,68,74,20,19,7,-1,287,"$26,300",-,bio - career - this year - this tournament
13,Ronan Rafferty,,T14,72,74,69,73,20,24,12,E,288,"$20,650",-,bio - career - this year - this tournament
14,Craig Stadler,,T14,72,70,74,72,20,5,18,E,288,"$20,650",-,bio - career - this year - this tournament
15,Ben Crenshaw,,T14,72,74,73,69,20,24,27,E,288,"$20,650",-,bio - career - this year - this tournament
16,Tom Kite,,T14,75,73,66,74,50,42,10,E,288,"$20,650",-,bio - career - this year - this tournament
17,Larry Mize,,T14,70,76,71,71,5,24,19,E,288,"$20,650",-,bio - career - this year - this tournament
18,Scott Hoch,,T14,71,68,73,76,12,2,5,E,288,"$20,650",-,bio - career - this year - this tournament
19,Fuzzy Zoeller,,T20,72,74,73,70,20,24,27,+1,289,"$15,100",-,bio - career - this year - this tournament
20,Mark Calcavecchia,,T20,74,73,73,69,38,34,32,+1,289,"$15,100",-,bio - career - this year - this tournament
21,Steve Jones,,T20,77,69,72,71,63,24,22,+1,289,"$15,100",-,bio - career - this year - this tournament
22,Jumbo Ozaki,,23,70,71,77,72,5,4,22,+2,290,"$13,000",-,bio - career - this year - this tournament
23,Donnie Hammond,,T24,71,74,75,71,12,19,32,+3,291,"$11,000",-,bio - career - this year - this tournament
24,Gary Player,,T24,73,74,68,76,33,34,12,+3,291,"$11,000",-,bio - career - this year - this tournament
25,Lee Trevino,,T24,78,69,72,72,74,34,27,+3,291,"$11,000",-,bio - career - this year - this tournament
26,Wayne Grady,,T27,72,75,72,73,20,34,27,+4,292,"$9,267",-,bio - career - this year - this tournament
27,Andy North,,T27,71,73,77,71,12,14,35,+4,292,"$9,267",-,bio - career - this year - this tournament
28,Jeff Sluman,,T27,78,68,75,71,74,24,35,+4,292,"$9,267",-,bio - career - this year - this tournament
29,Peter Jacobsen,,T30,67,75,76,75,3,5,22,+5,293,"$8,133",-,bio - career - this year - this tournament
30,Ian Woosnam,,T30,72,75,70,76,20,34,19,+5,293,"$8,133",-,bio - career - this year - this tournament
31,Jodie Mudd,,T30,74,70,73,76,38,14,19,+5,293,"$8,133",-,bio - career - this year - this tournament
32,Joe Ozaki,,T33,75,73,74,72,50,42,43,+6,294,"$7,100",-,bio - career - this year - this tournament
33,Bill Glasson,,T33,70,75,76,73,5,19,35,+6,294,"$7,100",-,bio - career - this year - this tournament
34,Andy Bean,,T33,76,72,74,72,57,42,43,+6,294,"$7,100",-,bio - career - this year - this tournament
35,Bob Tway,,T36,72,76,73,74,20,42,35,+7,295,"$6,133",-,bio - career - this year - this tournament
36,Mark McCumber,,T36,74,74,76,71,38,42,46,+7,295,"$6,133",-,bio - career - this year - this tournament
37,Payne Stewart,,T36,71,73,77,74,12,14,35,+7,295,"$6,133",-,bio - career - this year - this tournament
38,Chip Beck,,T39,72,74,75,75,20,24,35,+8,296,"$5,500",-,bio - career - this year - this tournament
39,Mark Lye,,T39,75,73,73,75,50,42,35,+8,296,"$5,500",-,bio - career - this year - this tournament
40,Chris Patton,,T39,71,73,74,78,12,14,22,+8,296,,-,bio - career - this year - this tournament
41,John Mahaffey,,T42,72,74,75,76,20,24,35,+9,297,"$4,867",-,bio - career - this year - this tournament
42,Peter Senior,,T42,72,75,73,77,20,34,32,+9,297,"$4,867",-,bio - career - this year - this tournament
43,Don Pooley,,T42,73,73,72,79,33,24,22,+9,297,"$4,867",-,bio - career - this year - this tournament
44,Tom Purtzer,,T45,71,77,76,74,12,42,46,+10,298,"$4,250",-,bio - career - this year - this tournament
45,Mike Hulbert,,T45,71,71,77,79,12,5,27,+10,298,"$4,250",-,bio - career - this year - this tournament
46,Mike Donald,,47,64,82,77,76,1,24,45,+11,299,"$3,900",-,bio - career - this year - this tournament
47,Larry Nelson,,48,74,73,79,74,38,34,48,+12,300,"$3,600",-,bio - career - this year - this tournament
48,George Archer,,49,70,74,82,75,5,14,48,+13,301,"$3,400",-,bio - career - this year - this tournament
49,Billy Casper,,CUT,74,75,0,0,38,50,0,+5,149,,-,bio - career - this year - this tournament
50,David Frost,,CUT,74,75,0,0,38,50,0,+5,149,,-,bio - career - this year - this tournament
51,Mark O'Meara,,CUT,75,74,0,0,50,50,0,+5,149,,-,bio - career - this year - this tournament
52,Robert Gamez,,CUT,73,76,0,0,33,50,0,+5,149,,-,bio - career - this year - this tournament
53,Mike Reid,,CUT,76,73,0,0,57,50,0,+5,149,,-,bio - career - this year - this tournament
54,Tom Pernice Jr.,,CUT,74,76,0,0,38,55,0,+6,150,,-,bio - career - this year - this tournament
55,Hubert Green,,CUT,73,77,0,0,33,55,0,+6,150,,-,bio - career - this year - this tournament
56,Blaine McCallister,,CUT,73,77,0,0,33,55,0,+6,150,,-,bio - career - this year - this tournament
57,Greg Norman,,CUT,78,72,0,0,74,55,0,+6,150,,-,bio - career - this year - this tournament
58,Ted Schulz,,CUT,75,76,0,0,50,59,0,+7,151,,-,bio - career - this year - this tournament
59,Tommy Aaron,,CUT,77,74,0,0,63,59,0,+7,151,,-,bio - career - this year - this tournament
60,Ian Baker-Finch,,CUT,77,74,0,0,63,59,0,+7,151,,-,bio - career - this year - this tournament
61,Sandy Lyle,,CUT,77,74,0,0,63,59,0,+7,151,,-,bio - career - this year - this tournament
62,Dave Rummells,,CUT,77,74,0,0,63,59,0,+7,151,,-,bio - career - this year - this tournament
63,Tony Sills,,CUT,77,74,0,0,63,59,0,+7,151,,-,bio - career - this year - this tournament
64,Dan Forsman,,CUT,79,72,0,0,79,59,0,+7,151,,-,bio - career - this year - this tournament
65,Charles Coody,,CUT,75,77,0,0,50,66,0,+8,152,,-,bio - career - this year - this tournament
66,Tim Simpson,,CUT,77,75,0,0,63,66,0,+8,152,,-,bio - career - this year - this tournament
67,Hal Sutton,,CUT,81,71,0,0,84,66,0,+8,152,,-,bio - career - this year - this tournament
68,Gay Brewer,,CUT,76,77,0,0,57,69,0,+9,153,,-,bio - career - this year - this tournament
69,Curt Byrum,,CUT,76,77,0,0,57,69,0,+9,153,,-,bio - career - this year - this tournament
70,Tommy Armour III,,CUT,75,78,0,0,50,69,0,+9,153,,-,bio - career - this year - this tournament
71,Brian Claar,,CUT,74,79,0,0,38,69,0,+9,153,,-,bio - career - this year - this tournament
72,David Ishii,,CUT,74,79,0,0,38,69,0,+9,153,,-,bio - career - this year - this tournament
73,Tom Byrum,,CUT,77,78,0,0,63,74,0,+11,155,,-,bio - career - this year - this tournament
74,Stephen Dodd,,CUT,77,78,0,0,63,74,0,+11,155,,-,bio - career - this year - this tournament
75,Leonard Thompson,,CUT,80,75,0,0,81,74,0,+11,155,,-,bio - career - this year - this tournament
76,Arnold Palmer,,CUT,76,80,0,0,57,77,0,+12,156,,-,bio - career - this year - this tournament
77,Paul Azinger,,CUT,80,76,0,0,81,77,0,+12,156,,-,bio - career - this year - this tournament
78,Craig Parry,,CUT,80,76,0,0,81,77,0,+12,156,,-,bio - career - this year - this tournament
79,Ken Green,,CUT,78,80,0,0,74,80,0,+14,158,,-,bio - career - this year - this tournament
80,Wayne Levi,,CUT,77,81,0,0,63,80,0,+14,158,,-,bio - career - this year - this tournament
81,Tim Hobby,,CUT,76,82,0,0,57,80,0,+14,158,,-,bio - career - this year - this tournament
82,Danny Green,,CUT,79,80,0,0,79,83,0,+15,159,,-,bio - career - this year - this tournament
83,James Taylor,,CUT,83,78,0,0,85,84,0,+17,161,,-,bio - career - this year - this tournament
84,Doug Ford,,CUT,78,85,0,0,74,85,0,+19,163,,-,bio - career - this year - this tournament
