,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Vijay Singh,,Win,72,67,70,69,10,2,1,-10,278,"$828,000",-,bio - career - this year - this tournament
1,Ernie Els,,2,72,67,74,68,10,2,3,-7,281,"$496,800",-,bio - career - this year - this tournament
2,Loren Roberts,,T3,73,69,71,69,22,7,3,-6,282,"$266,800",-,bio - career - this year - this tournament
3,David Duval,,T3,73,65,74,70,22,1,2,-6,282,"$266,800",-,bio - career - this year - this tournament
4,Tiger Woods,,5,75,72,68,69,39,39,5,-4,284,"$184,000",-,bio - career - this year - this tournament
5,Tom Lehman,,6,69,72,75,69,2,5,9,-3,285,"$165,600",-,bio - career - this year - this tournament
6,Davis Love III,,T7,75,72,68,71,39,39,5,-2,286,"$143,367",-,bio - career - this year - this tournament
7,Phil Mickelson,,T7,71,68,76,71,5,2,5,-2,286,"$143,367",-,bio - career - this year - this tournament
8,Carlos Franco,,T7,79,68,70,69,78,39,11,-2,286,"$143,367",-,bio - career - this year - this tournament
9,Hal Sutton,,10,72,75,71,69,10,39,16,-1,287,"$124,200",-,bio - career - this year - this tournament
10,Nick Price,,T11,74,69,73,72,32,12,9,E,288,"$105,800",-,bio - career - this year - this tournament
11,Fred Couples,,T11,76,72,70,70,54,49,16,E,288,"$105,800",-,bio - career - this year - this tournament
12,Greg Norman,,T11,80,68,70,70,83,49,16,E,288,"$105,800",-,bio - career - this year - this tournament
13,Jim Furyk,,T14,73,74,71,71,22,39,16,+1,289,"$80,500",-,bio - career - this year - this tournament
14,Chris Perry,,T14,73,75,72,69,22,49,31,+1,289,"$80,500",-,bio - career - this year - this tournament
15,Dennis Paulson,,T14,68,76,73,72,1,18,11,+1,289,"$80,500",-,bio - career - this year - this tournament
16,John Huston,,T14,77,69,72,71,65,30,16,+1,289,"$80,500",-,bio - career - this year - this tournament
17,Jeff Sluman,,18,73,69,77,71,22,7,28,+2,290,"$69,000",-,bio - career - this year - this tournament
18,Steve Stricker,,T19,70,73,75,73,3,12,16,+3,291,"$53,820",-,bio - career - this year - this tournament
19,Padraig Harrington,,T19,76,69,75,71,54,24,31,+3,291,"$53,820",-,bio - career - this year - this tournament
20,Jean Van de velde,,T19,76,70,75,70,54,30,38,+3,291,"$53,820",-,bio - career - this year - this tournament
21,Bob Estes,,T19,72,71,77,71,10,12,31,+3,291,"$53,820",-,bio - career - this year - this tournament
22,Colin Montgomerie,,T19,76,69,77,69,54,24,48,+3,291,"$53,820",-,bio - career - this year - this tournament
23,Glen Day,,T19,79,67,74,71,78,30,31,+3,291,"$53,820",-,bio - career - this year - this tournament
24,Craig Parry,,T25,75,71,72,74,39,30,16,+4,292,"$37,567",-,bio - career - this year - this tournament
25,Steve Jones,,T25,71,70,76,75,5,5,11,+4,292,"$37,567",-,bio - career - this year - this tournament
26,Larry Mize,,T25,78,67,73,74,71,24,16,+4,292,"$37,567",-,bio - career - this year - this tournament
27,Jumbo Ozaki,,T28,72,72,74,75,10,18,16,+5,293,"$28,673",-,bio - career - this year - this tournament
28,Nick Faldo,,T28,72,72,74,75,10,18,16,+5,293,"$28,673",-,bio - career - this year - this tournament
29,Dudley Hart,,T28,75,71,72,75,39,30,16,+5,293,"$28,673",-,bio - career - this year - this tournament
30,Stewart Cink,,T28,75,72,72,74,39,39,28,+5,293,"$28,673",-,bio - career - this year - this tournament
31,Bernhard Langer,,T28,71,71,75,76,5,7,11,+5,293,"$28,673",-,bio - career - this year - this tournament
32,Thomas Bjorn,,T28,71,77,73,72,5,49,38,+5,293,"$28,673",-,bio - career - this year - this tournament
33,Justin Leonard,,T28,72,71,77,73,10,12,31,+5,293,"$28,673",-,bio - career - this year - this tournament
34,Paul Azinger,,T28,72,72,77,72,10,18,38,+5,293,"$28,673",-,bio - career - this year - this tournament
35,Mike Weir,,T28,75,70,70,78,39,24,5,+5,293,"$28,673",-,bio - career - this year - this tournament
36,Notah Begay III,,T37,74,74,73,73,32,49,38,+6,294,"$21,620",-,bio - career - this year - this tournament
37,Jay Haas,,T37,75,71,75,73,39,30,38,+6,294,"$21,620",-,bio - career - this year - this tournament
38,Fred Funk,,T37,75,68,78,73,39,12,38,+6,294,"$21,620",-,bio - career - this year - this tournament
39,Mark Brooks,,T40,72,76,73,74,10,49,38,+7,295,"$17,480",-,bio - career - this year - this tournament
40,Ian Woosnam,,T40,74,70,76,75,32,18,31,+7,295,"$17,480",-,bio - career - this year - this tournament
41,Jesper Parnevik,,T40,77,71,70,77,65,49,16,+7,295,"$17,480",-,bio - career - this year - this tournament
42,Sergio Garcia,,T40,70,72,75,78,3,7,11,+7,295,"$17,480",-,bio - career - this year - this tournament
43,Darren Clarke,,T40,72,71,78,74,10,12,38,+7,295,"$17,480",-,bio - career - this year - this tournament
44,Retief Goosen,,T40,73,69,79,74,22,7,38,+7,295,"$17,480",-,bio - career - this year - this tournament
45,Shigeki Maruyama,,T46,76,71,74,75,54,39,38,+8,296,"$13,800",-,bio - career - this year - this tournament
46,Scott Gump,,T46,75,70,78,73,39,24,49,+8,296,"$13,800",-,bio - career - this year - this tournament
47,Brandt Jobe,,48,73,74,76,74,22,39,49,+9,297,"$12,604",-,bio - career - this year - this tournament
48,Steve Pate,,T49,78,69,77,74,71,39,51,+10,298,"$11,623",-,bio - career - this year - this tournament
49,David Toms,,T49,74,72,73,79,32,30,28,+10,298,"$11,623",-,bio - career - this year - this tournament
50,Miguel A. Jimenez,,T49,76,71,79,72,54,39,55,+10,298,"$11,623",-,bio - career - this year - this tournament
51,Steve Elkington,,T52,74,74,78,73,32,49,55,+11,299,"$10,948",-,bio - career - this year - this tournament
52,Rocco Mediate,,T52,71,74,75,79,5,24,31,+11,299,"$10,948",-,bio - career - this year - this tournament
53,David Gossett,,T54,75,71,79,78,39,30,52,+15,303,,-,bio - career - this year - this tournament
54,Jack Nicklaus,,T54,74,70,81,78,32,18,52,+15,303,"$10,672",-,bio - career - this year - this tournament
55,Skip Kendall,,56,76,72,77,83,54,49,52,+20,308,"$10,580",-,bio - career - this year - this tournament
56,Tommy Aaron,,57,72,74,86,81,10,30,57,+25,313,"$10,580",-,bio - career - this year - this tournament
57,Danny Green,,CUT,73,76,0,0,22,58,0,+5,149,,-,bio - career - this year - this tournament
58,Jose Maria Olazabal,,CUT,72,77,0,0,10,58,0,+5,149,,-,bio - career - this year - this tournament
