,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Bubba Watson,,Win,69,68,74,69,2,1,1,-8,280,"$1,620,000",-,bio - career - this year - this tournament
1,Jonas Blixt,,T2,70,71,71,71,5,3,3,-5,283,"$792,000",-,bio - career - this year - this tournament
2,Jordan Spieth,,T2,71,70,70,72,12,3,1,-5,283,"$792,000",-,bio - career - this year - this tournament
3,Miguel A. Jimenez,,4,71,76,66,71,12,37,5,-4,284,"$432,000",-,bio - career - this year - this tournament
4,Matt Kuchar,,T5,73,71,68,74,27,15,3,-2,286,"$342,000",-,bio - career - this year - this tournament
5,Rickie Fowler,,T5,71,75,67,73,12,26,5,-2,286,"$342,000",-,bio - career - this year - this tournament
6,Lee Westwood,,7,73,71,70,73,27,15,7,-1,287,"$301,500",-,bio - career - this year - this tournament
7,Bernhard Langer,,T8,72,74,73,69,20,26,24,E,288,"$234,000",-,bio - career - this year - this tournament
8,Thomas Bjorn,,T8,73,68,73,74,27,3,7,E,288,"$234,000",-,bio - career - this year - this tournament
9,John Senden,,T8,72,68,75,73,20,2,10,E,288,"$234,000",-,bio - career - this year - this tournament
10,Jimmy Walker,,T8,70,72,76,70,5,7,18,E,288,"$234,000",-,bio - career - this year - this tournament
11,Kevin Stadler,,T8,70,73,72,73,5,10,10,E,288,"$234,000",-,bio - career - this year - this tournament
12,Rory McIlroy,,T8,71,77,71,69,12,46,24,E,288,"$234,000",-,bio - career - this year - this tournament
13,Jim Furyk,,T14,74,68,72,75,40,7,7,+1,289,"$148,500",-,bio - career - this year - this tournament
14,Stewart Cink,,T14,73,72,76,68,27,21,34,+1,289,"$148,500",-,bio - career - this year - this tournament
15,Henrik Stenson,,T14,73,72,74,70,27,21,24,+1,289,"$148,500",-,bio - career - this year - this tournament
16,Justin Rose,,T14,76,70,69,74,67,26,10,+1,289,"$148,500",-,bio - career - this year - this tournament
17,Adam Scott,,T14,69,72,76,72,2,3,16,+1,289,"$148,500",-,bio - career - this year - this tournament
18,Jamie Donaldson,,T14,73,70,76,70,27,10,24,+1,289,"$148,500",-,bio - career - this year - this tournament
19,Fred Couples,,T20,71,71,73,75,12,7,10,+2,290,"$101,160",-,bio - career - this year - this tournament
20,Ian Poulter,,T20,76,70,70,74,67,26,14,+2,290,"$101,160",-,bio - career - this year - this tournament
21,Bill Haas,,T20,68,78,74,70,1,26,29,+2,290,"$101,160",-,bio - career - this year - this tournament
22,Jason Day,,T20,75,73,70,72,53,46,18,+2,290,"$101,160",-,bio - career - this year - this tournament
23,Chris Kirk,,T20,75,72,71,72,53,37,18,+2,290,"$101,160",-,bio - career - this year - this tournament
24,Louis Oosthuizen,,25,69,75,75,72,2,15,24,+3,291,"$79,200",-,bio - career - this year - this tournament
25,Hunter Mahan,,T26,74,72,74,72,40,26,29,+4,292,"$66,600",-,bio - career - this year - this tournament
26,Gonzalo Fernandez-Castano,,T26,75,69,74,74,53,15,18,+4,292,"$66,600",-,bio - career - this year - this tournament
27,Steven Bowditch,,T26,74,72,74,72,40,26,29,+4,292,"$66,600",-,bio - career - this year - this tournament
28,Joost Luiten,,T26,75,73,77,67,53,46,50,+4,292,"$66,600",-,bio - career - this year - this tournament
29,Gary Woodland,,T26,70,77,69,76,5,37,14,+4,292,"$66,600",-,bio - career - this year - this tournament
30,Steve Stricker,,T31,72,73,73,75,20,21,18,+5,293,"$55,800",-,bio - career - this year - this tournament
31,Martin Kaymer,,T31,75,72,73,73,53,37,29,+5,293,"$55,800",-,bio - career - this year - this tournament
32,Russell Henley,,T31,73,70,75,75,27,10,18,+5,293,"$55,800",-,bio - career - this year - this tournament
33,Jose Maria Olazabal,,T34,74,74,73,73,40,46,34,+6,294,"$48,600",-,bio - career - this year - this tournament
34,Stephen Gallacher,,T34,71,72,81,70,12,10,46,+6,294,"$48,600",-,bio - career - this year - this tournament
35,K.J. Choi,,T34,70,75,78,71,5,21,42,+6,294,"$48,600",-,bio - career - this year - this tournament
36,Vijay Singh,,T37,75,71,74,75,53,26,29,+7,295,"$40,500",-,bio - career - this year - this tournament
37,Brendon De Jonge,,T37,74,72,76,73,40,26,38,+7,295,"$40,500",-,bio - career - this year - this tournament
38,Thongchai Jaidee,,T37,73,74,75,73,27,37,38,+7,295,"$40,500",-,bio - career - this year - this tournament
39,Brandt Snedeker,,T37,70,74,80,71,5,15,46,+7,295,"$40,500",-,bio - career - this year - this tournament
40,Billy Horschel,,T37,75,72,75,73,53,37,38,+7,295,"$40,500",-,bio - career - this year - this tournament
41,Lucas Glover,,T42,75,69,77,75,53,15,34,+8,296,"$34,200",-,bio - career - this year - this tournament
42,Kevin Streelman,,T42,72,71,74,79,20,10,16,+8,296,"$34,200",-,bio - career - this year - this tournament
43,Sandy Lyle,,T44,76,72,76,73,67,46,46,+9,297,"$27,972",-,bio - career - this year - this tournament
44,Mike Weir,,T44,73,72,79,73,27,21,46,+9,297,"$27,972",-,bio - career - this year - this tournament
45,Darren Clarke,,T44,74,74,73,76,40,46,34,+9,297,"$27,972",-,bio - career - this year - this tournament
46,Nick Watney,,T44,72,75,76,74,20,37,42,+9,297,"$27,972",-,bio - career - this year - this tournament
47,Thorbjorn Olesen,,T44,74,72,76,75,40,26,38,+9,297,"$27,972",-,bio - career - this year - this tournament
48,Oliver Goss,,49,76,71,76,75,67,37,42,+10,298,,-,bio - career - this year - this tournament
