,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Jose Maria Olazabal,,Win,70,66,73,71,5,1,1,-8,280,"$720,000",-,bio - career - this year - this tournament
1,Davis Love III,,2,69,72,70,71,1,5,3,-6,282,"$432,000",-,bio - career - this year - this tournament
2,Greg Norman,,3,71,68,71,73,12,3,2,-5,283,"$272,000",-,bio - career - this year - this tournament
3,Bob Estes,,T4,71,72,69,72,12,13,5,-4,284,"$176,000",-,bio - career - this year - this tournament
4,Steve Pate,,T4,71,75,65,73,12,29,3,-4,284,"$176,000",-,bio - career - this year - this tournament
5,Nick Price,,T6,69,72,72,72,1,5,9,-3,285,"$125,200",-,bio - career - this year - this tournament
6,Carlos Franco,,T6,72,72,68,73,20,18,5,-3,285,"$125,200",-,bio - career - this year - this tournament
7,David Duval,,T6,71,74,70,70,12,22,17,-3,285,"$125,200",-,bio - career - this year - this tournament
8,Phil Mickelson,,T6,74,69,71,71,41,13,13,-3,285,"$125,200",-,bio - career - this year - this tournament
9,Lee Westwood,,T6,75,71,68,71,55,29,13,-3,285,"$125,200",-,bio - career - this year - this tournament
10,Colin Montgomerie,,T11,70,72,71,74,5,7,9,-1,287,"$92,000",-,bio - career - this year - this tournament
11,Steve Elkington,,T11,72,70,71,74,20,7,9,-1,287,"$92,000",-,bio - career - this year - this tournament
12,Bernhard Langer,,T11,76,66,72,73,65,7,13,-1,287,"$92,000",-,bio - career - this year - this tournament
13,Jim Furyk,,T14,72,73,70,73,20,22,17,E,288,"$70,000",-,bio - career - this year - this tournament
14,Ian Woosnam,,T14,71,74,71,72,12,22,25,E,288,"$70,000",-,bio - career - this year - this tournament
15,Brandt Jobe,,T14,72,71,74,71,20,13,29,E,288,"$70,000",-,bio - career - this year - this tournament
16,Lee Janzen,,T14,70,69,73,76,5,3,5,E,288,"$70,000",-,bio - career - this year - this tournament
17,Justin Leonard,,T18,70,72,73,74,5,7,17,+1,289,"$52,160",-,bio - career - this year - this tournament
18,Bill Glasson,,T18,72,70,73,74,20,7,17,+1,289,"$52,160",-,bio - career - this year - this tournament
19,Brandel Chamblee,,T18,69,73,75,72,1,7,29,+1,289,"$52,160",-,bio - career - this year - this tournament
20,Tiger Woods,,T18,72,72,70,75,20,18,13,+1,289,"$52,160",-,bio - career - this year - this tournament
21,Scott McCarron,,T18,69,68,76,76,1,2,9,+1,289,"$52,160",-,bio - career - this year - this tournament
22,Larry Mize,,23,76,70,72,72,65,29,32,+2,290,"$41,600",-,bio - career - this year - this tournament
23,Per-Ulrik Johansson,,T24,75,72,71,73,55,35,32,+3,291,"$35,200",-,bio - career - this year - this tournament
24,Vijay Singh,,T24,72,76,71,72,20,43,39,+3,291,"$35,200",-,bio - career - this year - this tournament
25,Brad Faxon,,T24,74,73,68,76,41,35,17,+3,291,"$35,200",-,bio - career - this year - this tournament
26,Rocco Mediate,,T27,73,74,69,76,34,35,25,+4,292,"$29,000",-,bio - career - this year - this tournament
27,Fred Couples,,T27,74,71,76,71,41,22,48,+4,292,"$29,000",-,bio - career - this year - this tournament
28,Stewart Cink,,T27,74,70,71,77,41,18,17,+4,292,"$29,000",-,bio - career - this year - this tournament
29,Ernie Els,,T27,71,72,69,80,12,13,5,+4,292,"$29,000",-,bio - career - this year - this tournament
30,Tom Lehman,,T31,73,72,73,75,34,22,32,+5,293,"$23,720",-,bio - career - this year - this tournament
31,Brian Watts,,T31,73,73,70,77,34,29,25,+5,293,"$23,720",-,bio - career - this year - this tournament
32,Jeff Sluman,,T31,70,75,70,78,5,22,17,+5,293,"$23,720",-,bio - career - this year - this tournament
33,Mark O'Meara,,T31,70,76,69,78,5,29,17,+5,293,"$23,720",-,bio - career - this year - this tournament
34,Shigeki Maruyama,,T31,78,70,71,74,79,43,39,+5,293,"$23,720",-,bio - career - this year - this tournament
35,Andrew Magee,,T36,70,77,72,75,5,35,39,+6,294,"$20,100",-,bio - career - this year - this tournament
36,John Huston,,T36,74,72,71,77,41,29,29,+6,294,"$20,100",-,bio - career - this year - this tournament
37,Sergio Garcia,,T38,72,75,75,73,20,35,51,+7,295,,-,bio - career - this year - this tournament
38,Raymond Floyd,,T38,74,73,72,76,41,35,39,+7,295,"$17,200",-,bio - career - this year - this tournament
39,Billy Andrade,,T38,76,72,72,75,65,43,45,+7,295,"$17,200",-,bio - career - this year - this tournament
40,Mark Brooks,,T38,76,72,75,72,65,43,53,+7,295,"$17,200",-,bio - career - this year - this tournament
41,Craig Stadler,,T38,72,76,70,77,20,43,32,+7,295,"$17,200",-,bio - career - this year - this tournament
42,Steve Stricker,,T38,75,72,69,79,55,35,25,+7,295,"$17,200",-,bio - career - this year - this tournament
43,Tom McKnight,,T44,73,74,73,77,34,35,45,+9,297,,-,bio - career - this year - this tournament
44,Jay Haas,,T44,74,69,79,75,41,13,51,+9,297,"$14,000",-,bio - career - this year - this tournament
45,Tim Herron,,T44,75,69,74,79,55,18,32,+9,297,"$14,000",-,bio - career - this year - this tournament
46,Scott Hoch,,T44,75,73,70,79,55,43,32,+9,297,"$14,000",-,bio - career - this year - this tournament
47,Craig Parry,,T48,75,73,73,77,55,43,48,+10,298,"$12,000",-,bio - career - this year - this tournament
48,Sandy Lyle,,T48,71,77,70,80,12,43,32,+10,298,"$12,000",-,bio - career - this year - this tournament
49,Matt Kuchar,,T50,77,71,73,78,75,43,48,+11,299,,-,bio - career - this year - this tournament
50,Chris Perry,,T50,73,72,74,80,34,22,39,+11,299,"$10,960",-,bio - career - this year - this tournament
51,Payne Stewart,,T52,73,75,77,75,34,43,54,+12,300,"$9,980",-,bio - career - this year - this tournament
52,Bob Tway,,T52,75,73,78,74,55,43,55,+12,300,"$9,980",-,bio - career - this year - this tournament
53,Olin Browne,,T52,74,74,72,80,41,43,45,+12,300,"$9,980",-,bio - career - this year - this tournament
54,John Daly,,T52,72,76,71,81,20,43,39,+12,300,"$9,980",-,bio - career - this year - this tournament
55,Trevor Immelman,,56,72,76,78,79,20,43,55,+17,305,,-,bio - career - this year - this tournament
56,Thomas Bjorn,,CUT,76,73,0,0,65,57,0,+5,149,,-,bio - career - this year - this tournament
57,Fred Funk,,CUT,76,73,0,0,65,57,0,+5,149,,-,bio - career - this year - this tournament
58,Miguel A. Jimenez,,CUT,72,77,0,0,20,57,0,+5,149,,-,bio - career - this year - this tournament
59,Frank Lickliter II,,CUT,72,77,0,0,20,57,0,+5,149,,-,bio - career - this year - this tournament
60,Fuzzy Zoeller,,CUT,72,77,0,0,20,57,0,+5,149,,-,bio - career - this year - this tournament
61,John Cook,,CUT,76,74,0,0,65,62,0,+6,150,,-,bio - career - this year - this tournament
62,J.P. Hayes,,CUT,76,74,0,0,65,62,0,+6,150,,-,bio - career - this year - this tournament
63,Stuart Appleby,,CUT,73,77,0,0,34,62,0,+6,150,,-,bio - career - this year - this tournament
64,Jumbo Ozaki,,CUT,71,79,0,0,12,62,0,+6,150,,-,bio - career - this year - this tournament
65,Patrik Sjoland,,CUT,76,75,0,0,65,66,0,+7,151,,-,bio - career - this year - this tournament
66,Jesper Parnevik,,CUT,74,77,0,0,41,66,0,+7,151,,-,bio - career - this year - this tournament
67,Tom Watson,,CUT,74,77,0,0,41,66,0,+7,151,,-,bio - career - this year - this tournament
68,Charles Coody,,CUT,77,74,0,0,75,66,0,+7,151,,-,bio - career - this year - this tournament
69,Willie Wood,,CUT,79,72,0,0,87,66,0,+7,151,,-,bio - career - this year - this tournament
70,Loren Roberts,,CUT,76,76,0,0,65,71,0,+8,152,,-,bio - career - this year - this tournament
71,Mark Calcavecchia,,CUT,75,77,0,0,55,71,0,+8,152,,-,bio - career - this year - this tournament
72,Paul Azinger,,CUT,74,78,0,0,41,71,0,+8,152,,-,bio - career - this year - this tournament
73,Gabriel Hjertstedt,,CUT,74,78,0,0,41,71,0,+8,152,,-,bio - career - this year - this tournament
74,Hank Kuehne,,CUT,74,78,0,0,41,71,0,+8,152,,-,bio - career - this year - this tournament
75,Darren Clarke,,CUT,75,78,0,0,55,76,0,+9,153,,-,bio - career - this year - this tournament
76,Corey Pavin,,CUT,75,78,0,0,55,76,0,+9,153,,-,bio - career - this year - this tournament
77,Billy Mayfair,,CUT,78,75,0,0,79,76,0,+9,153,,-,bio - career - this year - this tournament
78,Ben Crenshaw,,CUT,74,79,0,0,41,76,0,+9,153,,-,bio - career - this year - this tournament
79,Nick Faldo,,CUT,80,73,0,0,90,76,0,+9,153,,-,bio - career - this year - this tournament
80,Jeff Maggert,,CUT,78,76,0,0,79,81,0,+10,154,,-,bio - career - this year - this tournament
81,David Toms,,CUT,78,76,0,0,79,81,0,+10,154,,-,bio - career - this year - this tournament
82,Scott Verplank,,CUT,78,76,0,0,79,81,0,+10,154,,-,bio - career - this year - this tournament
83,Glen Day,,CUT,78,77,0,0,79,84,0,+11,155,,-,bio - career - this year - this tournament
84,Trevor Dodds,,CUT,78,77,0,0,79,84,0,+11,155,,-,bio - career - this year - this tournament
85,Hal Sutton,,CUT,79,76,0,0,87,84,0,+11,155,,-,bio - career - this year - this tournament
86,Seve Ballesteros,,CUT,78,78,0,0,79,87,0,+12,156,,-,bio - career - this year - this tournament
87,Steve Jones,,CUT,77,79,0,0,75,87,0,+12,156,,-,bio - career - this year - this tournament
88,Gary Player,,CUT,79,79,0,0,87,89,0,+14,158,,-,bio - career - this year - this tournament
89,Tommy Aaron,,CUT,77,82,0,0,75,90,0,+15,159,,-,bio - career - this year - this tournament
90,Arnold Palmer,,CUT,83,78,0,0,93,91,0,+17,161,,-,bio - career - this year - this tournament
91,Joe Durant,,CUT,87,79,0,0,95,93,0,+22,166,,-,bio - career - this year - this tournament
92,Gay Brewer,,WD,80,0,0,0,90,0,0,+8,80,,-,bio - career - this year - this tournament
93,Billy Casper,,WD,86,0,0,0,94,0,0,+14,86,,-,bio - career - this year - this tournament
94,Doug Ford,,WD,88,0,0,0,96,0,0,+16,88,,-,bio - career - this year - this tournament
