,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Claude Harmon,,Win,70,70,69,70,2,2,1,-9,279,"$2,500",-,bio - career - this year - this tournament
1,Cary Middlecoff,,2,74,71,69,70,24,13,3,-4,284,"$1,500",-,bio - career - this year - this tournament
2,Chick Harbert,,3,71,70,70,76,6,3,2,-1,287,"$1,000",-,bio - career - this year - this tournament
3,Jim Ferrier,,T4,71,71,75,71,6,5,7,E,288,$750,-,bio - career - this year - this tournament
4,Lloyd Mangrum,,T4,69,73,75,71,1,5,7,E,288,$750,-,bio - career - this year - this tournament
5,Ed Furgol,,T6,70,72,73,74,2,5,4,+1,289,$500,-,bio - career - this year - this tournament
6,Ben Hogan,,T6,70,71,77,71,2,3,9,+1,289,$500,-,bio - career - this year - this tournament
7,Byron Nelson,,T8,71,73,72,74,6,11,5,+2,290,$350,-,bio - career - this year - this tournament
8,Harry Todd,,T8,72,67,80,71,13,1,13,+2,290,$350,-,bio - career - this year - this tournament
9,Herman Keiser,,T10,70,72,76,73,2,5,9,+3,291,$250,-,bio - career - this year - this tournament
10,Bobby Locke,,T10,71,71,74,75,6,5,5,+3,291,$250,-,bio - career - this year - this tournament
11,Dick Metz,,T10,71,72,75,73,6,10,9,+3,291,$250,-,bio - career - this year - this tournament
12,Skee Riegel,,13,71,74,73,74,6,13,9,+4,292,,-,bio - career - this year - this tournament
13,Johnny Bulla,,T14,74,72,76,71,24,18,22,+5,293,$187,-,bio - career - this year - this tournament
14,Dutch Harrison,,T14,73,77,73,70,17,31,23,+5,293,$187,-,bio - career - this year - this tournament
15,Al Smith,,T16,73,73,74,74,17,18,15,+6,294,$137,-,bio - career - this year - this tournament
16,Sam Snead,,T16,74,75,72,73,24,27,19,+6,294,$137,-,bio - career - this year - this tournament
17,Jimmy Demaret,,T18,73,72,78,72,17,13,23,+7,295,$80,-,bio - career - this year - this tournament
18,Ed Dudley,,T18,73,76,75,71,17,27,27,+7,295,$80,-,bio - career - this year - this tournament
19,Vic Ghezzi,,T18,75,73,73,74,35,23,19,+7,295,$80,-,bio - career - this year - this tournament
20,"Fred Haas, Jr.",,T18,75,75,76,69,35,31,34,+7,295,$80,-,bio - career - this year - this tournament
21,Bob Hamilton,,T18,72,72,76,75,13,11,15,+7,295,$80,-,bio - career - this year - this tournament
22,Art Bell,,T23,71,74,74,77,6,13,13,+8,296,,-,bio - career - this year - this tournament
23,Gene Sarazen,,T23,77,74,73,72,44,39,27,+8,296,,-,bio - career - this year - this tournament
24,Herman Barron,,T25,73,77,71,76,17,31,19,+9,297,,-,bio - career - this year - this tournament
25,Henry Cotton,,T25,72,73,75,77,13,13,15,+9,297,,-,bio - career - this year - this tournament
26,Henry Picard,,T25,73,73,74,77,17,18,15,+9,297,,-,bio - career - this year - this tournament
27,Johnny Palmer,,T28,75,73,76,74,35,23,27,+10,298,,-,bio - career - this year - this tournament
28,Ellsworth Vines,,T28,76,71,77,74,41,21,27,+10,298,,-,bio - career - this year - this tournament
29,Bud Ward,,T30,74,74,77,74,24,23,32,+11,299,,-,bio - career - this year - this tournament
30,Lew Worsham,,T30,74,78,71,76,24,42,23,+11,299,,-,bio - career - this year - this tournament
31,Denny Shute,,32,74,73,76,77,24,21,23,+12,300,,-,bio - career - this year - this tournament
32,Harold McSpaden,,33,77,75,76,73,44,42,41,+13,301,,-,bio - career - this year - this tournament
33,Horton Smith,,34,78,73,76,75,49,39,38,+14,302,,-,bio - career - this year - this tournament
34,Skip Alexander,,T35,77,73,77,76,44,31,38,+15,303,,-,bio - career - this year - this tournament
35,Ralph Guldahl,,T35,75,78,75,75,35,45,41,+15,303,,-,bio - career - this year - this tournament
36,Ky Laffoon,,T35,74,75,76,78,24,27,32,+15,303,,-,bio - career - this year - this tournament
37,Jimmy Mchale,,T35,78,73,77,75,49,39,41,+15,303,,-,bio - career - this year - this tournament
38,Felice Torza,,T35,75,73,76,79,35,23,27,+15,303,,-,bio - career - this year - this tournament
39,Dick Chapman,,T40,74,76,77,77,24,31,38,+16,304,,-,bio - career - this year - this tournament
40,Chandler Harper,,T40,76,76,77,75,41,42,45,+16,304,,-,bio - career - this year - this tournament
41,Lawson Little,,T40,73,77,76,78,17,31,34,+16,304,,-,bio - career - this year - this tournament
42,Billy Burke,,T43,75,75,76,79,35,31,34,+17,305,,-,bio - career - this year - this tournament
43,Leland Gibson,,T43,72,77,79,77,13,27,41,+17,305,,-,bio - career - this year - this tournament
44,Toney Penna,,45,77,78,75,77,44,49,46,+19,307,,-,bio - career - this year - this tournament
45,Sam Byrd,,46,84,75,75,76,56,55,50,+22,310,,-,bio - career - this year - this tournament
46,Johnny Farrell,,47,74,80,78,79,24,48,49,+23,311,,-,bio - career - this year - this tournament
47,Bill Nary,,48,74,79,86,74,24,45,54,+25,313,,-,bio - career - this year - this tournament
48,Robert-T. Jones,,49,76,81,79,79,41,53,51,+27,315,,-,bio - career - this year - this tournament
49,Fred Kammer,,T50,78,75,77,86,49,45,46,+28,316,,-,bio - career - this year - this tournament
50,Harvie Ward Jr,,T50,78,78,81,79,49,52,52,+28,316,,-,bio - career - this year - this tournament
51,Bob Rosburg,,52,79,81,80,78,54,56,55,+30,318,,-,bio - career - this year - this tournament
52,Jack Selby,,53,81,76,84,80,55,53,56,+33,321,,-,bio - career - this year - this tournament
53,Gene Kunes,,WD,74,76,76,0,24,31,34,+10,226,,-,bio - career - this year - this tournament
54,George Hamer,,WD,77,78,76,0,44,49,48,+15,231,,-,bio - career - this year - this tournament
55,Joe Kirkwood,,WD,78,77,82,0,49,49,52,+21,237,,-,bio - career - this year - this tournament
