,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Nick Faldo,,Win,69,67,73,67,6,2,2,-12,276,"$450,000",-,bio - career - this year - this tournament
1,Greg Norman,,2,63,69,71,78,1,1,1,-7,281,"$270,000",-,bio - career - this year - this tournament
2,Phil Mickelson,,3,65,73,72,72,2,3,3,-6,282,"$170,000",-,bio - career - this year - this tournament
3,Frank Nobilo,,4,71,71,72,69,18,12,9,-5,283,"$120,000",-,bio - career - this year - this tournament
4,Duffy Waldorf,,T5,72,71,69,72,33,16,4,-4,284,"$95,000",-,bio - career - this year - this tournament
5,Scott Hoch,,T5,67,73,73,71,3,7,7,-4,284,"$95,000",-,bio - career - this year - this tournament
6,Jeff Maggert,,T7,71,73,72,69,18,22,18,-3,285,"$77,933",-,bio - career - this year - this tournament
7,Davis Love III,,T7,72,71,74,68,33,16,23,-3,285,"$77,933",-,bio - career - this year - this tournament
8,Corey Pavin,,T7,75,66,73,71,57,10,9,-3,285,"$77,933",-,bio - career - this year - this tournament
9,David Frost,,T10,70,68,74,74,11,3,4,-2,286,"$65,000",-,bio - career - this year - this tournament
10,Scott McCarron,,T10,70,70,72,74,11,7,4,-2,286,"$65,000",-,bio - career - this year - this tournament
11,Ernie Els,,T12,71,71,72,73,18,12,9,-1,287,"$52,500",-,bio - career - this year - this tournament
12,Lee Janzen,,T12,68,71,75,73,5,5,9,-1,287,"$52,500",-,bio - career - this year - this tournament
13,Bob Tway,,T12,67,72,76,72,3,5,16,-1,287,"$52,500",-,bio - career - this year - this tournament
14,Mark Calcavecchia,,T15,71,73,71,73,18,22,16,E,288,"$43,750",-,bio - career - this year - this tournament
15,Fred Couples,,T15,78,68,71,71,78,37,23,E,288,"$43,750",-,bio - career - this year - this tournament
16,John Huston,,17,71,71,71,76,18,12,7,+1,289,"$40,000",-,bio - career - this year - this tournament
17,Nick Price,,T18,71,75,70,74,18,37,18,+2,290,"$32,600",-,bio - career - this year - this tournament
18,Mark O'Meara,,T18,72,71,75,72,33,16,27,+2,290,"$32,600",-,bio - career - this year - this tournament
19,Tom Lehman,,T18,75,70,72,73,57,28,23,+2,290,"$32,600",-,bio - career - this year - this tournament
20,Paul Azinger,,T18,70,74,76,70,11,22,32,+2,290,"$32,600",-,bio - career - this year - this tournament
21,David Duval,,T18,73,72,69,76,42,28,9,+2,290,"$32,600",-,bio - career - this year - this tournament
22,Loren Roberts,,T23,71,73,72,75,18,22,18,+3,291,"$25,000",-,bio - career - this year - this tournament
23,Larry Mize,,T23,75,71,77,68,57,37,41,+3,291,"$25,000",-,bio - career - this year - this tournament
24,Brad Faxon,,T25,69,77,72,74,6,37,27,+4,292,"$21,000",-,bio - career - this year - this tournament
25,Raymond Floyd,,T25,70,74,77,71,11,22,34,+4,292,"$21,000",-,bio - career - this year - this tournament
26,Justin Leonard,,T27,72,74,75,72,33,37,34,+5,293,"$18,900",-,bio - career - this year - this tournament
27,Bob Estes,,T27,71,71,79,72,18,12,34,+5,293,"$18,900",-,bio - career - this year - this tournament
28,Scott Simpson,,T29,69,76,76,73,6,28,34,+6,294,"$15,571",-,bio - career - this year - this tournament
29,"Jim Gallagher, Jr.",,T29,70,76,77,71,11,37,41,+6,294,"$15,571",-,bio - career - this year - this tournament
30,Hale Irwin,,T29,74,71,77,72,48,28,39,+6,294,"$15,571",-,bio - career - this year - this tournament
31,John Daly,,T29,71,74,71,78,18,28,18,+6,294,"$15,571",-,bio - career - this year - this tournament
32,Craig Stadler,,T29,73,72,71,78,42,28,18,+6,294,"$15,571",-,bio - career - this year - this tournament
33,Jim Furyk,,T29,75,70,78,71,57,28,41,+6,294,"$15,571",-,bio - career - this year - this tournament
