,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Tommy Aaron,,Win,68,73,74,68,1,1,5,-5,283,"$30,000",-,bio - career - this year - this tournament
1,J.C. Snead,,2,70,71,73,70,4,1,2,-4,284,"$22,500",-,bio - career - this year - this tournament
2,Jim Jamieson,,T3,73,71,70,71,15,10,2,-3,285,"$12,500",-,bio - career - this year - this tournament
3,Peter Oosterhuis,,T3,73,70,68,74,15,6,1,-3,285,"$12,500",-,bio - career - this year - this tournament
4,Jack Nicklaus,,T3,69,77,73,66,2,19,15,-3,285,"$12,500",-,bio - career - this year - this tournament
5,Bob Goalby,,T6,73,70,71,74,15,6,2,E,288,"$6,250",-,bio - career - this year - this tournament
6,Johnny Miller,,T6,75,69,71,73,38,10,5,E,288,"$6,250",-,bio - career - this year - this tournament
7,Bruce Devlin,,T8,73,72,72,72,15,15,11,+1,289,"$4,250",-,bio - career - this year - this tournament
8,Jumbo Ozaki,,T8,69,74,73,73,2,6,9,+1,289,"$4,250",-,bio - career - this year - this tournament
9,Gardner Dickinson,,T10,74,70,72,75,23,10,9,+3,291,"$3,425",-,bio - career - this year - this tournament
10,Don January,,T10,75,71,75,70,38,19,23,+3,291,"$3,425",-,bio - career - this year - this tournament
11,Chi Chi Rodriguez,,T10,72,70,73,76,8,5,5,+3,291,"$3,425",-,bio - career - this year - this tournament
12,Gay Brewer,,T10,75,66,74,76,38,1,5,+3,291,"$3,425",-,bio - career - this year - this tournament
13,Dave Stockton,,T14,72,74,71,75,8,19,11,+4,292,"$3,000",-,bio - career - this year - this tournament
14,Hubert Green,,T14,72,74,75,71,8,19,23,+4,292,"$3,000",-,bio - career - this year - this tournament
15,Mason Rudolph,,T14,72,72,77,71,8,10,23,+4,292,"$3,000",-,bio - career - this year - this tournament
16,Babe Hiskey,,T17,74,73,72,74,23,28,15,+5,293,"$2,550",-,bio - career - this year - this tournament
17,Billy Casper,,T17,75,73,72,73,38,33,19,+5,293,"$2,550",-,bio - career - this year - this tournament
18,Bob Dickson,,T17,70,71,76,76,4,1,11,+5,293,"$2,550",-,bio - career - this year - this tournament
19,Kermit Zarley,,T17,74,71,77,71,23,15,30,+5,293,"$2,550",-,bio - career - this year - this tournament
20,Gene Littler,,T17,77,72,71,73,53,43,19,+5,293,"$2,550",-,bio - career - this year - this tournament
21,Lou Graham,,T17,77,73,72,71,53,51,30,+5,293,"$2,550",-,bio - career - this year - this tournament
22,Phil Rodgers,,23,71,75,75,73,6,19,23,+6,294,"$2,200",-,bio - career - this year - this tournament
23,Ben Crenshaw,,T24,73,72,74,76,15,15,15,+7,295,,-,bio - career - this year - this tournament
24,Frank Beard,,T24,73,75,71,76,15,33,15,+7,295,"$2,100",-,bio - career - this year - this tournament
25,Paul Harney,,T24,77,71,74,73,53,33,30,+7,295,"$2,100",-,bio - career - this year - this tournament
26,Arnold Palmer,,T24,77,72,76,70,53,43,50,+7,295,"$2,100",-,bio - career - this year - this tournament
27,Bobby Nichols,,T24,79,72,76,68,65,55,55,+7,295,"$2,100",-,bio - career - this year - this tournament
28,Sam Snead,,T29,74,76,73,73,23,51,39,+8,296,"$1,750",-,bio - career - this year - this tournament
29,Lanny Wadkins,,T29,75,74,71,76,38,43,19,+8,296,"$1,750",-,bio - career - this year - this tournament
30,David Graham,,T29,72,74,77,73,8,19,39,+8,296,"$1,750",-,bio - career - this year - this tournament
31,Bob Charles,,T29,74,70,74,78,23,10,14,+8,296,"$1,750",-,bio - career - this year - this tournament
32,Charles Coody,,T29,74,73,79,70,23,28,53,+8,296,"$1,750",-,bio - career - this year - this tournament
33,Tom Weiskopf,,T34,77,71,75,74,53,33,39,+9,297,"$1,750",-,bio - career - this year - this tournament
34,Vinny Giles,,T34,78,71,72,76,62,43,23,+9,297,,-,bio - career - this year - this tournament
35,Steve Melnyk,,T34,72,74,79,72,8,19,50,+9,297,"$1,750",-,bio - career - this year - this tournament
36,Rod Funseth,,T37,73,75,74,76,15,33,30,+10,298,"$1,675",-,bio - career - this year - this tournament
37,Martin West,,T37,75,70,77,76,38,15,30,+10,298,,-,bio - career - this year - this tournament
38,Al Geiberger,,T37,75,76,77,70,38,55,56,+10,298,"$1,675",-,bio - career - this year - this tournament
39,Dave Hill,,T37,77,70,76,75,53,28,39,+10,298,"$1,675",-,bio - career - this year - this tournament
40,Grier Jones,,T37,71,72,77,78,6,6,19,+10,298,"$1,675",-,bio - career - this year - this tournament
41,"Art Wall, Jr.",,T37,79,69,74,76,65,33,30,+10,298,"$1,675",-,bio - career - this year - this tournament
42,Lee Trevino,,T43,74,75,75,75,23,43,47,+11,299,"$1,675",-,bio - career - this year - this tournament
43,Cesar Sanudo,,T43,72,75,76,76,8,28,39,+11,299,"$1,675",-,bio - career - this year - this tournament
44,Jim Colbert,,T43,74,72,76,77,23,19,30,+11,299,"$1,675",-,bio - career - this year - this tournament
45,Bruce Crampton,,T43,74,74,77,74,23,33,50,+11,299,"$1,675",-,bio - career - this year - this tournament
46,Bob Lunn,,T43,76,74,72,77,47,51,30,+11,299,"$1,675",-,bio - career - this year - this tournament
47,George Archer,,T43,73,74,74,78,15,28,23,+11,299,"$1,675",-,bio - career - this year - this tournament
48,Lu Liang-Huan,,T43,74,72,75,78,23,19,23,+11,299,"$1,675",-,bio - career - this year - this tournament
49,Miller Barber,,T43,78,72,80,69,62,51,57,+11,299,"$1,675",-,bio - career - this year - this tournament
50,Bert Yancey,,T51,75,74,74,77,38,43,39,+12,300,"$1,600",-,bio - career - this year - this tournament
51,Roberto De Vicenzo,,T51,74,74,74,78,23,33,30,+12,300,"$1,600",-,bio - career - this year - this tournament
52,Takaaki Kono,,T51,74,74,78,74,23,33,53,+12,300,"$1,600",-,bio - career - this year - this tournament
53,Raymond Floyd,,54,76,73,75,77,47,43,47,+13,301,"$1,600",-,bio - career - this year - this tournament
54,Don Massengale,,55,74,74,76,78,23,33,47,+14,302,"$1,600",-,bio - career - this year - this tournament
55,Jerry Heard,,56,76,75,72,80,47,55,39,+15,303,"$1,600",-,bio - career - this year - this tournament
56,John Schlee,,57,76,73,74,82,47,43,39,+17,305,"$1,600",-,bio - career - this year - this tournament
57,Bud Allin,,CUT,76,76,0,0,47,58,0,+8,152,,-,bio - career - this year - this tournament
58,Deane Beman,,CUT,77,75,0,0,53,58,0,+8,152,,-,bio - career - this year - this tournament
59,Tony Jacklin,,CUT,77,75,0,0,53,58,0,+8,152,,-,bio - career - this year - this tournament
60,Hahn Chang Sang,,CUT,77,75,0,0,53,58,0,+8,152,,-,bio - career - this year - this tournament
61,Gary Cowan,,CUT,74,78,0,0,23,58,0,+8,152,,-,bio - career - this year - this tournament
62,Bob Shaw,,CUT,74,78,0,0,23,58,0,+8,152,,-,bio - career - this year - this tournament
63,Jerry McGee,,CUT,81,72,0,0,72,64,0,+9,153,,-,bio - career - this year - this tournament
64,Doug Ford,,CUT,76,78,0,0,47,65,0,+10,154,,-,bio - career - this year - this tournament
65,Julius Boros,,CUT,75,79,0,0,38,65,0,+10,154,,-,bio - career - this year - this tournament
