,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Jack Nicklaus,,Win,74,66,74,72,14,2,1,-2,286,"$20,000",-,bio - career - this year - this tournament
1,Tony Lema,,2,74,69,74,70,14,6,4,-1,287,"$12,000",-,bio - career - this year - this tournament
2,Julius Boros,,T3,76,69,71,72,42,9,3,E,288,"$70,000",-,bio - career - this year - this tournament
3,Sam Snead,,T3,70,73,74,71,3,6,4,E,288,"$70,000",-,bio - career - this year - this tournament
4,Dow Finsterwald,,T5,74,73,73,69,14,17,12,+1,289,"$4,000",-,bio - career - this year - this tournament
5,Ed Furgol,,T5,70,71,74,74,3,4,2,+1,289,"$4,000",-,bio - career - this year - this tournament
6,Gary Player,,T5,71,74,74,70,6,9,9,+1,289,"$4,000",-,bio - career - this year - this tournament
7,Bo Wininger,,8,69,72,77,72,1,4,6,+2,290,"$2,400",-,bio - career - this year - this tournament
8,Don January,,T9,73,75,72,71,10,25,12,+3,291,"$1,800",-,bio - career - this year - this tournament
9,Arnold Palmer,,T9,74,73,73,71,14,17,12,+3,291,"$1,800",-,bio - career - this year - this tournament
10,Billy Casper,,T11,79,72,71,70,58,38,17,+4,292,"$1,350",-,bio - career - this year - this tournament
11,Bruce Crampton,,T11,74,74,72,72,14,25,12,+4,292,"$1,350",-,bio - career - this year - this tournament
12,Doug Ford,,T11,75,73,75,69,27,25,21,+4,292,"$1,350",-,bio - career - this year - this tournament
13,Mike Souchak,,T11,69,70,79,74,1,1,6,+4,292,"$1,350",-,bio - career - this year - this tournament
14,Bob Charles,,T15,74,72,76,71,14,11,17,+5,293,"$1,100",-,bio - career - this year - this tournament
15,Chen Ching Po,,T15,76,71,71,75,42,17,6,+5,293,"$1,100",-,bio - career - this year - this tournament
16,Billy Maxwell,,T15,72,75,76,70,8,17,21,+5,293,"$1,100",-,bio - career - this year - this tournament
17,Dick Mayer,,T15,73,70,80,70,10,6,21,+5,293,"$1,100",-,bio - career - this year - this tournament
18,Mason Rudolph,,T15,75,72,72,74,27,17,9,+5,293,"$1,100",-,bio - career - this year - this tournament
19,Dan Sikes,,T15,74,76,72,71,14,34,17,+5,293,"$1,100",-,bio - career - this year - this tournament
20,Stan Leonard,,T21,74,72,73,75,14,11,9,+6,294,"$1,000",-,bio - career - this year - this tournament
21,Johnny Pott,,T21,75,76,74,69,27,38,28,+6,294,"$1,000",-,bio - career - this year - this tournament
22,Art Wall,,T21,75,74,73,72,27,28,17,+6,294,"$1,000",-,bio - career - this year - this tournament
23,Wes Ellis,,T24,74,72,79,70,14,11,28,+7,295,"$1,000",-,bio - career - this year - this tournament
