,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Phil Mickelson,,Win,70,72,70,69,4,5,1,-7,281,"$1,260,000",-,bio - career - this year - this tournament
1,Tim Clark,,2,70,72,72,69,4,5,4,-5,283,"$756,000",-,bio - career - this year - this tournament
2,Chad Campbell,,T3,71,67,75,71,8,1,2,-4,284,"$315,700",-,bio - career - this year - this tournament
3,Fred Couples,,T3,71,70,72,71,8,2,2,-4,284,"$315,700",-,bio - career - this year - this tournament
4,Tiger Woods,,T3,72,71,71,70,19,10,4,-4,284,"$315,700",-,bio - career - this year - this tournament
5,Retief Goosen,,T3,70,73,72,69,4,10,10,-4,284,"$315,700",-,bio - career - this year - this tournament
6,Jose Maria Olazabal,,T3,76,71,71,66,55,39,22,-4,284,"$315,700",-,bio - career - this year - this tournament
7,Vijay Singh,,T8,67,74,73,71,1,2,4,-3,285,"$210,000",-,bio - career - this year - this tournament
8,Angel Cabrera,,T8,73,74,70,68,30,39,16,-3,285,"$210,000",-,bio - career - this year - this tournament
9,Stewart Cink,,10,72,73,71,70,19,23,12,-2,286,"$189,000",-,bio - career - this year - this tournament
10,Stephen Ames,,T11,74,70,70,73,37,17,4,-1,287,"$161,000",-,bio - career - this year - this tournament
11,Miguel A. Jimenez,,T11,72,74,69,72,19,30,10,-1,287,"$161,000",-,bio - career - this year - this tournament
12,Mike Weir,,T11,71,73,73,70,8,17,16,-1,287,"$161,000",-,bio - career - this year - this tournament
13,Billy Mayfair,,T14,71,72,73,72,8,10,12,E,288,"$129,500",-,bio - career - this year - this tournament
14,Arron Oberholser,,T14,69,75,73,71,3,17,16,E,288,"$129,500",-,bio - career - this year - this tournament
15,Rod Pampling,,T16,72,73,72,72,19,23,16,+1,289,"$112,000",-,bio - career - this year - this tournament
16,Scott Verplank,,T16,74,70,74,71,37,17,22,+1,289,"$112,000",-,bio - career - this year - this tournament
17,Geoff Ogilvy,,T16,70,75,73,71,4,23,22,+1,289,"$112,000",-,bio - career - this year - this tournament
18,David Howell,,T19,71,71,76,72,8,5,22,+2,290,"$91,000",-,bio - career - this year - this tournament
19,Nick O'Hern,,T19,71,72,76,71,8,10,29,+2,290,"$91,000",-,bio - career - this year - this tournament
20,Stuart Appleby,,T19,71,75,73,71,8,30,29,+2,290,"$91,000",-,bio - career - this year - this tournament
21,Darren Clarke,,T22,72,70,72,77,19,5,4,+3,291,"$67,200",-,bio - career - this year - this tournament
22,Jim Furyk,,T22,73,75,68,75,30,44,12,+3,291,"$67,200",-,bio - career - this year - this tournament
23,Mark Hensby,,T22,80,67,70,74,79,39,16,+3,291,"$67,200",-,bio - career - this year - this tournament
24,Davis Love III,,T22,74,71,74,72,37,23,29,+3,291,"$67,200",-,bio - career - this year - this tournament
25,Robert Allenby,,T22,73,73,74,71,30,30,33,+3,291,"$67,200",-,bio - career - this year - this tournament
26,Ernie Els,,T27,71,71,74,76,8,5,12,+4,292,"$49,700",-,bio - career - this year - this tournament
27,Padraig Harrington,,T27,73,70,75,74,30,10,22,+4,292,"$49,700",-,bio - career - this year - this tournament
28,Shingo Katayama,,T27,75,70,73,74,48,23,22,+4,292,"$49,700",-,bio - career - this year - this tournament
29,Carl Pettersson,,T27,72,74,73,73,19,30,29,+4,292,"$49,700",-,bio - career - this year - this tournament
30,Adam Scott,,T27,72,74,75,71,19,30,35,+4,292,"$49,700",-,bio - career - this year - this tournament
31,Ted Purdy,,T32,72,76,74,71,19,44,38,+5,293,"$40,512",-,bio - career - this year - this tournament
32,Zach Johnson,,T32,74,72,77,70,37,30,41,+5,293,"$40,512",-,bio - career - this year - this tournament
33,Thomas Bjorn,,T32,73,75,76,69,30,44,43,+5,293,"$40,512",-,bio - career - this year - this tournament
34,Brandt Jobe,,T32,72,76,77,68,19,44,46,+5,293,"$40,512",-,bio - career - this year - this tournament
35,Rocco Mediate,,T36,68,73,73,80,2,2,4,+6,294,"$34,416",-,bio - career - this year - this tournament
36,Tim Herron,,T36,76,71,71,76,55,39,22,+6,294,"$34,416",-,bio - career - this year - this tournament
37,Rory Sabbatini,,T36,76,70,74,74,55,30,33,+6,294,"$34,416",-,bio - career - this year - this tournament
38,Jason Bohn,,T39,73,71,77,74,30,17,35,+7,295,"$30,100",-,bio - career - this year - this tournament
39,Ben Curtis,,T39,71,74,77,73,8,23,38,+7,295,"$30,100",-,bio - career - this year - this tournament
40,Justin Leonard,,T39,75,70,79,71,48,23,43,+7,295,"$30,100",-,bio - career - this year - this tournament
41,Rich Beem,,T42,71,73,73,79,8,17,16,+8,296,"$25,900",-,bio - career - this year - this tournament
42,Luke Donald,,T42,74,72,76,74,37,30,38,+8,296,"$25,900",-,bio - career - this year - this tournament
43,Larry Mize,,T42,75,72,77,72,48,39,43,+8,296,"$25,900",-,bio - career - this year - this tournament
44,Olin Browne,,45,74,69,80,74,37,10,41,+9,297,"$23,100",-,bio - career - this year - this tournament
45,Sergio Garcia,,46,72,74,79,73,19,30,46,+10,298,"$21,700",-,bio - career - this year - this tournament
46,Ben Crenshaw,,47,71,72,78,79,8,10,35,+12,300,"$20,300",-,bio - career - this year - this tournament
47,Colin Montgomerie,,CUT,74,75,0,0,37,48,0,+5,149,,-,bio - career - this year - this tournament
48,Ben Crane,,CUT,74,75,0,0,37,48,0,+5,149,,-,bio - career - this year - this tournament
49,Michael Campbell,,CUT,75,74,0,0,48,48,0,+5,149,,-,bio - career - this year - this tournament
50,Vaughn Taylor,,CUT,75,74,0,0,48,48,0,+5,149,,-,bio - career - this year - this tournament
51,Bart Bryant,,CUT,76,73,0,0,55,48,0,+5,149,,-,bio - career - this year - this tournament
