,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Doug Ford,,Win,72,73,72,66,2,6,6,-5,283,"$8,750",-,bio - career - this year - this tournament
1,Sam Snead,,2,72,68,74,72,2,1,1,-2,286,"$4,375",-,bio - career - this year - this tournament
2,Jimmy Demaret,,3,72,70,75,70,2,2,6,-1,287,"$2,625",-,bio - career - this year - this tournament
3,Harvie Ward Jr,,4,73,71,71,73,7,4,2,E,288,,-,bio - career - this year - this tournament
4,Peter Thomson,,5,72,73,73,71,2,6,9,+1,289,"$1,750",-,bio - career - this year - this tournament
5,Ed Furgol,,6,73,71,72,74,7,4,5,+2,290,"$1,312",-,bio - career - this year - this tournament
6,Jack Burke Jr.,,T7,71,72,74,74,1,3,6,+3,291,"$1,137",-,bio - career - this year - this tournament
7,Dow Finsterwald,,T7,74,74,73,70,16,20,16,+3,291,"$1,137",-,bio - career - this year - this tournament
8,Arnold Palmer,,T7,73,73,69,76,7,8,2,+3,291,"$1,137",-,bio - career - this year - this tournament
9,Jay Hebert,,10,74,72,76,70,16,8,19,+4,292,"$1,005",-,bio - career - this year - this tournament
10,Marty Furgol,,T11,73,74,73,73,7,13,14,+5,293,$940,-,bio - career - this year - this tournament
11,Stan Leonard,,T11,75,72,68,78,29,13,2,+5,293,$940,-,bio - career - this year - this tournament
12,Henry Cotton,,T13,73,73,72,76,7,8,9,+6,294,$853,-,bio - career - this year - this tournament
13,Bud Taylor,,T13,74,74,77,69,16,20,28,+6,294,,-,bio - career - this year - this tournament
14,Ken Venturi,,T13,74,76,74,70,16,29,24,+6,294,$853,-,bio - career - this year - this tournament
15,Al Balding,,T16,73,73,73,76,7,8,11,+7,295,$778,-,bio - career - this year - this tournament
16,Billy Casper,,T16,75,75,75,70,29,29,28,+7,295,$778,-,bio - career - this year - this tournament
17,Mike Fetchick,,T16,74,73,72,76,16,13,11,+7,295,$778,-,bio - career - this year - this tournament
18,Fred Hawkins,,T16,75,74,72,74,29,27,16,+7,295,$778,-,bio - career - this year - this tournament
19,Byron Nelson,,T16,74,72,73,76,16,8,11,+7,295,$778,-,bio - career - this year - this tournament
20,Bruce Crampton,,T21,72,75,78,71,2,13,28,+8,296,$729,-,bio - career - this year - this tournament
21,Al Mengert,,T21,75,75,71,75,29,29,16,+8,296,$729,-,bio - career - this year - this tournament
22,Henry Ransom,,T21,75,73,72,76,29,20,14,+8,296,$729,-,bio - career - this year - this tournament
23,Johnny Palmer,,T24,77,73,73,74,46,29,21,+9,297,$700,-,bio - career - this year - this tournament
24,Gary Player,,T24,77,72,75,73,46,27,24,+9,297,$700,-,bio - career - this year - this tournament
25,Jerry Barber,,T26,73,77,78,70,7,29,39,+10,298,$350,-,bio - career - this year - this tournament
26,Jack Fleck,,T26,76,74,75,73,38,29,28,+10,298,$350,-,bio - career - this year - this tournament
27,Bill Johnston,,T28,77,70,78,74,46,13,28,+11,299,$300,-,bio - career - this year - this tournament
28,Lawson Little,,T28,76,72,77,74,38,20,28,+11,299,$300,-,bio - career - this year - this tournament
29,Lloyd Mangrum,,T28,77,71,74,77,46,20,19,+11,299,$300,-,bio - career - this year - this tournament
30,Skee Riegel,,T31,73,74,78,75,7,13,28,+12,300,$300,-,bio - career - this year - this tournament
31,Doug Sanders,,T31,76,72,75,77,38,20,21,+12,300,$300,-,bio - career - this year - this tournament
32,Bud Ward,,T31,73,75,76,76,7,20,24,+12,300,$300,-,bio - career - this year - this tournament
33,Rex Baxter,,34,79,71,73,78,68,29,21,+13,301,,-,bio - career - this year - this tournament
34,Dick Mayer,,T35,80,70,75,77,81,29,28,+14,302,$300,-,bio - career - this year - this tournament
35,Henry Picard,,T35,79,71,78,74,68,29,39,+14,302,$300,-,bio - career - this year - this tournament
36,Sam Urzetta,,T35,74,73,78,77,16,13,28,+14,302,$300,-,bio - career - this year - this tournament
37,Don Cherry,,T38,78,72,76,77,59,29,37,+15,303,,-,bio - career - this year - this tournament
38,Claude Harmon,,T38,78,72,77,76,59,29,38,+15,303,$300,-,bio - career - this year - this tournament
39,Hillman Robbins,,40,77,73,74,80,46,29,24,+16,304,,-,bio - career - this year - this tournament
40,Tommy Bolt,,CUT,74,77,0,0,16,41,0,+7,151,,-,bio - career - this year - this tournament
41,Bruce Cudd,,CUT,74,77,0,0,16,41,0,+7,151,,-,bio - career - this year - this tournament
42,Ben Hogan,,CUT,76,75,0,0,38,41,0,+7,151,,-,bio - career - this year - this tournament
43,Gene Littler,,CUT,76,75,0,0,38,41,0,+7,151,,-,bio - career - this year - this tournament
44,Moe Norman,,CUT,77,74,0,0,46,41,0,+7,151,,-,bio - career - this year - this tournament
45,Bill Ogden,,CUT,74,77,0,0,16,41,0,+7,151,,-,bio - career - this year - this tournament
46,Bob Toski,,CUT,78,73,0,0,59,41,0,+7,151,,-,bio - career - this year - this tournament
47,Art Wall,,CUT,79,72,0,0,68,41,0,+7,151,,-,bio - career - this year - this tournament
48,Trevor Wilkes,,CUT,75,76,0,0,29,41,0,+7,151,,-,bio - career - this year - this tournament
49,Ted Gleichmann,,CUT,76,76,0,0,38,50,0,+8,152,,-,bio - career - this year - this tournament
50,Cary Middlecoff,,CUT,79,73,0,0,68,50,0,+8,152,,-,bio - career - this year - this tournament
51,Bob Rosburg,,CUT,76,76,0,0,38,50,0,+8,152,,-,bio - career - this year - this tournament
52,Mike Souchak,,CUT,78,74,0,0,59,50,0,+8,152,,-,bio - career - this year - this tournament
53,Jim Turnesa,,CUT,76,76,0,0,38,50,0,+8,152,,-,bio - career - this year - this tournament
54,Errie Ball,,CUT,75,78,0,0,29,55,0,+9,153,,-,bio - career - this year - this tournament
55,Arnold Blum,,CUT,79,74,0,0,68,55,0,+9,153,,-,bio - career - this year - this tournament
56,Gardner Dickinson,,CUT,77,76,0,0,46,55,0,+9,153,,-,bio - career - this year - this tournament
57,Paul Runyan,,CUT,74,79,0,0,16,55,0,+9,153,,-,bio - career - this year - this tournament
58,Lew Worsham,,CUT,77,76,0,0,46,55,0,+9,153,,-,bio - career - this year - this tournament
59,Dick Yost,,CUT,74,79,0,0,16,55,0,+9,153,,-,bio - career - this year - this tournament
60,Walter Burkemo,,CUT,79,75,0,0,68,61,0,+10,154,,-,bio - career - this year - this tournament
61,Joe Conrad,,CUT,78,76,0,0,59,61,0,+10,154,,-,bio - career - this year - this tournament
62,Chick Harbert,,CUT,79,75,0,0,68,61,0,+10,154,,-,bio - career - this year - this tournament
63,Chuck Kocsis,,CUT,77,77,0,0,46,61,0,+10,154,,-,bio - career - this year - this tournament
