,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Patrick Reed,,Win,69,66,67,71,4,1,1,-15,273,"$1,980,000",-,bio - career - this year - this tournament
1,Rickie Fowler,,2,70,72,65,67,11,8,3,-14,274,"$1,188,000",-,bio - career - this year - this tournament
2,Jordan Spieth,,3,66,74,71,64,1,4,9,-13,275,"$748,000",-,bio - career - this year - this tournament
3,Jon Rahm,,4,75,68,65,69,55,14,4,-11,277,"$528,000",-,bio - career - this year - this tournament
4,Henrik Stenson,,T5,69,70,70,70,4,3,5,-9,279,"$386,375",-,bio - career - this year - this tournament
5,Bubba Watson,,T5,73,69,68,69,29,8,6,-9,279,"$386,375",-,bio - career - this year - this tournament
6,Rory McIlroy,,T5,69,71,65,74,4,4,2,-9,279,"$386,375",-,bio - career - this year - this tournament
7,Cameron Smith,,T5,71,72,70,66,16,14,12,-9,279,"$386,375",-,bio - career - this year - this tournament
8,Marc Leishman,,9,70,67,73,70,11,2,6,-8,280,"$319,000",-,bio - career - this year - this tournament
9,Tony Finau,,T10,68,74,73,66,2,8,15,-7,281,"$286,000",-,bio - career - this year - this tournament
10,Dustin Johnson,,T10,73,68,71,69,29,6,11,-7,281,"$286,000",-,bio - career - this year - this tournament
11,Charley Hoffman,,T12,69,73,73,67,4,8,15,-6,282,"$231,000",-,bio - career - this year - this tournament
12,Justin Rose,,T12,72,70,71,69,21,8,12,-6,282,"$231,000",-,bio - career - this year - this tournament
13,Louis Oosthuizen,,T12,71,71,71,69,16,8,12,-6,282,"$231,000",-,bio - career - this year - this tournament
14,Paul Casey,,T15,74,75,69,65,42,46,30,-5,283,"$192,500",-,bio - career - this year - this tournament
15,Russell Henley,,T15,73,72,71,67,29,23,21,-5,283,"$192,500",-,bio - career - this year - this tournament
16,Tommy Fleetwood,,T17,72,72,66,74,21,18,6,-4,284,"$170,500",-,bio - career - this year - this tournament
17,Justin Thomas,,T17,74,67,70,73,42,6,9,-4,284,"$170,500",-,bio - career - this year - this tournament
18,Hideki Matsuyama,,19,73,71,72,69,29,18,21,-3,285,"$154,000",-,bio - career - this year - this tournament
19,Francesco Molinari,,T20,72,74,70,70,21,28,21,-2,286,"$128,150",-,bio - career - this year - this tournament
20,Jimmy Walker,,T20,73,71,71,71,29,18,15,-2,286,"$128,150",-,bio - career - this year - this tournament
21,Jason Day,,T20,75,71,69,71,55,28,15,-2,286,"$128,150",-,bio - career - this year - this tournament
22,Webb Simpson,,T20,76,73,70,67,62,46,36,-2,286,"$128,150",-,bio - career - this year - this tournament
23,Bernd Wiesberger,,T24,70,73,72,72,11,14,15,-1,287,"$93,775",-,bio - career - this year - this tournament
24,Branden Grace,,T24,73,73,74,67,29,28,40,-1,287,"$93,775",-,bio - career - this year - this tournament
25,Adam Hadwin,,T24,69,75,72,71,4,18,21,-1,287,"$93,775",-,bio - career - this year - this tournament
26,Si Woo Kim,,T24,75,73,68,71,55,40,21,-1,287,"$93,775",-,bio - career - this year - this tournament
27,Matt Kuchar,,T28,68,75,72,73,2,14,15,E,288,"$76,450",-,bio - career - this year - this tournament
28,Ryan Moore,,T28,74,72,72,70,42,28,30,E,288,"$76,450",-,bio - career - this year - this tournament
29,Kevin Kisner,,T28,72,75,69,72,21,35,21,E,288,"$76,450",-,bio - career - this year - this tournament
30,Satoshi Kodaira,,T28,71,74,71,72,16,23,21,E,288,"$76,450",-,bio - career - this year - this tournament
31,Tiger Woods,,T32,73,75,72,69,29,40,40,+1,289,"$63,663",-,bio - career - this year - this tournament
32,Adam Scott,,T32,75,73,70,71,55,40,30,+1,289,"$63,663",-,bio - career - this year - this tournament
33,Haotong Li,,T32,69,76,72,72,4,23,29,+1,289,"$63,663",-,bio - career - this year - this tournament
34,Daniel Berger,,T32,73,74,71,71,29,35,30,+1,289,"$63,663",-,bio - career - this year - this tournament
35,Phil Mickelson,,T36,70,79,74,67,11,46,50,+2,290,"$55,275",-,bio - career - this year - this tournament
36,Zach Johnson,,T36,70,74,74,72,11,18,30,+2,290,"$55,275",-,bio - career - this year - this tournament
37,Fred Couples,,T38,72,74,73,72,21,28,36,+3,291,"$46,200",-,bio - career - this year - this tournament
38,Bernhard Langer,,T38,74,74,71,72,42,40,36,+3,291,"$46,200",-,bio - career - this year - this tournament
39,Rafael Cabrera-Bello,,T38,69,76,74,72,4,23,36,+3,291,"$46,200",-,bio - career - this year - this tournament
40,Jhonattan Vegas,,T38,77,69,72,73,73,28,30,+3,291,"$46,200",-,bio - career - this year - this tournament
41,Matthew Fitzpatrick,,T38,75,74,67,75,55,46,21,+3,291,"$46,200",-,bio - career - this year - this tournament
42,Bryson DeChambeau,,T38,74,74,72,71,42,40,40,+3,291,"$46,200",-,bio - career - this year - this tournament
43,Ian Poulter,,T44,74,75,74,69,42,46,50,+4,292,"$35,200",-,bio - career - this year - this tournament
44,Brian Harman,,T44,73,74,76,69,29,35,50,+4,292,"$35,200",-,bio - career - this year - this tournament
45,Kiradech Aphibarnrat,,T44,79,70,72,71,82,46,43,+4,292,"$35,200",-,bio - career - this year - this tournament
46,Tyrrell Hatton,,T44,74,75,73,70,42,46,47,+4,292,"$35,200",-,bio - career - this year - this tournament
47,Martin Kaymer,,48,74,73,74,73,42,35,43,+6,294,"$30,140",-,bio - career - this year - this tournament
48,Vijay Singh,,49,71,74,79,71,16,23,53,+7,295,"$28,600",-,bio - career - this year - this tournament
49,Xander Schauffele,,T50,71,78,72,75,16,46,43,+8,296,"$27,720",-,bio - career - this year - this tournament
50,Doug Ghim,,T50,72,76,74,74,21,40,47,+8,296,,-,bio - career - this year - this tournament
51,Kyle Stanley,,52,72,74,75,76,21,28,43,+9,297,"$27,060",-,bio - career - this year - this tournament
52,Chez Reavie,,53,76,71,75,76,62,35,47,+10,298,"$26,400",-,bio - career - this year - this tournament
53,Sandy Lyle,,CUT,74,76,0,0,42,54,0,+6,150,,-,bio - career - this year - this tournament
54,Jose Maria Olazabal,,CUT,74,76,0,0,42,54,0,+6,150,,-,bio - career - this year - this tournament
55,Jason Dufner,,CUT,73,77,0,0,29,54,0,+6,150,,-,bio - career - this year - this tournament
56,Charl Schwartzel,,CUT,72,78,0,0,21,54,0,+6,150,,-,bio - career - this year - this tournament
57,"Ted Potter, Jr.",,CUT,73,78,0,0,29,58,0,+7,151,,-,bio - career - this year - this tournament
58,Brendan Steele,,CUT,76,75,0,0,62,58,0,+7,151,,-,bio - career - this year - this tournament
59,Dylan Frittelli,,CUT,77,74,0,0,73,58,0,+7,151,,-,bio - career - this year - this tournament
60,Danny Willett,,CUT,75,76,0,0,55,58,0,+7,151,,-,bio - career - this year - this tournament
61,Thomas Pieters,,CUT,73,78,0,0,29,58,0,+7,151,,-,bio - career - this year - this tournament
62,Patrick Cantlay,,CUT,75,76,0,0,55,58,0,+7,151,,-,bio - career - this year - this tournament
63,Shubhankar Sharma,,CUT,77,74,0,0,73,58,0,+7,151,,-,bio - career - this year - this tournament
