,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Craig Wood,,Win,66,71,71,72,1,1,1,-8,280,"$1,500",-,bio - career - this year - this tournament
1,Byron Nelson,,2,71,69,73,70,2,2,3,-5,283,$800,-,bio - career - this year - this tournament
2,Sam Byrd,,3,73,70,68,74,9,4,2,-3,285,$600,-,bio - career - this year - this tournament
3,Ben Hogan,,4,71,72,75,68,2,4,8,-2,286,$500,-,bio - career - this year - this tournament
4,Ed Dudley,,5,73,72,75,68,9,9,12,E,288,$400,-,bio - career - this year - this tournament
5,Vic Ghezzi,,T6,77,71,71,70,36,18,9,+1,289,$275,-,bio - career - this year - this tournament
6,Sam Snead,,T6,73,75,72,69,9,18,12,+1,289,$275,-,bio - career - this year - this tournament
7,Lawson Little,,8,71,70,74,75,2,3,4,+2,290,$200,-,bio - career - this year - this tournament
8,Willie Goggin,,T9,71,72,72,76,2,4,4,+3,291,$116,-,bio - career - this year - this tournament
9,Lloyd Mangrum,,T9,71,72,72,76,2,4,4,+3,291,$116,-,bio - career - this year - this tournament
10,Harold McSpaden,,T9,75,74,72,70,23,22,16,+3,291,$116,-,bio - career - this year - this tournament
11,Jimmy Demaret,,T12,77,69,71,75,36,11,7,+4,292,$50,-,bio - career - this year - this tournament
12,Clayton Heafner,,T12,73,70,76,73,9,4,9,+4,292,$50,-,bio - career - this year - this tournament
13,Harry Cooper,,T14,72,73,75,73,7,9,12,+5,293,,-,bio - career - this year - this tournament
14,Ralph Guldahl,,T14,76,71,75,71,28,15,19,+5,293,,-,bio - career - this year - this tournament
15,Jimmy Thomson,,T14,73,75,72,73,9,18,12,+5,293,,-,bio - career - this year - this tournament
16,Jack Ryan,,17,73,74,74,74,9,15,16,+7,295,,-,bio - career - this year - this tournament
17,Denny Shute,,18,77,75,74,70,36,36,28,+8,296,,-,bio - career - this year - this tournament
18,Dick Chapman,,T19,76,73,70,78,28,22,9,+9,297,,-,bio - career - this year - this tournament
19,Jimmy Hines,,T19,76,74,75,72,28,26,25,+9,297,,-,bio - career - this year - this tournament
20,Gene Kunes,,T19,76,74,76,71,28,26,28,+9,297,,-,bio - career - this year - this tournament
21,Dick Metz,,T19,74,72,75,76,18,11,16,+9,297,,-,bio - career - this year - this tournament
22,"Sam Parks, Jr.",,T19,75,76,75,71,23,31,28,+9,297,,-,bio - career - this year - this tournament
23,Toney Penna,,T19,73,74,80,70,9,15,33,+9,297,,-,bio - career - this year - this tournament
24,Gene Sarazen,,T19,76,72,74,75,28,18,19,+9,297,,-,bio - career - this year - this tournament
25,Felix Serafin,,T19,72,79,74,72,7,31,25,+9,297,,-,bio - career - this year - this tournament
26,Horton Smith,,T19,74,72,77,74,18,11,22,+9,297,,-,bio - career - this year - this tournament
27,Ray Mangrum,,28,76,70,78,74,28,11,23,+10,298,,-,bio - career - this year - this tournament
28,Jim Ferrier,,T29,75,76,73,75,23,31,23,+11,299,,-,bio - career - this year - this tournament
29,Jim Foulis,,T29,76,75,71,77,28,31,19,+11,299,,-,bio - career - this year - this tournament
30,Martin Pose,,T29,77,74,76,72,36,31,33,+11,299,,-,bio - career - this year - this tournament
31,Al Watrous,,32,74,75,76,75,18,22,25,+12,300,,-,bio - career - this year - this tournament
32,Leonard Dodson,,33,75,77,78,71,23,36,39,+13,301,,-,bio - career - this year - this tournament
33,George Dawson,,34,74,78,77,73,18,36,38,+14,302,,-,bio - career - this year - this tournament
34,Paul Runyan,,T35,78,78,74,73,42,43,39,+15,303,,-,bio - career - this year - this tournament
35,Charles Yates,,T35,78,75,75,75,42,39,36,+15,303,,-,bio - career - this year - this tournament
36,Frank Walsh,,37,74,76,76,78,18,26,28,+16,304,,-,bio - career - this year - this tournament
37,Tommy Armour,,38,75,75,76,79,23,26,28,+17,305,,-,bio - career - this year - this tournament
38,Johnny Bulla,,39,73,76,78,79,9,22,33,+18,306,,-,bio - career - this year - this tournament
39,Robert-T. Jones,,40,76,74,78,79,28,26,36,+19,307,,-,bio - career - this year - this tournament
40,Bruce Coltart,,41,80,78,75,75,46,45,42,+20,308,,-,bio - career - this year - this tournament
41,Andy Gibson,,42,78,75,80,76,42,39,42,+21,309,,-,bio - career - this year - this tournament
42,Jock Hutchison,,43,77,81,76,78,36,45,45,+24,312,,-,bio - career - this year - this tournament
43,Tony Manero,,T44,73,80,78,82,9,39,41,+25,313,,-,bio - career - this year - this tournament
44,W.B. Mccullough,,T44,79,74,84,76,45,39,46,+25,313,,-,bio - career - this year - this tournament
45,Art Doering,,46,77,79,77,81,36,43,42,+26,314,,-,bio - career - this year - this tournament
46,Andrew Szwedko,,47,81,79,78,81,47,47,47,+31,319,,-,bio - career - this year - this tournament
47,Henry Ransom,,WD,0,0,0,0,0,0,0,0,0,,-,bio - career - this year - this tournament
48,Francis Ouimet,,WD,82,0,0,0,48,0,0,E,82,,-,bio - career - this year - this tournament
49,Walter Hagen,,WD,87,0,0,0,49,0,0,+15,87,,-,bio - career - this year - this tournament
