,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Gary Player,,Win,69,68,69,74,3,1,1,-8,280,"$20,000",-,bio - career - this year - this tournament
1,Charles Coe,,T2,72,71,69,69,9,5,3,-7,281,,-,bio - career - this year - this tournament
2,Arnold Palmer,,T2,68,69,73,71,1,1,2,-7,281,"$12,000",-,bio - career - this year - this tournament
3,Tommy Bolt,,T4,72,71,74,68,9,5,16,-3,285,"$7,000",-,bio - career - this year - this tournament
4,Don January,,T4,74,68,72,71,22,4,6,-3,285,"$7,000",-,bio - career - this year - this tournament
5,Paul Harney,,6,71,73,68,74,5,12,3,-2,286,"$4,800",-,bio - career - this year - this tournament
6,Jack Burke Jr.,,T7,76,70,68,73,54,18,6,-1,287,"$3,200",-,bio - career - this year - this tournament
7,Billy Casper,,T7,72,77,69,69,9,38,22,-1,287,"$3,200",-,bio - career - this year - this tournament
8,Bill Collins,,T7,74,72,67,74,22,18,5,-1,287,"$3,200",-,bio - career - this year - this tournament
9,Jack Nicklaus,,T7,70,75,70,72,4,13,9,-1,287,,-,bio - career - this year - this tournament
10,Walter Burkemo,,T11,74,69,73,72,22,5,13,E,288,"$1,666",-,bio - career - this year - this tournament
11,Robert Gardner,,T11,74,71,72,71,22,13,16,E,288,,-,bio - career - this year - this tournament
12,Doug Sanders,,T11,76,71,68,73,54,25,9,E,288,"$1,666",-,bio - career - this year - this tournament
13,Ken Venturi,,T11,72,71,72,73,9,5,9,E,288,"$1,666",-,bio - career - this year - this tournament
14,Stan Leonard,,T15,72,74,71,72,9,18,16,+1,289,"$1,300",-,bio - career - this year - this tournament
15,Gene Littler,,T15,72,73,72,72,9,13,16,+1,289,"$1,300",-,bio - career - this year - this tournament
16,Bob Rosburg,,T15,68,73,73,75,1,3,6,+1,289,"$1,300",-,bio - career - this year - this tournament
17,Sam Snead,,T15,74,73,69,73,22,25,13,+1,289,"$1,300",-,bio - career - this year - this tournament
18,Dick Mayer,,T19,76,72,70,73,54,34,22,+3,291,"$1,133",-,bio - career - this year - this tournament
19,Johnny Pott,,T19,71,75,72,73,5,18,22,+3,291,"$1,133",-,bio - career - this year - this tournament
20,Peter Thomson,,T19,73,76,68,74,16,38,16,+3,291,"$1,133",-,bio - career - this year - this tournament
21,Roberto De Vicenzo,,T22,73,74,71,74,16,25,22,+4,292,"$1,000",-,bio - career - this year - this tournament
22,Lew Worsham,,T22,74,71,73,74,22,13,22,+4,292,"$1,000",-,bio - career - this year - this tournament
23,Antonio Cerda,,T24,73,73,72,75,16,18,22,+5,293,"$1,000",-,bio - career - this year - this tournament
24,Fred Hawkins,,T24,74,75,72,72,22,38,32,+5,293,"$1,000",-,bio - career - this year - this tournament
25,Ted Kroll,,T24,73,70,72,78,16,5,9,+5,293,"$1,000",-,bio - career - this year - this tournament
26,Al Balding,,T27,74,74,70,76,22,34,22,+6,294,"$1,000",-,bio - career - this year - this tournament
27,Mason Rudolph,,T28,77,69,72,77,61,18,22,+7,295,$500,-,bio - career - this year - this tournament
28,Mike Souchak,,T28,75,72,75,73,45,25,34,+7,295,$500,-,bio - career - this year - this tournament
29,Jay Hebert,,T30,72,75,69,80,9,25,13,+8,296,$500,-,bio - career - this year - this tournament
30,Lionel Hebert,,T30,74,69,74,79,22,5,16,+8,296,$500,-,bio - career - this year - this tournament
31,Doug Ford,,T32,71,76,78,73,5,25,39,+10,298,$500,-,bio - career - this year - this tournament
32,Ben Hogan,,T32,74,73,72,79,22,25,31,+10,298,$500,-,bio - career - this year - this tournament
33,Byron Nelson,,T32,71,72,78,77,5,5,32,+10,298,$500,-,bio - career - this year - this tournament
34,Chick Harbert,,35,74,73,76,76,22,25,36,+11,299,$500,-,bio - career - this year - this tournament
35,Bob Goalby,,36,74,73,76,77,22,25,36,+12,300,$500,-,bio - career - this year - this tournament
36,Jerry Barber,,37,74,72,78,77,22,18,38,+13,301,$500,-,bio - career - this year - this tournament
37,Miguel Sala,,38,74,75,78,81,22,38,41,+20,308,$500,-,bio - career - this year - this tournament
38,Deane Beman,,CUT,73,77,0,0,16,42,0,+6,150,,-,bio - career - this year - this tournament
39,Chi Chi Rodriguez,,CUT,77,73,0,0,61,42,0,+6,150,,-,bio - career - this year - this tournament
40,Chuck Kocsis,,CUT,77,73,0,0,61,42,0,+6,150,,-,bio - career - this year - this tournament
41,Charles Lewis,,CUT,74,76,0,0,22,42,0,+6,150,,-,bio - career - this year - this tournament
42,Cary Middlecoff,,CUT,75,75,0,0,45,42,0,+6,150,,-,bio - career - this year - this tournament
