,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Tiger Woods,,Win,70,68,67,70,11,6,2,-13,275,"$2,070,000",-,bio - career - this year - this tournament
1,Dustin Johnson,,T2,68,70,70,68,4,6,7,-12,276,"$858,667",-,bio - career - this year - this tournament
2,Brooks Koepka,,T2,66,71,69,70,1,1,4,-12,276,"$858,667",-,bio - career - this year - this tournament
3,Xander Schauffele,,T2,73,65,70,68,44,6,7,-12,276,"$858,667",-,bio - career - this year - this tournament
4,Francesco Molinari,,T5,70,67,66,74,11,1,1,-11,277,"$403,938",-,bio - career - this year - this tournament
5,Jason Day,,T5,70,67,73,67,11,1,14,-11,277,"$403,938",-,bio - career - this year - this tournament
6,Webb Simpson,,T5,72,71,64,70,29,29,5,-11,277,"$403,938",-,bio - career - this year - this tournament
7,Tony Finau,,T5,71,70,64,72,21,16,2,-11,277,"$403,938",-,bio - career - this year - this tournament
8,Rickie Fowler,,T9,70,71,68,69,11,16,12,-10,278,"$310,500",-,bio - career - this year - this tournament
9,Patrick Cantlay,,T9,73,73,64,68,44,50,14,-10,278,"$310,500",-,bio - career - this year - this tournament
10,Jon Rahm,,T9,69,70,71,68,6,10,14,-10,278,"$310,500",-,bio - career - this year - this tournament
11,Matt Kuchar,,T12,71,69,68,72,21,12,7,-8,280,"$225,400",-,bio - career - this year - this tournament
12,Ian Poulter,,T12,68,71,68,73,4,10,5,-8,280,"$225,400",-,bio - career - this year - this tournament
13,Bubba Watson,,T12,72,72,67,69,29,36,20,-8,280,"$225,400",-,bio - career - this year - this tournament
14,Justin Harding,,T12,69,69,70,72,6,6,7,-8,280,"$225,400",-,bio - career - this year - this tournament
15,Justin Thomas,,T12,73,68,69,70,44,16,14,-8,280,"$225,400",-,bio - career - this year - this tournament
16,Aaron Wise,,17,75,71,68,67,63,50,31,-7,281,"$184,000",-,bio - career - this year - this tournament
17,Phil Mickelson,,T18,67,73,70,72,3,12,14,-6,282,"$161,000",-,bio - career - this year - this tournament
18,Adam Scott,,T18,69,68,72,73,6,1,12,-6,282,"$161,000",-,bio - career - this year - this tournament
19,Patton Kizzire,,T18,70,70,73,69,11,12,25,-6,282,"$161,000",-,bio - career - this year - this tournament
20,Rory McIlroy,,T21,73,71,71,68,44,36,39,-5,283,"$107,956",-,bio - career - this year - this tournament
21,Kevin Kisner,,T21,69,73,72,69,6,23,31,-5,283,"$107,956",-,bio - career - this year - this tournament
22,Kyle Stanley,,T21,72,72,70,69,29,36,31,-5,283,"$107,956",-,bio - career - this year - this tournament
23,Lucas Bjerregaard,,T21,70,72,69,72,11,23,20,-5,283,"$107,956",-,bio - career - this year - this tournament
24,Thorbjorn Olesen,,T21,71,71,68,73,21,23,14,-5,283,"$107,956",-,bio - career - this year - this tournament
25,Jordan Spieth,,T21,75,68,69,71,63,29,22,-5,283,"$107,956",-,bio - career - this year - this tournament
26,Si Woo Kim,,T21,72,72,70,69,29,36,31,-5,283,"$107,956",-,bio - career - this year - this tournament
27,Matthew Fitzpatrick,,T21,78,67,68,70,80,46,25,-5,283,"$107,956",-,bio - career - this year - this tournament
28,Charley Hoffman,,T29,71,71,72,70,21,23,31,-4,284,"$78,200",-,bio - career - this year - this tournament
29,Louis Oosthuizen,,T29,71,66,71,76,21,1,7,-4,284,"$78,200",-,bio - career - this year - this tournament
30,Bryson DeChambeau,,T29,66,75,73,70,1,16,31,-4,284,"$78,200",-,bio - career - this year - this tournament
31,Charles Howell III,,T32,73,67,76,69,44,12,43,-3,285,"$68,042",-,bio - career - this year - this tournament
32,Gary Woodland,,T32,70,71,74,70,11,16,39,-3,285,"$68,042",-,bio - career - this year - this tournament
33,Hideki Matsuyama,,T32,75,70,68,72,63,46,25,-3,285,"$68,042",-,bio - career - this year - this tournament
34,Viktor Hovland,,T32,72,71,71,71,29,29,31,-3,285,,-,bio - career - this year - this tournament
35,Henrik Stenson,,T36,74,72,67,73,58,50,25,-2,286,"$55,488",-,bio - career - this year - this tournament
36,Jimmy Walker,,T36,72,72,72,70,29,36,43,-2,286,"$55,488",-,bio - career - this year - this tournament
37,Rafael Cabrera-Bello,,T36,73,70,75,68,44,29,50,-2,286,"$55,488",-,bio - career - this year - this tournament
38,Tommy Fleetwood,,T36,71,71,70,74,21,23,22,-2,286,"$55,488",-,bio - career - this year - this tournament
39,Kevin Tway,,T36,72,71,70,73,29,29,25,-2,286,"$55,488",-,bio - career - this year - this tournament
40,Patrick Reed,,T36,73,70,74,69,44,29,47,-2,286,"$55,488",-,bio - career - this year - this tournament
41,Alvaro Ortiz Becerra,,T36,73,71,73,69,44,36,47,-2,286,,-,bio - career - this year - this tournament
42,Keegan Bradley,,T43,76,68,71,72,73,36,39,-1,287,"$44,850",-,bio - career - this year - this tournament
43,Haotong Li,,T43,72,74,73,68,29,50,57,-1,287,"$44,850",-,bio - career - this year - this tournament
44,Keith Mitchell,,T43,72,74,72,69,29,50,50,-1,287,"$44,850",-,bio - career - this year - this tournament
45,Kevin Na,,T46,71,73,73,71,21,36,47,E,288,"$37,950",-,bio - career - this year - this tournament
46,Andrew Landry,,T46,72,73,73,70,29,46,50,E,288,"$37,950",-,bio - career - this year - this tournament
47,Corey Conners,,T46,70,71,71,76,11,16,22,E,288,"$37,950",-,bio - career - this year - this tournament
48,Marc Leishman,,T49,72,72,70,75,29,36,31,+1,289,"$32,430",-,bio - career - this year - this tournament
49,Kiradech Aphibarnrat,,T49,69,72,75,73,6,16,43,+1,289,"$32,430",-,bio - career - this year - this tournament
50,Trevor Immelman,,T51,74,72,75,69,58,50,63,+2,290,"$28,693",-,bio - career - this year - this tournament
51,Martin Kaymer,,T51,73,74,72,71,44,57,57,+2,290,"$28,693",-,bio - career - this year - this tournament
52,Eddie Pepperell,,T51,74,73,72,71,58,57,57,+2,290,"$28,693",-,bio - career - this year - this tournament
53,Cameron Smith,,T51,70,74,69,77,11,36,25,+2,290,"$28,693",-,bio - career - this year - this tournament
54,Devon Bling,,55,74,73,71,73,58,57,50,+3,291,,-,bio - career - this year - this tournament
55,Billy Horschel,,T56,72,75,74,71,29,57,63,+4,292,"$26,910",-,bio - career - this year - this tournament
56,Tyrrell Hatton,,T56,73,73,72,74,44,50,50,+4,292,"$26,910",-,bio - career - this year - this tournament
57,Zach Johnson,,T58,74,73,73,73,58,57,61,+5,293,"$26,335",-,bio - career - this year - this tournament
58,Branden Grace,,T58,72,75,72,74,29,57,57,+5,293,"$26,335",-,bio - career - this year - this tournament
59,Takumi Kanaya,,T58,73,74,68,78,44,57,39,+5,293,,-,bio - career - this year - this tournament
60,Satoshi Kodaira,,61,75,70,73,76,63,46,50,+6,294,"$25,990",-,bio - career - this year - this tournament
61,Bernhard Langer,,T62,71,72,75,78,21,29,50,+8,296,"$25,415",-,bio - career - this year - this tournament
62,J.B. Holmes,,T62,70,72,74,80,11,23,43,+8,296,"$25,415",-,bio - career - this year - this tournament
63,Alex Noren,,T62,75,72,75,74,63,57,65,+8,296,"$25,415",-,bio - career - this year - this tournament
64,Emiliano Grillo,,T62,72,75,73,76,29,57,61,+8,296,"$25,415",-,bio - career - this year - this tournament
65,Sandy Lyle,,CUT,73,75,0,0,44,66,0,+4,148,,-,bio - career - this year - this tournament
66,Mike Weir,,CUT,72,76,0,0,29,66,0,+4,148,,-,bio - career - this year - this tournament
67,Stewart Cink,,CUT,76,72,0,0,73,66,0,+4,148,,-,bio - career - this year - this tournament
68,Sergio Garcia,,CUT,73,75,0,0,44,66,0,+4,148,,-,bio - career - this year - this tournament
69,Justin Rose,,CUT,75,73,0,0,63,66,0,+4,148,,-,bio - career - this year - this tournament
70,Danny Willett,,CUT,75,73,0,0,63,66,0,+4,148,,-,bio - career - this year - this tournament
71,Kevin O'Connell,,CUT,77,71,0,0,77,66,0,+4,148,,-,bio - career - this year - this tournament
72,Fred Couples,,CUT,78,71,0,0,80,73,0,+5,149,,-,bio - career - this year - this tournament
73,Charl Schwartzel,,CUT,77,72,0,0,77,73,0,+5,149,,-,bio - career - this year - this tournament
74,Brandt Snedeker,,CUT,75,74,0,0,63,73,0,+5,149,,-,bio - career - this year - this tournament
75,Adam Long,,CUT,75,74,0,0,63,73,0,+5,149,,-,bio - career - this year - this tournament
76,Shugo Imahira,,CUT,76,74,0,0,73,77,0,+6,150,,-,bio - career - this year - this tournament
77,Larry Mize,,CUT,77,74,0,0,77,78,0,+7,151,,-,bio - career - this year - this tournament
78,Shane Lowry,,CUT,78,73,0,0,80,78,0,+7,151,,-,bio - career - this year - this tournament
79,Matt Wallace,,CUT,75,77,0,0,63,80,0,+8,152,,-,bio - career - this year - this tournament
80,Jovan Rebula,,CUT,73,79,0,0,44,80,0,+8,152,,-,bio - career - this year - this tournament
81,Paul Casey,,CUT,81,73,0,0,86,82,0,+10,154,,-,bio - career - this year - this tournament
82,Michael Kim,,CUT,76,78,0,0,73,82,0,+10,154,,-,bio - career - this year - this tournament
83,Ian Woosnam,,CUT,80,76,0,0,84,84,0,+12,156,,-,bio - career - this year - this tournament
84,Vijay Singh,,CUT,80,76,0,0,84,84,0,+12,156,,-,bio - career - this year - this tournament
85,Jose Maria Olazabal,,CUT,78,79,0,0,80,86,0,+13,157,,-,bio - career - this year - this tournament
86,Angel Cabrera,,CUT,82,75,0,0,87,86,0,+13,157,,-,bio - career - this year - this tournament
