,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Tiger Woods,,Win,70,66,65,69,4,1,1,-18,270,"$486,000",-,bio - career - this year - this tournament
1,Tom Kite,,2,77,69,66,70,47,22,4,-6,282,"$291,600",-,bio - career - this year - this tournament
2,Tommy Tolles,,3,72,72,72,67,8,13,12,-5,283,"$183,600",-,bio - career - this year - this tournament
3,Tom Watson,,4,75,68,69,72,33,10,4,-4,284,"$129,600",-,bio - career - this year - this tournament
4,Paul Stankowski,,T5,68,74,69,74,2,7,3,-3,285,"$102,600",-,bio - career - this year - this tournament
5,Costantino Rocca,,T5,71,69,70,75,5,3,2,-3,285,"$102,600",-,bio - career - this year - this tournament
6,Davis Love III,,T7,72,71,72,71,8,10,10,-2,286,"$78,570",-,bio - career - this year - this tournament
7,Fred Couples,,T7,72,69,73,72,8,4,8,-2,286,"$78,570",-,bio - career - this year - this tournament
8,Bernhard Langer,,T7,72,72,74,68,8,13,18,-2,286,"$78,570",-,bio - career - this year - this tournament
9,Jeff Sluman,,T7,74,67,72,73,25,4,6,-2,286,"$78,570",-,bio - career - this year - this tournament
10,Justin Leonard,,T7,76,69,71,70,42,16,12,-2,286,"$78,570",-,bio - career - this year - this tournament
11,Per-Ulrik Johansson,,T12,72,73,73,69,8,16,18,-1,287,"$52,920",-,bio - career - this year - this tournament
12,Jose Maria Olazabal,,T12,71,70,74,72,5,4,10,-1,287,"$52,920",-,bio - career - this year - this tournament
13,Willie Wood,,T12,72,76,71,68,8,28,24,-1,287,"$52,920",-,bio - career - this year - this tournament
14,Tom Lehman,,T12,73,76,69,69,18,40,18,-1,287,"$52,920",-,bio - career - this year - this tournament
15,Steve Elkington,,T12,76,72,72,67,42,28,30,-1,287,"$52,920",-,bio - career - this year - this tournament
16,Ernie Els,,T17,73,70,71,74,18,10,8,E,288,"$39,150",-,bio - career - this year - this tournament
17,Fred Funk,,T17,73,74,69,72,18,24,12,E,288,"$39,150",-,bio - career - this year - this tournament
18,Mark Calcavecchia,,T17,74,73,72,69,25,24,24,E,288,"$39,150",-,bio - career - this year - this tournament
19,Vijay Singh,,T17,75,74,69,70,33,40,18,E,288,"$39,150",-,bio - career - this year - this tournament
20,Jesper Parnevik,,T21,73,72,71,73,18,16,12,+1,289,"$30,240",-,bio - career - this year - this tournament
21,Stuart Appleby,,T21,72,76,70,71,8,28,18,+1,289,"$30,240",-,bio - career - this year - this tournament
22,John Huston,,T21,67,77,75,70,1,13,24,+1,289,"$30,240",-,bio - career - this year - this tournament
