,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Arnold Palmer,,Win,67,73,72,70,1,1,1,-6,282,"$17,500",-,bio - career - this year - this tournament
1,Ken Venturi,,2,73,69,71,70,22,6,2,-5,283,"$10,500",-,bio - career - this year - this tournament
2,Dow Finsterwald,,3,71,70,72,71,8,2,2,-4,284,"$7,000",-,bio - career - this year - this tournament
3,Billy Casper,,4,71,71,71,74,8,6,2,-1,287,"$5,250",-,bio - career - this year - this tournament
4,Julius Boros,,5,72,71,70,75,12,9,2,E,288,"$4,200",-,bio - career - this year - this tournament
5,Walter Burkemo,,T6,72,69,75,73,12,2,8,+1,289,"$2,800",-,bio - career - this year - this tournament
6,Ben Hogan,,T6,73,68,72,76,22,2,2,+1,289,"$2,800",-,bio - career - this year - this tournament
7,Gary Player,,T6,72,71,72,74,12,9,7,+1,289,"$2,800",-,bio - career - this year - this tournament
8,Lionel Hebert,,T9,74,70,73,73,35,13,12,+2,290,"$1,575",-,bio - career - this year - this tournament
9,Stan Leonard,,T9,72,72,72,74,12,13,8,+2,290,"$1,575",-,bio - career - this year - this tournament
10,Jack Burke Jr.,,T11,72,72,74,74,12,13,14,+4,292,"$1,225",-,bio - career - this year - this tournament
11,Sam Snead,,T11,73,74,72,73,22,24,16,+4,292,"$1,225",-,bio - career - this year - this tournament
12,Ted Kroll,,T13,72,76,71,74,12,31,16,+5,293,"$1,225",-,bio - career - this year - this tournament
13,Jack Nicklaus,,T13,75,71,72,75,45,18,14,+5,293,,-,bio - career - this year - this tournament
14,Billy-Joe Patton,,T13,75,72,74,72,45,24,22,+5,293,,-,bio - career - this year - this tournament
15,Bruce Crampton,,T16,74,73,75,72,35,24,24,+6,294,"$1,050",-,bio - career - this year - this tournament
16,Claude Harmon,,T16,69,72,75,78,2,2,8,+6,294,"$1,050",-,bio - career - this year - this tournament
17,Fred Hawkins,,T16,69,78,72,75,2,24,16,+6,294,"$1,050",-,bio - career - this year - this tournament
18,Mike Souchak,,T16,72,75,72,75,12,24,16,+6,294,"$1,050",-,bio - career - this year - this tournament
19,Tommy Bolt,,T20,73,74,75,73,22,24,24,+7,295,$875,-,bio - career - this year - this tournament
20,Don January,,T20,70,72,74,79,5,6,8,+7,295,$875,-,bio - career - this year - this tournament
21,Ed Oliver Jr.,,T20,74,75,73,73,35,37,24,+7,295,$875,-,bio - career - this year - this tournament
22,Bob Rosburg,,T20,74,74,71,76,35,31,16,+7,295,$875,-,bio - career - this year - this tournament
23,Frank Taylor Jr,,T20,70,74,73,78,5,13,12,+7,295,,-,bio - career - this year - this tournament
24,Tommy Aaron,,T25,74,75,75,73,35,37,33,+9,297,,-,bio - career - this year - this tournament
25,Doug Ford,,T25,74,72,80,71,35,18,39,+9,297,$875,-,bio - career - this year - this tournament
26,Billy Maxwell,,T25,72,71,79,75,12,9,24,+9,297,$875,-,bio - career - this year - this tournament
27,Dave Ragan,,T25,74,73,75,75,35,24,24,+9,297,$875,-,bio - career - this year - this tournament
28,George Bayer,,T29,73,73,80,72,22,18,39,+10,298,$500,-,bio - career - this year - this tournament
29,Deane Beman,,T29,71,72,77,78,8,9,21,+10,298,,-,bio - career - this year - this tournament
30,Dick Crawford,,T29,74,72,75,77,35,18,22,+10,298,,-,bio - career - this year - this tournament
31,Doug Sanders,,T29,73,71,81,73,22,13,38,+10,298,$500,-,bio - career - this year - this tournament
32,Gene Andrews,,33,73,76,77,73,22,37,39,+11,299,,-,bio - career - this year - this tournament
33,Jerry Barber,,T34,76,73,74,77,50,37,32,+12,300,$500,-,bio - career - this year - this tournament
34,Jack Fleck,,T34,78,71,77,74,64,37,39,+12,300,$500,-,bio - career - this year - this tournament
35,Chuck Kocsis,,T34,76,72,78,74,50,31,39,+12,300,,-,bio - career - this year - this tournament
36,Dave Marr,,T34,73,77,77,73,22,43,44,+12,300,$500,-,bio - career - this year - this tournament
37,Harry Weetman,,T34,70,78,74,78,5,31,24,+12,300,$500,-,bio - career - this year - this tournament
38,Charles Coe,,T39,72,74,78,77,12,18,33,+13,301,,-,bio - career - this year - this tournament
39,Chick Harbert,,T39,73,77,74,77,22,43,33,+13,301,$500,-,bio - career - this year - this tournament
40,Jay Hebert,,T39,69,77,78,77,2,18,33,+13,301,$500,-,bio - career - this year - this tournament
41,Jim Turnesa,,T39,76,73,73,79,50,37,24,+13,301,$500,-,bio - career - this year - this tournament
42,Lloyd Mangrum,,43,74,74,76,78,35,31,33,+14,302,$500,-,bio - career - this year - this tournament
43,Lew Worsham,,44,72,76,74,84,12,31,24,+18,306,$500,-,bio - career - this year - this tournament
44,Ward Wettlaufer,,45,73,77,83,78,22,43,45,+23,311,,-,bio - career - this year - this tournament
45,Jimmy Demaret,,CUT,75,76,0,0,45,46,0,+7,151,,-,bio - career - this year - this tournament
46,Bob Goalby,,CUT,76,75,0,0,50,46,0,+7,151,,-,bio - career - this year - this tournament
47,Harold Henning,,CUT,77,74,0,0,61,46,0,+7,151,,-,bio - career - this year - this tournament
48,Dick Knight,,CUT,75,76,0,0,45,46,0,+7,151,,-,bio - career - this year - this tournament
49,Cary Middlecoff,,CUT,75,76,0,0,45,46,0,+7,151,,-,bio - career - this year - this tournament
50,Miguel Martin,,CUT,78,73,0,0,64,46,0,+7,151,,-,bio - career - this year - this tournament
51,Mason Rudolph,,CUT,78,73,0,0,64,46,0,+7,151,,-,bio - career - this year - this tournament
52,Paul Runyan,,CUT,73,78,0,0,22,46,0,+7,151,,-,bio - career - this year - this tournament
53,Kel Nagle,,CUT,77,75,0,0,61,54,0,+8,152,,-,bio - career - this year - this tournament
