,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Jordan Spieth,,1,64,66,70,70,1,1,1,-18,270,"$1,800,000",-,bio - career - this year - this tournament
1,Justin Rose,,T2,67,70,67,70,2,3,2,-14,274,"$880,000",-,bio - career - this year - this tournament
2,Phil Mickelson,,T2,70,68,67,69,12,6,3,-14,274,"$880,000",-,bio - career - this year - this tournament
3,Rory McIlroy,,4,71,71,68,66,18,19,5,-12,276,"$480,000",-,bio - career - this year - this tournament
4,Hideki Matsuyama,,5,71,70,70,66,18,12,10,-11,277,"$400,000",-,bio - career - this year - this tournament
5,Ian Poulter,,T6,73,72,67,67,41,33,12,-9,279,"$335,000",-,bio - career - this year - this tournament
6,Paul Casey,,T6,69,68,74,68,8,3,10,-9,279,"$335,000",-,bio - career - this year - this tournament
7,Dustin Johnson,,T6,70,67,73,69,12,3,5,-9,279,"$335,000",-,bio - career - this year - this tournament
8,Charley Hoffman,,T9,67,68,71,74,2,2,4,-8,280,"$270,000",-,bio - career - this year - this tournament
9,Zach Johnson,,T9,72,72,68,68,31,29,12,-8,280,"$270,000",-,bio - career - this year - this tournament
10,Hunter Mahan,,T9,75,70,68,67,69,33,18,-8,280,"$270,000",-,bio - career - this year - this tournament
11,Kevin Streelman,,T12,70,70,70,72,12,8,5,-6,282,"$196,000",-,bio - career - this year - this tournament
12,Bill Haas,,T12,69,71,72,70,8,8,12,-6,282,"$196,000",-,bio - career - this year - this tournament
13,Kevin Na,,T12,74,66,70,72,54,8,5,-6,282,"$196,000",-,bio - career - this year - this tournament
14,Ryan Moore,,T12,74,66,73,69,54,8,18,-6,282,"$196,000",-,bio - career - this year - this tournament
15,Rickie Fowler,,T12,73,72,70,67,41,33,25,-6,282,"$196,000",-,bio - career - this year - this tournament
16,Sergio Garcia,,T17,68,74,71,70,6,19,18,-5,283,"$155,000",-,bio - career - this year - this tournament
17,Tiger Woods,,T17,73,69,68,73,41,19,5,-5,283,"$155,000",-,bio - career - this year - this tournament
18,Louis Oosthuizen,,T19,72,69,71,72,31,12,12,-4,284,"$135,000",-,bio - career - this year - this tournament
19,Henrik Stenson,,T19,73,73,70,68,41,50,30,-4,284,"$135,000",-,bio - career - this year - this tournament
20,Russell Henley,,21,68,74,72,71,6,19,21,-3,285,"$120,000",-,bio - career - this year - this tournament
21,Patrick Reed,,T22,70,72,74,70,12,19,30,-2,286,"$92,833",-,bio - career - this year - this tournament
22,Keegan Bradley,,T22,71,72,75,68,18,27,42,-2,286,"$92,833",-,bio - career - this year - this tournament
23,Ernie Els,,T22,67,72,75,72,2,7,21,-2,286,"$92,833",-,bio - career - this year - this tournament
24,Angel Cabrera,,T22,72,69,73,72,31,12,21,-2,286,"$92,833",-,bio - career - this year - this tournament
25,Bernd Wiesberger,,T22,75,70,70,71,69,33,25,-2,286,"$92,833",-,bio - career - this year - this tournament
26,Mark O'Meara,,T22,73,68,77,68,41,12,42,-2,286,"$92,833",-,bio - career - this year - this tournament
27,Steve Stricker,,T28,73,73,73,68,41,50,46,-1,287,"$68,000",-,bio - career - this year - this tournament
28,Morgan Hoffmann,,T28,73,72,72,70,41,33,36,-1,287,"$68,000",-,bio - career - this year - this tournament
29,Webb Simpson,,T28,69,75,72,71,8,29,30,-1,287,"$68,000",-,bio - career - this year - this tournament
30,Jonas Blixt,,T28,72,70,70,75,31,19,12,-1,287,"$68,000",-,bio - career - this year - this tournament
31,Jason Day,,T28,67,74,71,75,2,12,12,-1,287,"$68,000",-,bio - career - this year - this tournament
32,Sangmoon Bae,,T33,74,71,72,71,54,33,36,E,288,"$54,000",-,bio - career - this year - this tournament
33,Ryan Palmer,,T33,69,74,74,71,8,27,36,E,288,"$54,000",-,bio - career - this year - this tournament
34,Chris Kirk,,T33,72,73,72,71,31,33,36,E,288,"$54,000",-,bio - career - this year - this tournament
35,Brooks Koepka,,T33,74,71,71,72,54,33,30,E,288,"$54,000",-,bio - career - this year - this tournament
36,Jamie Donaldson,,T33,74,71,76,67,54,33,51,E,288,"$54,000",-,bio - career - this year - this tournament
37,Bubba Watson,,T38,71,71,73,74,18,19,25,+1,289,"$40,000",-,bio - career - this year - this tournament
38,Danny Willett,,T38,71,71,76,71,18,19,42,+1,289,"$40,000",-,bio - career - this year - this tournament
39,Adam Scott,,T38,72,69,74,74,31,12,25,+1,289,"$40,000",-,bio - career - this year - this tournament
40,Charl Schwartzel,,T38,71,70,73,75,18,12,21,+1,289,"$40,000",-,bio - career - this year - this tournament
41,Cameron Tringale,,T38,71,75,69,74,18,50,25,+1,289,"$40,000",-,bio - career - this year - this tournament
42,Seung-Yul Noh,,T38,70,74,72,73,12,29,30,+1,289,"$40,000",-,bio - career - this year - this tournament
43,John Senden,,T38,71,74,72,72,18,33,36,+1,289,"$40,000",-,bio - career - this year - this tournament
44,Jimmy Walker,,T38,73,72,74,70,41,33,46,+1,289,"$40,000",-,bio - career - this year - this tournament
45,Lee Westwood,,T46,73,73,70,74,41,50,30,+2,290,"$30,000",-,bio - career - this year - this tournament
46,Matt Kuchar,,T46,72,74,72,72,31,50,42,+2,290,"$30,000",-,bio - career - this year - this tournament
47,Geoff Ogilvy,,48,74,70,73,74,54,29,36,+3,291,"$27,400",-,bio - career - this year - this tournament
48,Anirban Lahiri,,T49,71,75,74,72,18,50,50,+4,292,"$25,600",-,bio - career - this year - this tournament
49,Jason Dufner,,T49,74,71,74,73,54,33,46,+4,292,"$25,600",-,bio - career - this year - this tournament
50,Erik Compton,,51,73,72,74,74,41,33,46,+5,293,"$24,600",-,bio - career - this year - this tournament
51,Darren Clarke,,T52,74,71,77,72,54,33,53,+6,294,"$23,800",-,bio - career - this year - this tournament
52,Graeme McDowell,,T52,71,74,76,73,18,33,51,+6,294,"$23,800",-,bio - career - this year - this tournament
53,Vijay Singh,,54,75,70,79,71,69,33,54,+7,295,"$23,200",-,bio - career - this year - this tournament
54,Thongchai Jaidee,,55,75,70,80,72,69,33,55,+9,297,"$23,000",-,bio - career - this year - this tournament
55,Gary Woodland,,CUT,71,76,0,0,18,56,0,+3,147,,-,bio - career - this year - this tournament
56,Stephen Gallacher,,CUT,71,76,0,0,18,56,0,+3,147,,-,bio - career - this year - this tournament
57,Matt Every,,CUT,73,74,0,0,41,56,0,+3,147,,-,bio - career - this year - this tournament
58,Brandt Snedeker,,CUT,74,73,0,0,54,56,0,+3,147,,-,bio - career - this year - this tournament
59,J.B. Holmes,,CUT,76,71,0,0,77,56,0,+3,147,,-,bio - career - this year - this tournament
60,Bernhard Langer,,CUT,73,74,0,0,41,56,0,+3,147,,-,bio - career - this year - this tournament
61,Jim Furyk,,CUT,74,73,0,0,54,56,0,+3,147,,-,bio - career - this year - this tournament
62,Shane Lowry,,CUT,75,72,0,0,69,56,0,+3,147,,-,bio - career - this year - this tournament
63,Mikko Ilonen,,CUT,74,73,0,0,54,56,0,+3,147,,-,bio - career - this year - this tournament
64,James Hahn,,CUT,73,74,0,0,41,56,0,+3,147,,-,bio - career - this year - this tournament
65,Luke Donald,,CUT,75,72,0,0,69,56,0,+3,147,,-,bio - career - this year - this tournament
66,Camilo Villegas,,CUT,72,76,0,0,31,67,0,+4,148,,-,bio - career - this year - this tournament
67,Joost Luiten,,CUT,76,72,0,0,77,67,0,+4,148,,-,bio - career - this year - this tournament
68,Brian Harman,,CUT,76,72,0,0,77,67,0,+4,148,,-,bio - career - this year - this tournament
69,Ben Martin,,CUT,74,74,0,0,54,67,0,+4,148,,-,bio - career - this year - this tournament
70,Branden Grace,,CUT,75,73,0,0,69,67,0,+4,148,,-,bio - career - this year - this tournament
71,Billy Horschel,,CUT,70,78,0,0,12,67,0,+4,148,,-,bio - career - this year - this tournament
72,Ian Woosnam,,CUT,75,74,0,0,69,73,0,+5,149,,-,bio - career - this year - this tournament
73,Corey Conners,,CUT,80,69,0,0,92,73,0,+5,149,,-,bio - career - this year - this tournament
74,Padraig Harrington,,CUT,72,77,0,0,31,73,0,+5,149,,-,bio - career - this year - this tournament
75,Victor Dubuisson,,CUT,74,75,0,0,54,73,0,+5,149,,-,bio - career - this year - this tournament
76,Sandy Lyle,,CUT,74,76,0,0,54,77,0,+6,150,,-,bio - career - this year - this tournament
