,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Gary Player,,Win,71,71,66,70,16,16,2,-10,278,"$35,000",-,bio - career - this year - this tournament
1,Tom Weiskopf,,T2,71,69,70,70,16,6,6,-8,280,"$21,250",-,bio - career - this year - this tournament
2,Dave Stockton,,T2,71,66,70,73,16,1,1,-8,280,"$21,250",-,bio - career - this year - this tournament
3,Hale Irwin,,T4,68,70,72,71,2,2,6,-7,281,"$10,833",-,bio - career - this year - this tournament
4,Jack Nicklaus,,T4,69,71,72,69,5,6,9,-7,281,"$10,833",-,bio - career - this year - this tournament
5,Jim Colbert,,T4,67,72,69,73,1,4,2,-7,281,"$10,833",-,bio - career - this year - this tournament
6,Phil Rodgers,,T7,72,69,68,73,22,11,4,-6,282,"$4,750",-,bio - career - this year - this tournament
7,Bobby Nichols,,T7,73,68,68,73,28,11,4,-6,282,"$4,750",-,bio - career - this year - this tournament
8,Hubert Green,,T9,68,70,74,71,2,2,9,-5,283,"$3,900",-,bio - career - this year - this tournament
9,Maurice Bembridge,,T9,73,74,72,64,28,37,35,-5,283,"$3,900",-,bio - career - this year - this tournament
10,Dave Hill,,T11,71,72,70,71,16,20,11,-4,284,"$3,375",-,bio - career - this year - this tournament
11,Jerry Heard,,T11,70,70,73,71,10,6,11,-4,284,"$3,375",-,bio - career - this year - this tournament
12,Bruce Crampton,,T11,73,72,69,70,28,26,14,-4,284,"$3,375",-,bio - career - this year - this tournament
13,Arnold Palmer,,T11,76,71,70,67,55,37,27,-4,284,"$3,375",-,bio - career - this year - this tournament
14,Ralph Johnston,,T15,72,71,70,72,22,20,11,-3,285,"$2,900",-,bio - career - this year - this tournament
15,Bud Allin,,T15,73,73,70,69,28,32,26,-3,285,"$2,900",-,bio - career - this year - this tournament
16,"Dan Sikes, Jr.",,T15,69,71,74,71,5,6,14,-3,285,"$2,900",-,bio - career - this year - this tournament
17,Johnny Miller,,T15,72,74,69,70,22,32,19,-3,285,"$2,900",-,bio - career - this year - this tournament
18,Miller Barber,,T15,75,67,72,71,47,16,14,-3,285,"$2,900",-,bio - career - this year - this tournament
19,Sam Snead,,T20,72,72,71,71,22,22,19,-2,286,"$2,550",-,bio - career - this year - this tournament
20,Chi Chi Rodriguez,,T20,70,74,71,71,10,22,19,-2,286,"$2,550",-,bio - career - this year - this tournament
21,Ben Crenshaw,,T22,75,70,70,72,47,26,19,-1,287,"$2,275",-,bio - career - this year - this tournament
22,Frank Beard,,T22,69,70,72,76,5,4,8,-1,287,"$2,275",-,bio - career - this year - this tournament
23,Raymond Floyd,,T22,69,72,76,70,5,11,27,-1,287,"$2,275",-,bio - career - this year - this tournament
24,Bob Goalby,,T22,76,71,72,68,55,37,35,-1,287,"$2,275",-,bio - career - this year - this tournament
25,J.C. Snead,,T26,73,68,74,73,28,11,19,E,288,"$1,850",-,bio - career - this year - this tournament
26,Julius Boros,,T26,75,70,69,74,47,26,14,E,288,"$1,850",-,bio - career - this year - this tournament
27,John Schlee,,T26,75,71,71,71,47,32,27,E,288,"$1,850",-,bio - career - this year - this tournament
28,Don Iverson,,T29,68,74,73,74,2,16,19,+1,289,"$1,850",-,bio - career - this year - this tournament
29,Charles Coody,,T29,74,72,76,67,38,32,40,+1,289,"$1,850",-,bio - career - this year - this tournament
30,Hugh Baiocchi,,T31,75,71,74,70,47,32,38,+2,290,"$1,775",-,bio - career - this year - this tournament
31,Bruce Devlin,,T31,70,72,76,72,10,16,32,+2,290,"$1,775",-,bio - career - this year - this tournament
32,Al Geiberger,,T31,76,68,70,76,55,22,14,+2,290,"$1,775",-,bio - career - this year - this tournament
33,Graham Marsh,,T31,76,69,72,73,55,26,27,+2,290,"$1,775",-,bio - career - this year - this tournament
34,Kermit Zarley,,T31,73,71,77,69,28,22,39,+2,290,"$1,775",-,bio - career - this year - this tournament
35,Peter Oosterhuis,,T31,79,68,68,75,71,37,19,+2,290,"$1,775",-,bio - career - this year - this tournament
36,Billy Casper,,T37,70,71,76,74,10,11,27,+3,291,"$1,775",-,bio - career - this year - this tournament
37,"Art Wall, Jr.",,T37,70,77,72,72,10,37,35,+3,291,"$1,775",-,bio - career - this year - this tournament
38,Larry Ziegler,,T39,72,73,73,74,22,26,32,+4,292,"$1,700",-,bio - career - this year - this tournament
39,Gene Littler,,T39,69,71,78,74,5,6,32,+4,292,"$1,700",-,bio - career - this year - this tournament
40,Leonard Thompson,,T39,73,72,77,73,28,26,40,+7,295,"$1,700",-,bio - career - this year - this tournament
41,Babe Hiskey,,T39,70,78,75,72,10,43,42,+7,295,"$1,700",-,bio - career - this year - this tournament
