,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Trevor Immelman,,Win,68,68,69,75,1,1,1,-8,280,"$1,350,000",-,bio - career - this year - this tournament
1,Tiger Woods,,2,72,71,68,72,19,13,5,-5,283,"$810,000",-,bio - career - this year - this tournament
2,Stewart Cink,,T3,72,69,71,72,19,8,6,-4,284,"$435,000",-,bio - career - this year - this tournament
3,Brandt Snedeker,,T3,69,68,70,77,3,2,2,-4,284,"$435,000",-,bio - career - this year - this tournament
4,Phil Mickelson,,T5,71,68,75,72,11,3,7,-2,286,"$273,750",-,bio - career - this year - this tournament
5,Steve Flesch,,T5,72,67,69,78,19,3,3,-2,286,"$273,750",-,bio - career - this year - this tournament
6,Padraig Harrington,,T5,74,71,69,72,44,21,7,-2,286,"$273,750",-,bio - career - this year - this tournament
7,Miguel A. Jimenez,,T8,77,70,72,68,75,40,35,-1,287,"$217,500",-,bio - career - this year - this tournament
8,Robert Karlsson,,T8,70,73,71,73,6,13,7,-1,287,"$217,500",-,bio - career - this year - this tournament
9,Andres Romero,,T8,72,72,70,73,19,20,7,-1,287,"$217,500",-,bio - career - this year - this tournament
10,Lee Westwood,,T11,69,73,73,73,3,11,16,E,288,"$172,500",-,bio - career - this year - this tournament
11,Paul Casey,,T11,71,69,69,79,11,6,4,E,288,"$172,500",-,bio - career - this year - this tournament
12,Nick Watney,,T11,75,70,72,71,52,21,23,E,288,"$172,500",-,bio - career - this year - this tournament
13,Vijay Singh,,T14,72,71,72,74,19,13,16,+1,289,"$135,000",-,bio - career - this year - this tournament
14,Stuart Appleby,,T14,76,70,72,71,65,29,28,+1,289,"$135,000",-,bio - career - this year - this tournament
15,Sean O'Hair,,T14,72,71,71,75,19,13,7,+1,289,"$135,000",-,bio - career - this year - this tournament
16,Mike Weir,,T17,73,68,75,74,33,8,19,+2,290,"$112,500",-,bio - career - this year - this tournament
17,Retief Goosen,,T17,71,71,72,76,11,11,7,+2,290,"$112,500",-,bio - career - this year - this tournament
18,Henrik Stenson,,T17,74,72,72,72,44,29,28,+2,290,"$112,500",-,bio - career - this year - this tournament
19,Brian Bateman,,T20,69,76,72,74,3,21,23,+3,291,"$84,300",-,bio - career - this year - this tournament
20,Justin Leonard,,T20,72,74,72,73,19,29,28,+3,291,"$84,300",-,bio - career - this year - this tournament
21,Zach Johnson,,T20,70,76,68,77,6,29,7,+3,291,"$84,300",-,bio - career - this year - this tournament
22,Bubba Watson,,T20,74,71,73,73,44,21,28,+3,291,"$84,300",-,bio - career - this year - this tournament
23,Boo Weekley,,T20,72,74,68,77,19,29,7,+3,291,"$84,300",-,bio - career - this year - this tournament
24,Stephen Ames,,T25,70,70,77,75,6,6,23,+4,292,"$54,844",-,bio - career - this year - this tournament
25,Arron Oberholser,,T25,71,70,74,77,11,8,16,+4,292,"$54,844",-,bio - career - this year - this tournament
26,Jeev Milkha Singh,,T25,71,74,72,75,11,21,23,+4,292,"$54,844",-,bio - career - this year - this tournament
27,Angel Cabrera,,T25,73,72,73,74,33,21,28,+4,292,"$54,844",-,bio - career - this year - this tournament
28,Ian Poulter,,T25,70,69,75,78,6,3,7,+4,292,"$54,844",-,bio - career - this year - this tournament
