,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Tiger WoodsPlayoff: Beat Chris DiMarco with birdie on first extra hole,,Win,74,66,65,71,33,3,1,-12,276,"$1,260,000",-,bio - career - this year - this tournament
1,Chris DiMarcoPlayoff: Lost to Tiger Woods who made birdie on first extra hole,,2,67,67,74,68,1,1,2,-12,276,"$756,000",-,bio - career - this year - this tournament
2,Luke Donald,,T3,68,77,69,69,2,18,10,-5,283,"$406,000",-,bio - career - this year - this tournament
3,Retief Goosen,,T3,71,75,70,67,8,23,16,-5,283,"$406,000",-,bio - career - this year - this tournament
4,Trevor Immelman,,T5,73,73,65,73,27,23,4,-4,284,"$237,300",-,bio - career - this year - this tournament
5,Vijay Singh,,T5,68,73,71,72,2,4,6,-4,284,"$237,300",-,bio - career - this year - this tournament
6,Mark Hensby,,T5,69,73,70,72,4,6,6,-4,284,"$237,300",-,bio - career - this year - this tournament
7,Mike Weir,,T5,74,71,68,71,33,18,8,-4,284,"$237,300",-,bio - career - this year - this tournament
8,Rod Pampling,,T5,73,71,70,70,27,11,10,-4,284,"$237,300",-,bio - career - this year - this tournament
9,Phil Mickelson,,10,70,72,69,74,6,6,4,-3,285,"$189,000",-,bio - career - this year - this tournament
10,Tim Herron,,T11,76,68,70,72,52,11,10,-2,286,"$168,000",-,bio - career - this year - this tournament
11,David Howell,,T11,72,69,76,69,14,4,21,-2,286,"$168,000",-,bio - career - this year - this tournament
12,Thomas Levet,,T13,71,75,68,73,8,23,10,-1,287,"$135,333",-,bio - career - this year - this tournament
13,Justin Leonard,,T13,75,71,70,71,42,23,16,-1,287,"$135,333",-,bio - career - this year - this tournament
14,Ryan Moore,,T13,71,71,75,70,8,6,21,-1,287,,-,bio - career - this year - this tournament
15,Tom Lehman,,T13,74,74,70,69,33,42,26,-1,287,"$135,333",-,bio - career - this year - this tournament
16,Chad Campbell,,T17,73,73,67,75,27,23,8,E,288,"$112,000",-,bio - career - this year - this tournament
17,Kirk Triplett,,T17,75,68,72,73,42,9,14,E,288,"$112,000",-,bio - career - this year - this tournament
18,Darren Clarke,,T17,72,76,69,71,14,42,21,E,288,"$112,000",-,bio - career - this year - this tournament
19,Scott Verplank,,T20,72,75,69,73,14,35,16,+1,289,"$84,840",-,bio - career - this year - this tournament
20,Stewart Cink,,T20,72,72,74,71,14,11,26,+1,289,"$84,840",-,bio - career - this year - this tournament
21,Jerry Kelly,,T20,75,70,73,71,42,18,26,+1,289,"$84,840",-,bio - career - this year - this tournament
22,Bernhard Langer,,T20,74,74,70,71,33,42,26,+1,289,"$84,840",-,bio - career - this year - this tournament
23,Jeff Maggert,,T20,74,74,72,69,33,42,37,+1,289,"$84,840",-,bio - career - this year - this tournament
24,Thomas Bjorn,,T25,71,67,71,81,8,2,3,+2,290,"$61,600",-,bio - career - this year - this tournament
25,Craig Parry,,T25,72,75,69,74,14,35,16,+2,290,"$61,600",-,bio - career - this year - this tournament
26,Joe Ogilvie,,T25,74,73,73,70,33,35,37,+2,290,"$61,600",-,bio - career - this year - this tournament
27,Jim Furyk,,28,76,67,74,74,52,9,21,+3,291,"$53,900",-,bio - career - this year - this tournament
28,Kenny Perry,,T29,76,68,71,77,52,11,14,+4,292,"$50,750",-,bio - career - this year - this tournament
29,Steve Flesch,,T29,76,70,70,76,52,23,16,+4,292,"$50,750",-,bio - career - this year - this tournament
30,Mark O'Meara,,T31,72,74,72,75,14,23,26,+5,293,"$46,550",-,bio - career - this year - this tournament
31,Miguel A. Jimenez,,T31,74,74,73,72,33,42,41,+5,293,"$46,550",-,bio - career - this year - this tournament
32,Casey Wittenberg,,T33,72,72,74,76,14,11,26,+6,294,"$39,620",-,bio - career - this year - this tournament
33,Ian Poulter,,T33,72,74,72,76,14,23,26,+6,294,"$39,620",-,bio - career - this year - this tournament
34,Shingo Katayama,,T33,72,74,73,75,14,23,35,+6,294,"$39,620",-,bio - career - this year - this tournament
35,Adam Scott,,T33,71,76,72,75,8,35,35,+6,294,"$39,620",-,bio - career - this year - this tournament
36,K.J. Choi,,T33,73,72,76,73,27,18,41,+6,294,"$39,620",-,bio - career - this year - this tournament
37,Luke List,,T33,77,69,78,70,62,23,47,+6,294,,-,bio - career - this year - this tournament
38,Ryan Palmer,,T39,70,74,74,77,6,11,26,+7,295,"$32,200",-,bio - career - this year - this tournament
39,Todd Hamilton,,T39,77,70,71,77,62,35,26,+7,295,"$32,200",-,bio - career - this year - this tournament
40,Tim Clark,,T39,74,74,72,75,33,42,37,+7,295,"$32,200",-,bio - career - this year - this tournament
41,Fred Couples,,T39,75,71,77,72,42,23,45,+7,295,"$32,200",-,bio - career - this year - this tournament
42,Stuart Appleby,,T43,69,76,72,79,4,18,21,+8,296,"$28,000",-,bio - career - this year - this tournament
43,Jonathan Kaye,,T43,72,74,76,74,14,23,43,+8,296,"$28,000",-,bio - career - this year - this tournament
44,Nick O'Hern,,T45,72,72,76,77,14,11,37,+9,297,"$25,200",-,bio - career - this year - this tournament
45,Stephen Ames,,T45,73,74,75,75,27,35,43,+9,297,"$25,200",-,bio - career - this year - this tournament
46,Ernie Els,,47,75,73,78,72,42,42,48,+10,298,"$23,100",-,bio - career - this year - this tournament
47,Jay Haas,,48,76,71,76,78,52,35,45,+13,301,"$21,700",-,bio - career - this year - this tournament
48,Chris Riley,,49,71,77,78,78,8,42,48,+16,304,"$20,300",-,bio - career - this year - this tournament
49,Craig Stadler,,50,75,73,79,79,42,42,50,+18,306,"$19,180",-,bio - career - this year - this tournament
50,Padraig Harrington,,CUT,72,77,0,0,14,51,0,+5,149,,-,bio - career - this year - this tournament
51,Charles Howell III,,CUT,73,76,0,0,27,51,0,+5,149,,-,bio - career - this year - this tournament
52,Carlos Franco,,CUT,76,73,0,0,52,51,0,+5,149,,-,bio - career - this year - this tournament
53,Sergio Garcia,,CUT,77,72,0,0,62,51,0,+5,149,,-,bio - career - this year - this tournament
54,Graeme McDowell,,CUT,79,70,0,0,78,51,0,+5,149,,-,bio - career - this year - this tournament
55,Fred Funk,,CUT,72,78,0,0,14,56,0,+6,150,,-,bio - career - this year - this tournament
56,Robert Allenby,,CUT,77,73,0,0,62,56,0,+6,150,,-,bio - career - this year - this tournament
57,Angel Cabrera,,CUT,77,73,0,0,62,56,0,+6,150,,-,bio - career - this year - this tournament
58,Lee Westwood,,CUT,78,72,0,0,74,56,0,+6,150,,-,bio - career - this year - this tournament
59,Davis Love III,,CUT,76,75,0,0,52,60,0,+7,151,,-,bio - career - this year - this tournament
60,Bo Van Pelt,,CUT,76,75,0,0,52,60,0,+7,151,,-,bio - career - this year - this tournament
61,Jesper Parnevik,,CUT,77,74,0,0,62,60,0,+7,151,,-,bio - career - this year - this tournament
62,Joakim Haeggman,,CUT,79,72,0,0,78,60,0,+7,151,,-,bio - career - this year - this tournament
63,Sandy Lyle,,CUT,74,78,0,0,33,64,0,+8,152,,-,bio - career - this year - this tournament
64,David Duval,,CUT,75,77,0,0,42,64,0,+8,152,,-,bio - career - this year - this tournament
65,Peter Lonard,,CUT,75,77,0,0,42,64,0,+8,152,,-,bio - career - this year - this tournament
66,Rich Beem,,CUT,75,77,0,0,42,64,0,+8,152,,-,bio - career - this year - this tournament
67,Raymond Floyd,,CUT,76,76,0,0,52,64,0,+8,152,,-,bio - career - this year - this tournament
