,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Jack Nicklaus,,Win,67,71,64,69,2,1,1,-17,271,"$20,000",-,bio - career - this year - this tournament
1,Arnold Palmer,,T2,70,68,72,70,12,1,3,-8,280,"$10,200",-,bio - career - this year - this tournament
2,Gary Player,,T2,65,73,69,73,1,1,2,-8,280,"$10,200",-,bio - career - this year - this tournament
3,Mason Rudolph,,4,70,75,66,72,12,16,5,-5,283,"$6,200",-,bio - career - this year - this tournament
4,Dan Sikes,,5,67,72,71,75,2,4,3,-3,285,"$5,000",-,bio - career - this year - this tournament
5,Gene Littler,,T6,71,74,67,74,21,16,6,-2,286,"$3,800",-,bio - career - this year - this tournament
6,Ramon Sota,,T6,71,73,70,72,21,10,8,-2,286,"$3,800",-,bio - career - this year - this tournament
7,Frank Beard,,T8,68,77,72,70,6,16,14,-1,287,"$2,400",-,bio - career - this year - this tournament
8,Tommy Bolt,,T8,69,78,69,71,7,33,12,-1,287,"$2,400",-,bio - career - this year - this tournament
9,George Knudson,,10,72,73,69,74,34,16,8,E,288,"$1,800",-,bio - career - this year - this tournament
10,Tommy Aaron,,T11,67,74,71,77,2,6,6,+1,289,"$1,550",-,bio - career - this year - this tournament
11,Bruce Crampton,,T11,72,72,74,71,34,10,20,+1,289,"$1,550",-,bio - career - this year - this tournament
12,Paul Harney,,T11,74,74,71,70,52,41,23,+1,289,"$1,550",-,bio - career - this year - this tournament
13,Doug Sanders,,T11,69,72,74,74,7,6,10,+1,289,"$1,550",-,bio - career - this year - this tournament
14,George Bayer,,T15,69,74,75,72,7,9,20,+2,290,"$1,300",-,bio - career - this year - this tournament
15,Bruce Devlin,,T15,71,76,73,70,21,33,31,+2,290,"$1,300",-,bio - career - this year - this tournament
16,Wes Ellis,,T15,69,76,72,73,7,16,14,+2,290,"$1,300",-,bio - career - this year - this tournament
17,Tommy Jacobs,,T15,71,74,72,73,21,16,14,+2,290,"$1,300",-,bio - career - this year - this tournament
18,Kel Nagle,,T15,75,70,74,71,64,16,23,+2,290,"$1,300",-,bio - career - this year - this tournament
19,Byron Nelson,,T15,70,74,72,74,12,10,12,+2,290,"$1,300",-,bio - career - this year - this tournament
20,Dow Finsterwald,,T21,72,75,72,72,34,33,23,+3,291,"$1,200",-,bio - career - this year - this tournament
21,Ben Hogan,,T21,71,75,71,74,21,25,14,+3,291,"$1,200",-,bio - career - this year - this tournament
22,Tony Lema,,T21,67,73,77,74,2,5,14,+3,291,"$1,200",-,bio - career - this year - this tournament
23,Terry Dill,,T24,72,73,75,72,34,16,31,+4,292,"$1,200",-,bio - career - this year - this tournament
24,Al Geiberger,,T24,75,72,74,71,64,33,35,+4,292,"$1,200",-,bio - career - this year - this tournament
25,Bernard Hunt,,T26,71,74,74,74,21,16,23,+5,293,"$1,075",-,bio - career - this year - this tournament
