,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Jack Nicklaus,,Win,74,71,69,65,25,17,9,-9,279,"$144,000",-,bio - career - this year - this tournament
1,Greg Norman,,T2,70,72,68,70,5,4,1,-8,280,"$70,400",-,bio - career - this year - this tournament
2,Tom Kite,,T2,70,74,68,68,5,13,6,-8,280,"$70,400",-,bio - career - this year - this tournament
3,Seve Ballesteros,,4,71,68,72,70,11,1,2,-7,281,"$38,400",-,bio - career - this year - this tournament
4,Nick Price,,5,79,69,63,71,73,32,2,-6,282,"$32,000",-,bio - career - this year - this tournament
5,Tom Watson,,T6,70,74,68,71,5,13,6,-5,283,"$27,800",-,bio - career - this year - this tournament
6,Jay Haas,,T6,76,69,71,67,46,17,22,-5,283,"$27,800",-,bio - career - this year - this tournament
7,Tommy Nakajima,,T8,70,71,71,72,5,3,6,-4,284,"$23,200",-,bio - career - this year - this tournament
8,Bob Tway,,T8,70,73,71,70,5,9,9,-4,284,"$23,200",-,bio - career - this year - this tournament
9,Payne Stewart,,T8,75,71,69,69,37,19,16,-4,284,"$23,200",-,bio - career - this year - this tournament
10,Corey Pavin,,T11,71,72,71,71,11,9,9,-3,285,"$16,960",-,bio - career - this year - this tournament
11,Donnie Hammond,,T11,73,71,67,74,19,13,2,-3,285,"$16,960",-,bio - career - this year - this tournament
12,Calvin Peete,,T11,75,71,69,70,37,19,16,-3,285,"$16,960",-,bio - career - this year - this tournament
13,Mark McCumber,,T11,76,67,71,71,46,9,9,-3,285,"$16,960",-,bio - career - this year - this tournament
14,Sandy Lyle,,T11,76,70,68,71,46,19,9,-3,285,"$16,960",-,bio - career - this year - this tournament
15,Gary Koch,,T16,69,74,71,72,3,9,9,-2,286,"$12,000",-,bio - career - this year - this tournament
16,Ben Crenshaw,,T16,71,71,74,70,11,4,22,-2,286,"$12,000",-,bio - career - this year - this tournament
17,Bernhard Langer,,T16,74,68,69,75,25,4,2,-2,286,"$12,000",-,bio - career - this year - this tournament
18,Larry Mize,,T16,75,74,72,65,37,40,39,-2,286,"$12,000",-,bio - career - this year - this tournament
19,Dave Barr,,T16,70,77,71,68,5,29,30,-2,286,"$12,000",-,bio - career - this year - this tournament
20,Fuzzy Zoeller,,T21,73,73,69,72,19,19,16,-1,287,"$9,300",-,bio - career - this year - this tournament
21,Curtis Strange,,T21,73,74,68,72,19,29,16,-1,287,"$9,300",-,bio - career - this year - this tournament
22,T.C. Chen,,T23,69,73,75,71,3,4,28,E,288,"$8,000",-,bio - career - this year - this tournament
23,Roger Maltbie,,T23,71,75,69,73,11,19,16,E,288,"$8,000",-,bio - career - this year - this tournament
24,Bill Glasson,,T25,72,74,72,71,17,19,30,+1,289,"$6,533",-,bio - career - this year - this tournament
25,Peter Jacobsen,,T25,75,73,68,73,37,32,22,+1,289,"$6,533",-,bio - career - this year - this tournament
26,Scott Simpson,,T25,76,72,67,74,46,32,16,+1,289,"$6,533",-,bio - career - this year - this tournament
27,Danny Edwards,,T28,71,71,72,76,11,4,9,+2,290,"$5,666",-,bio - career - this year - this tournament
28,David Graham,,T28,76,72,74,68,46,32,42,+2,290,"$5,666",-,bio - career - this year - this tournament
29,Johnny Miller,,T28,74,70,77,69,25,13,39,+2,290,"$5,666",-,bio - career - this year - this tournament
30,Dan Pohl,,T31,76,70,72,73,46,19,30,+3,291,"$4,875",-,bio - career - this year - this tournament
31,Fred Couples,,T31,72,77,70,72,17,40,34,+3,291,"$4,875",-,bio - career - this year - this tournament
32,Bruce Lietzke,,T31,78,70,68,75,65,32,22,+3,291,"$4,875",-,bio - career - this year - this tournament
33,Lanny Wadkins,,T31,78,71,73,69,65,40,42,+3,291,"$4,875",-,bio - career - this year - this tournament
34,Wayne Levi,,35,73,76,67,76,19,40,22,+4,292,"$4,300",-,bio - career - this year - this tournament
35,Hubert Green,,T36,71,75,73,74,11,19,34,+5,293,"$3,850",-,bio - career - this year - this tournament
36,Rick Fehr,,T36,75,74,69,75,37,40,30,+5,293,"$3,850",-,bio - career - this year - this tournament
37,Sam Randolph,,T36,75,73,72,73,37,32,36,+5,293,,-,bio - career - this year - this tournament
38,Larry Nelson,,T36,73,73,71,76,19,19,28,+5,293,"$3,850",-,bio - career - this year - this tournament
39,Tony Sills,,T36,76,73,73,71,46,40,42,+5,293,"$3,850",-,bio - career - this year - this tournament
40,Don Pooley,,41,77,72,73,72,61,40,42,+6,294,"$3,400",-,bio - career - this year - this tournament
41,Billy Kratzert,,T42,68,72,76,79,1,2,22,+7,295,"$3,200",-,bio - career - this year - this tournament
42,John Mahaffey,,T42,79,69,72,75,73,32,36,+7,295,"$3,200",-,bio - career - this year - this tournament
43,Ken Green,,44,68,78,74,76,1,19,36,+8,296,"$3,000",-,bio - career - this year - this tournament
44,Phil Blackmar,,T45,76,73,73,76,46,40,42,+10,298,"$2,700",-,bio - career - this year - this tournament
45,Jim Thorpe,,T45,74,74,73,77,25,32,39,+10,298,"$2,700",-,bio - career - this year - this tournament
46,Lee Trevino,,47,76,73,73,77,46,40,42,+11,299,"$2,500",-,bio - career - this year - this tournament
47,Mark O'Meara,,48,74,73,81,73,25,29,48,+13,301,"$2,300",-,bio - career - this year - this tournament
48,Craig Stadler,,CUT,74,76,0,0,25,49,0,+6,150,,-,bio - career - this year - this tournament
49,Gary Player,,CUT,77,73,0,0,61,49,0,+6,150,,-,bio - career - this year - this tournament
50,Andy Bean,,CUT,75,76,0,0,37,51,0,+7,151,,-,bio - career - this year - this tournament
51,Kenny Knox,,CUT,75,76,0,0,37,51,0,+7,151,,-,bio - career - this year - this tournament
52,Raymond Floyd,,CUT,74,77,0,0,25,51,0,+7,151,,-,bio - career - this year - this tournament
53,Buddy Gardner,,CUT,74,77,0,0,25,51,0,+7,151,,-,bio - career - this year - this tournament
54,Gary Hallberg,,CUT,78,73,0,0,65,51,0,+7,151,,-,bio - career - this year - this tournament
55,Bob Eastwood,,CUT,79,72,0,0,73,51,0,+7,151,,-,bio - career - this year - this tournament
56,Hal Sutton,,CUT,80,71,0,0,81,51,0,+7,151,,-,bio - career - this year - this tournament
57,Hale Irwin,,CUT,76,76,0,0,46,58,0,+8,152,,-,bio - career - this year - this tournament
58,George Burns,,CUT,74,78,0,0,25,58,0,+8,152,,-,bio - career - this year - this tournament
59,Robert Lewis,,CUT,74,78,0,0,25,58,0,+8,152,,-,bio - career - this year - this tournament
60,Jay Sigel,,CUT,74,78,0,0,25,58,0,+8,152,,-,bio - career - this year - this tournament
61,Dan Forsman,,CUT,78,74,0,0,65,58,0,+8,152,,-,bio - career - this year - this tournament
62,Joey Sindelar,,CUT,79,73,0,0,73,58,0,+8,152,,-,bio - career - this year - this tournament
63,Mac O'Grady,,CUT,82,70,0,0,87,58,0,+8,152,,-,bio - career - this year - this tournament
64,Charles Coody,,CUT,76,77,0,0,46,65,0,+9,153,,-,bio - career - this year - this tournament
65,Chip Drury,,CUT,76,77,0,0,46,65,0,+9,153,,-,bio - career - this year - this tournament
66,Peter Persons,,CUT,76,77,0,0,46,65,0,+9,153,,-,bio - career - this year - this tournament
67,Jack Renner,,CUT,76,77,0,0,46,65,0,+9,153,,-,bio - career - this year - this tournament
68,Gay Brewer,,CUT,77,76,0,0,61,65,0,+9,153,,-,bio - career - this year - this tournament
69,Billy Casper,,CUT,78,75,0,0,65,65,0,+9,153,,-,bio - career - this year - this tournament
70,Scott Verplank,,CUT,77,77,0,0,61,71,0,+10,154,,-,bio - career - this year - this tournament
71,Mark Wiebe,,CUT,76,78,0,0,46,71,0,+10,154,,-,bio - career - this year - this tournament
72,Doug Tewell,,CUT,74,80,0,0,25,71,0,+10,154,,-,bio - career - this year - this tournament
