,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Ian Woosnam,,Win,72,66,67,72,31,2,1,-11,277,"$243,000",-,bio - career - this year - this tournament
1,Jose Maria Olazabal,,2,68,71,69,70,4,6,3,-10,278,"$145,800",-,bio - career - this year - this tournament
2,Lanny Wadkins,,T3,67,71,70,71,1,2,3,-9,279,"$64,800",-,bio - career - this year - this tournament
3,Tom Watson,,T3,68,68,70,73,4,1,2,-9,279,"$64,800",-,bio - career - this year - this tournament
4,Ben Crenshaw,,T3,70,73,68,68,13,30,9,-9,279,"$64,800",-,bio - career - this year - this tournament
5,Steve Pate,,T3,72,73,69,65,31,44,28,-9,279,"$64,800",-,bio - career - this year - this tournament
6,Jodie Mudd,,T7,70,70,71,69,13,10,9,-8,280,"$42,100",-,bio - career - this year - this tournament
7,Ian Baker-Finch,,T7,71,70,69,70,22,14,6,-8,280,"$42,100",-,bio - career - this year - this tournament
8,Andrew Magee,,T7,70,72,68,70,13,20,6,-8,280,"$42,100",-,bio - career - this year - this tournament
9,Tommy Nakajima,,T10,74,71,67,69,62,44,14,-7,281,"$35,150",-,bio - career - this year - this tournament
10,Hale Irwin,,T10,70,70,75,66,13,10,34,-7,281,"$35,150",-,bio - career - this year - this tournament
11,Craig Stadler,,T12,70,72,71,69,13,20,24,-6,282,"$26,500",-,bio - career - this year - this tournament
12,Billy Mayfair,,T12,72,72,72,66,31,39,42,-6,282,"$26,500",-,bio - career - this year - this tournament
13,Nick Faldo,,T12,72,73,67,70,31,44,14,-6,282,"$26,500",-,bio - career - this year - this tournament
14,Fuzzy Zoeller,,T12,70,70,75,67,13,10,34,-6,282,"$26,500",-,bio - career - this year - this tournament
15,Mark Calcavecchia,,T12,70,68,77,67,13,2,34,-6,282,"$26,500",-,bio - career - this year - this tournament
16,Mark McCumber,,T17,67,71,73,72,1,2,9,-5,283,"$18,920",-,bio - career - this year - this tournament
17,Raymond Floyd,,T17,71,68,71,73,22,6,6,-5,283,"$18,920",-,bio - career - this year - this tournament
18,Peter Jacobsen,,T17,73,70,68,72,53,30,9,-5,283,"$18,920",-,bio - career - this year - this tournament
19,"Jim Gallagher, Jr.",,T17,67,74,71,71,1,14,14,-5,283,"$18,920",-,bio - career - this year - this tournament
20,Larry Mize,,T17,72,71,66,74,31,30,5,-5,283,"$18,920",-,bio - career - this year - this tournament
21,Rocco Mediate,,T22,72,69,71,72,31,14,14,-4,284,"$12,960",-,bio - career - this year - this tournament
22,Scott Simpson,,T22,69,73,69,73,9,20,9,-4,284,"$12,960",-,bio - career - this year - this tournament
23,Corey Pavin,,T22,73,70,69,72,53,30,14,-4,284,"$12,960",-,bio - career - this year - this tournament
24,Steve Elkington,,T22,72,69,74,69,31,14,34,-4,284,"$12,960",-,bio - career - this year - this tournament
25,Seve Ballesteros,,T22,75,70,69,70,70,44,28,-4,284,"$12,960",-,bio - career - this year - this tournament
26,Mark O'Meara,,T27,74,68,72,71,62,20,28,-3,285,"$10,200",-,bio - career - this year - this tournament
27,Jay Don Blake,,T27,74,72,68,71,62,54,28,-3,285,"$10,200",-,bio - career - this year - this tournament
28,Jeff Sluman,,T29,71,71,72,72,22,20,28,-2,286,"$9,200",-,bio - career - this year - this tournament
29,Morris Hatalsky,,T29,71,72,70,73,22,30,24,-2,286,"$9,200",-,bio - career - this year - this tournament
30,John Huston,,T29,73,72,71,70,53,44,42,-2,286,"$9,200",-,bio - career - this year - this tournament
31,David Frost,,T32,71,73,71,72,22,39,34,-1,287,"$8,000",-,bio - career - this year - this tournament
32,Bernhard Langer,,T32,71,68,74,74,22,6,24,-1,287,"$8,000",-,bio - career - this year - this tournament
33,Wayne Levi,,T32,69,73,70,75,9,20,14,-1,287,"$8,000",-,bio - career - this year - this tournament
34,Scott Hoch,,T35,72,70,73,73,31,20,34,E,288,"$6,371",-,bio - career - this year - this tournament
35,Mark Brooks,,T35,69,72,74,73,9,14,34,E,288,"$6,371",-,bio - career - this year - this tournament
36,Ken Green,,T35,70,74,71,73,13,39,34,E,288,"$6,371",-,bio - career - this year - this tournament
37,Fred Couples,,T35,68,73,72,75,4,14,24,E,288,"$6,371",-,bio - career - this year - this tournament
38,Mark McNulty,,T35,72,74,75,67,31,54,56,E,288,"$6,371",-,bio - career - this year - this tournament
39,Jack Nicklaus,,T35,68,72,72,76,4,10,14,E,288,"$6,371",-,bio - career - this year - this tournament
40,Jumbo Ozaki,,T35,68,77,69,74,4,44,28,E,288,"$6,371",-,bio - career - this year - this tournament
41,Donnie Hammond,,T42,72,73,73,71,31,44,50,+1,289,"$4,875",-,bio - career - this year - this tournament
42,Davis Love III,,T42,72,71,74,72,31,30,47,+1,289,"$4,875",-,bio - career - this year - this tournament
43,Curtis Strange,,T42,72,74,72,71,31,54,50,+1,289,"$4,875",-,bio - career - this year - this tournament
44,Billy Ray Brown,,T42,74,65,77,73,62,6,42,+1,289,"$4,875",-,bio - career - this year - this tournament
45,Phil Mickelson,,T46,69,73,74,74,9,20,42,+2,290,,-,bio - career - this year - this tournament
46,Joey Sindelar,,T46,72,70,70,78,31,20,14,+2,290,"$4,050",-,bio - career - this year - this tournament
47,Don Pooley,,T46,72,71,69,78,31,30,14,+2,290,"$4,050",-,bio - career - this year - this tournament
48,Tommy Aaron,,T49,70,74,73,74,13,39,47,+3,291,"$3,533",-,bio - career - this year - this tournament
49,Nick Price,,T49,72,73,72,74,31,44,47,+3,291,"$3,533",-,bio - career - this year - this tournament
50,Lee Trevino,,T49,71,72,77,71,22,30,54,+3,291,"$3,533",-,bio - career - this year - this tournament
51,Paul Azinger,,52,72,73,67,80,31,44,14,+4,292,"$3,300",-,bio - career - this year - this tournament
52,Nolan Henke,,T53,73,71,72,77,53,39,42,+5,293,"$3,200",-,bio - career - this year - this tournament
53,Brian Tennyson,,T53,78,67,75,73,78,44,54,+5,293,"$3,200",-,bio - career - this year - this tournament
54,Larry Nelson,,55,74,69,76,75,62,30,52,+6,294,"$3,100",-,bio - career - this year - this tournament
