,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Charles Coody,,Win,66,73,70,70,1,2,1,-9,279,"$25,000",-,bio - career - this year - this tournament
1,Jack Nicklaus,,T2,70,71,68,72,7,5,1,-7,281,"$17,500",-,bio - career - this year - this tournament
2,Johnny Miller,,T2,72,73,68,68,12,17,6,-7,281,"$17,500",-,bio - career - this year - this tournament
3,Don January,,T4,69,69,73,72,2,1,3,-5,283,"$9,050",-,bio - career - this year - this tournament
4,Gene Littler,,T4,72,69,73,69,12,5,7,-5,283,"$9,050",-,bio - career - this year - this tournament
5,Tom Weiskopf,,T6,71,69,72,72,9,4,4,-4,284,"$5,600",-,bio - career - this year - this tournament
6,Ken Still,,T6,72,71,72,69,12,11,10,-4,284,"$5,600",-,bio - career - this year - this tournament
7,Gary Player,,T6,72,72,71,69,12,14,10,-4,284,"$5,600",-,bio - career - this year - this tournament
8,Dave Stockton,,T9,72,73,69,72,12,17,7,-2,286,"$3,767",-,bio - career - this year - this tournament
9,Frank Beard,,T9,74,73,69,70,35,26,13,-2,286,"$3,767",-,bio - career - this year - this tournament
10,Roberto De Vicenzo,,T9,76,69,72,69,47,17,17,-2,286,"$3,767",-,bio - career - this year - this tournament
11,Bert Greene,,12,73,73,71,70,24,24,17,-1,287,"$3,300",-,bio - career - this year - this tournament
12,Billy Casper,,T13,72,73,71,72,12,17,13,E,288,"$3,000",-,bio - career - this year - this tournament
13,Bruce Devlin,,T13,72,70,72,74,12,9,7,E,288,"$3,000",-,bio - career - this year - this tournament
14,Raymond Floyd,,T13,69,75,73,71,2,14,17,E,288,"$3,000",-,bio - career - this year - this tournament
15,Hale Irwin,,T13,69,72,71,76,2,5,4,E,288,"$3,000",-,bio - career - this year - this tournament
16,Bob Murphy,,T13,69,70,76,73,2,2,10,E,288,"$3,000",-,bio - career - this year - this tournament
17,Arnold Palmer,,T18,73,72,71,73,24,17,13,+1,289,"$2,650",-,bio - career - this year - this tournament
18,Bruce Crampton,,T18,73,72,74,70,24,17,25,+1,289,"$2,650",-,bio - career - this year - this tournament
19,Dave Eichelberger,,T20,76,71,70,73,47,26,17,+2,290,"$2,450",-,bio - career - this year - this tournament
20,Orville Moody,,T20,79,69,70,72,67,34,23,+2,290,"$2,450",-,bio - career - this year - this tournament
21,Bobby Mitchell,,T22,72,70,74,75,12,9,13,+3,291,"$2,250",-,bio - career - this year - this tournament
22,Tommy Aaron,,T22,76,72,74,69,47,34,33,+3,291,"$2,250",-,bio - career - this year - this tournament
23,Steve Melnyk,,T24,73,70,75,74,24,11,23,+4,292,,-,bio - career - this year - this tournament
24,Al Geiberger,,T24,73,75,72,72,24,34,28,+4,292,"$2,100",-,bio - career - this year - this tournament
25,Dick Lotz,,T24,77,72,73,70,57,40,33,+4,292,"$2,100",-,bio - career - this year - this tournament
26,Dale Douglass,,T27,70,71,76,76,7,5,17,+5,293,"$1,750",-,bio - career - this year - this tournament
27,"Art Wall, Jr.",,T27,71,76,72,74,9,26,25,+5,293,"$1,750",-,bio - career - this year - this tournament
28,Dave Hill,,T27,74,73,70,76,35,26,17,+5,293,"$1,750",-,bio - career - this year - this tournament
29,Chi Chi Rodriguez,,T30,73,75,71,75,24,34,25,+6,294,"$1,750",-,bio - career - this year - this tournament
30,Larry Hinson,,T30,75,71,76,72,39,24,33,+6,294,"$1,750",-,bio - career - this year - this tournament
31,Larry Ziegler,,T30,73,70,77,74,24,11,28,+6,294,"$1,750",-,bio - career - this year - this tournament
32,Hsieh Yung Yo,,T30,75,69,77,73,39,14,31,+6,294,"$1,750",-,bio - career - this year - this tournament
33,Bob Lunn,,34,69,76,81,69,2,17,45,+7,295,"$1,675",-,bio - career - this year - this tournament
34,George Archer,,35,73,74,78,71,24,26,41,+8,296,"$1,675",-,bio - career - this year - this tournament
35,Tony Jacklin,,T36,73,76,76,72,24,40,41,+9,297,"$1,675",-,bio - career - this year - this tournament
36,Bob Goalby,,T36,76,73,74,74,47,40,36,+9,297,"$1,675",-,bio - career - this year - this tournament
37,John Schlee,,T36,76,74,73,74,47,44,36,+9,297,"$1,675",-,bio - career - this year - this tournament
38,David Graham,,T36,75,72,77,73,39,26,39,+9,297,"$1,675",-,bio - career - this year - this tournament
39,Tom Shaw,,T36,77,70,74,76,57,26,31,+9,297,"$1,675",-,bio - career - this year - this tournament
40,Harold Henning,,41,72,75,77,74,12,26,39,+10,298,"$1,600",-,bio - career - this year - this tournament
41,John Lister,,T42,78,72,75,75,63,44,41,+12,300,"$1,600",-,bio - career - this year - this tournament
42,Tom Kite,,T42,76,74,70,80,47,44,28,+12,300,,-,bio - career - this year - this tournament
43,Allen Miller,,T42,76,73,81,70,47,40,47,+12,300,,-,bio - career - this year - this tournament
44,Gibby Gilbert,,45,72,76,75,79,12,34,36,+14,302,"$1,600",-,bio - career - this year - this tournament
45,Doug Ford,,T46,75,75,77,76,39,44,46,+15,303,"$1,600",-,bio - career - this year - this tournament
46,Howie Johnson,,T46,73,75,82,74,24,34,47,+16,304,"$1,600",-,bio - career - this year - this tournament
47,Jerry Heard,,48,76,74,75,79,47,44,41,+16,304,"$1,600",-,bio - career - this year - this tournament
48,Jim Gabrielson,,CUT,76,75,0,0,47,49,0,+7,151,,-,bio - career - this year - this tournament
49,Vinny Giles,,CUT,74,77,0,0,35,49,0,+7,151,,-,bio - career - this year - this tournament
50,Takaaki Kono,,CUT,77,74,0,0,57,49,0,+7,151,,-,bio - career - this year - this tournament
51,Lanny Wadkins,,CUT,73,78,0,0,24,49,0,+7,151,,-,bio - career - this year - this tournament
52,Lou Graham,,CUT,78,73,0,0,63,49,0,+7,151,,-,bio - career - this year - this tournament
53,Peter Oosterhuis,,CUT,72,79,0,0,12,49,0,+7,151,,-,bio - career - this year - this tournament
