,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Jack Nicklaus,,Win,68,67,73,68,2,1,2,-12,276,"$40,000",-,bio - career - this year - this tournament
1,Tom Weiskopf,,T2,69,72,66,70,4,5,1,-11,277,"$21,250",-,bio - career - this year - this tournament
2,Johnny Miller,,T2,75,71,65,66,48,27,3,-11,277,"$21,250",-,bio - career - this year - this tournament
3,Bobby Nichols,,T4,67,74,72,69,1,5,5,-6,282,"$12,500",-,bio - career - this year - this tournament
4,Hale Irwin,,T4,73,74,71,64,33,37,19,-6,282,"$12,500",-,bio - career - this year - this tournament
5,Billy Casper,,6,70,70,73,70,7,2,5,-5,283,"$7,500",-,bio - career - this year - this tournament
6,Dave Hill,,7,75,71,70,68,48,27,12,-4,284,"$6,000",-,bio - career - this year - this tournament
7,Tom Watson,,T8,70,70,72,73,7,2,4,-3,285,"$4,500",-,bio - career - this year - this tournament
8,Hubert Green,,T8,74,71,70,70,39,23,7,-3,285,"$4,500",-,bio - career - this year - this tournament
9,Lee Trevino,,T10,71,70,74,71,10,5,7,-2,286,"$3,600",-,bio - career - this year - this tournament
10,Tom Kite,,T10,72,74,71,69,17,27,16,-2,286,"$3,600",-,bio - career - this year - this tournament
11,J.C. Snead,,T10,69,72,75,70,4,5,12,-2,286,"$3,600",-,bio - career - this year - this tournament
12,Larry Ziegler,,T13,71,73,74,69,10,17,19,-1,287,"$3,250",-,bio - career - this year - this tournament
13,Arnold Palmer,,T13,69,71,75,72,4,2,7,-1,287,"$3,250",-,bio - career - this year - this tournament
14,Bobby Cole,,T15,73,71,73,71,33,17,16,E,288,"$2,900",-,bio - career - this year - this tournament
15,"Art Wall, Jr.",,T15,72,74,72,70,17,27,19,E,288,"$2,900",-,bio - career - this year - this tournament
16,Allen Miller,,T15,68,75,72,73,2,15,7,E,288,"$2,900",-,bio - career - this year - this tournament
17,Rod Curl,,T15,72,70,76,70,17,11,19,E,288,"$2,900",-,bio - career - this year - this tournament
18,Bruce Devlin,,T15,72,70,76,70,17,11,19,E,288,"$2,900",-,bio - career - this year - this tournament
19,Bud Allin,,T20,73,69,73,74,33,11,7,+1,289,"$2,550",-,bio - career - this year - this tournament
20,Ralph Johnston,,T20,74,73,69,73,39,37,12,+1,289,"$2,550",-,bio - career - this year - this tournament
21,Gene Littler,,T22,72,72,72,74,17,17,12,+2,290,"$2,275",-,bio - career - this year - this tournament
22,Graham Marsh,,T22,75,70,74,71,48,23,28,+2,290,"$2,275",-,bio - career - this year - this tournament
23,Hugh Baiocchi,,T22,76,72,72,70,56,44,32,+2,290,"$2,275",-,bio - career - this year - this tournament
24,Pat Fitzsimons,,T22,73,68,79,70,33,5,32,+2,290,"$2,275",-,bio - career - this year - this tournament
25,Dave Stockton,,T26,72,72,73,74,17,17,16,+3,291,"$2,000",-,bio - career - this year - this tournament
26,Miller Barber,,T26,74,72,72,73,39,27,19,+3,291,"$2,000",-,bio - career - this year - this tournament
