,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Fuzzy ZoellerPlayoff: Beat Ed Sneed and Tom Watson with birdie on second extra hole,,Win,70,71,69,70,11,12,4,-8,280,"$50,000",-,bio - career - this year - this tournament
1,Tom WatsonPlayoff: Lost to Fuzzy Zoeller who made birdie on second extra hole (Ed Sneed was also in playoff),,T2,68,71,70,71,2,5,2,-8,280,"$30,000",-,bio - career - this year - this tournament
2,Ed SneedPlayoff: Lost to Fuzzy Zoeller who made birdie on second extra hole (Tom Watson was also in playoff),,T2,68,67,69,76,2,1,1,-8,280,"$30,000",-,bio - career - this year - this tournament
3,Jack Nicklaus,,4,69,71,72,69,6,8,11,-7,281,"$15,000",-,bio - career - this year - this tournament
4,Tom Kite,,5,71,72,68,72,16,22,6,-5,283,"$13,000",-,bio - career - this year - this tournament
5,Bruce Lietzke,,6,67,75,68,74,1,15,4,-4,284,"$11,500",-,bio - career - this year - this tournament
6,Lanny Wadkins,,T7,73,69,70,73,34,15,11,-3,285,"$9,000",-,bio - career - this year - this tournament
7,Leonard Thompson,,T7,68,70,73,74,2,3,6,-3,285,"$9,000",-,bio - career - this year - this tournament
8,Craig Stadler,,T7,69,66,74,76,6,1,2,-3,285,"$9,000",-,bio - career - this year - this tournament
9,Gene Littler,,T10,74,71,69,72,49,39,16,-2,286,"$6,500",-,bio - career - this year - this tournament
10,Hubert Green,,T10,74,69,72,71,49,22,18,-2,286,"$6,500",-,bio - career - this year - this tournament
11,Lee Trevino,,T12,73,71,70,73,34,32,16,-1,287,"$3,740",-,bio - career - this year - this tournament
12,Seve Ballesteros,,T12,72,68,73,74,24,8,15,-1,287,"$3,740",-,bio - career - this year - this tournament
13,Andy North,,T12,72,72,74,69,24,32,37,-1,287,"$3,740",-,bio - career - this year - this tournament
14,Jack Newton,,T12,70,72,69,76,11,15,6,-1,287,"$3,740",-,bio - career - this year - this tournament
15,Miller Barber,,T12,75,64,72,76,57,5,6,-1,287,"$3,740",-,bio - career - this year - this tournament
16,Artie McNickle,,T17,71,72,74,71,16,22,28,E,288,"$2,700",-,bio - career - this year - this tournament
17,Gary Player,,T17,71,72,74,71,16,22,28,E,288,"$2,700",-,bio - career - this year - this tournament
18,Lee Elder,,T17,73,70,74,71,34,22,28,E,288,"$2,700",-,bio - career - this year - this tournament
19,Billy Kratzert,,T17,73,68,71,76,34,12,11,E,288,"$2,700",-,bio - career - this year - this tournament
20,Raymond Floyd,,T17,70,68,73,77,11,3,6,E,288,"$2,700",-,bio - career - this year - this tournament
21,J.C. Snead,,22,73,71,72,73,34,32,23,+1,289,"$2,400",-,bio - career - this year - this tournament
22,Bobby Clampett,,T23,73,71,73,73,34,32,28,+2,290,,-,bio - career - this year - this tournament
23,Hale Irwin,,T23,72,70,74,74,24,15,23,+2,290,"$2,225",-,bio - career - this year - this tournament
24,Jim Simons,,T23,72,70,75,73,24,15,28,+2,290,"$2,225",-,bio - career - this year - this tournament
25,Joe Inman,,T23,68,71,76,75,2,5,18,+2,290,"$2,225",-,bio - career - this year - this tournament
26,Lou Graham,,T23,69,71,76,74,6,8,23,+2,290,"$2,225",-,bio - career - this year - this tournament
27,Andy Bean,,T28,69,74,74,74,6,22,28,+3,291,"$2,000",-,bio - career - this year - this tournament
28,Graham Marsh,,T28,71,72,73,75,16,22,23,+3,291,"$2,000",-,bio - career - this year - this tournament
29,Tommy Aaron,,T28,72,73,76,70,24,39,42,+3,291,"$2,000",-,bio - career - this year - this tournament
30,Victor Regalado,,T31,71,74,75,72,16,39,41,+4,292,"$1,975",-,bio - career - this year - this tournament
31,Larry Nelson,,T31,70,75,70,77,11,39,18,+4,292,"$1,975",-,bio - career - this year - this tournament
32,Gil Morgan,,T31,72,69,71,80,24,12,11,+4,292,"$1,975",-,bio - career - this year - this tournament
33,Scott Hoch,,T34,72,73,74,74,24,39,39,+5,293,,-,bio - career - this year - this tournament
34,Peter Oosterhuis,,T34,73,72,73,75,34,39,37,+5,293,"$1,950",-,bio - career - this year - this tournament
35,Bob Byman,,T34,71,71,75,76,16,15,28,+5,293,"$1,950",-,bio - career - this year - this tournament
36,Charles Coody,,T34,71,72,74,76,16,22,28,+5,293,"$1,950",-,bio - career - this year - this tournament
37,Isao Aoki,,T34,71,72,72,78,16,22,18,+5,293,"$1,950",-,bio - career - this year - this tournament
38,John Cook,,39,72,72,75,76,24,32,39,+7,295,,-,bio - career - this year - this tournament
39,Nick Faldo,,40,73,71,79,73,34,32,44,+8,296,"$1,875",-,bio - career - this year - this tournament
40,Jerry Pate,,T41,72,70,75,80,24,15,28,+9,297,"$1,850",-,bio - career - this year - this tournament
41,Tom Weiskopf,,T41,73,72,71,81,34,39,23,+9,297,"$1,850",-,bio - career - this year - this tournament
42,Billy Casper,,43,69,75,80,75,6,32,45,+11,299,"$1,800",-,bio - career - this year - this tournament
43,Rod Funseth,,44,70,73,78,79,11,22,42,+12,300,"$1,775",-,bio - career - this year - this tournament
44,Lindy Miller,,45,73,67,75,86,34,8,18,+13,301,"$1,750",-,bio - career - this year - this tournament
45,Don January,,CUT,73,73,0,0,34,46,0,+2,146,,-,bio - career - this year - this tournament
46,Arnold Palmer,,CUT,74,72,0,0,49,46,0,+2,146,,-,bio - career - this year - this tournament
47,Barry Jaeckel,,CUT,75,71,0,0,57,46,0,+2,146,,-,bio - career - this year - this tournament
48,Jerry McGee,,CUT,77,69,0,0,64,46,0,+2,146,,-,bio - career - this year - this tournament
49,Wally Armstrong,,CUT,73,74,0,0,34,50,0,+3,147,,-,bio - career - this year - this tournament
50,Jay Sigel,,CUT,72,75,0,0,24,50,0,+3,147,,-,bio - career - this year - this tournament
51,Sam Snead,,CUT,74,74,0,0,49,52,0,+4,148,,-,bio - career - this year - this tournament
52,Jerry Heard,,CUT,75,73,0,0,57,52,0,+4,148,,-,bio - career - this year - this tournament
53,Johnny Miller,,CUT,77,71,0,0,64,52,0,+4,148,,-,bio - career - this year - this tournament
54,Simon Owen,,CUT,74,75,0,0,49,55,0,+5,149,,-,bio - career - this year - this tournament
55,Dave Stockton,,CUT,74,75,0,0,49,55,0,+5,149,,-,bio - career - this year - this tournament
56,"Art Wall, Jr.",,CUT,74,75,0,0,49,55,0,+5,149,,-,bio - career - this year - this tournament
57,Dave Hill,,CUT,75,74,0,0,57,55,0,+5,149,,-,bio - career - this year - this tournament
58,Lon Hinkle,,CUT,77,72,0,0,64,55,0,+5,149,,-,bio - career - this year - this tournament
59,Gay Brewer,,CUT,75,75,0,0,57,60,0,+6,150,,-,bio - career - this year - this tournament
60,Mike McCullough,,CUT,73,77,0,0,34,60,0,+6,150,,-,bio - career - this year - this tournament
61,Jumbo Ozaki,,CUT,76,75,0,0,63,62,0,+7,151,,-,bio - career - this year - this tournament
62,Mac McLendon,,CUT,74,77,0,0,49,62,0,+7,151,,-,bio - career - this year - this tournament
63,Mark McCumber,,CUT,75,78,0,0,57,64,0,+9,153,,-,bio - career - this year - this tournament
64,Mike Peck,,CUT,78,75,0,0,68,64,0,+9,153,,-,bio - career - this year - this tournament
65,Ben Crenshaw,,CUT,73,80,0,0,34,64,0,+9,153,,-,bio - career - this year - this tournament
66,Ron Streck,,CUT,78,76,0,0,68,67,0,+10,154,,-,bio - career - this year - this tournament
67,Peter McEvoy,,CUT,79,79,0,0,70,68,0,+14,158,,-,bio - career - this year - this tournament
