,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Jimmy Demaret,,Win,69,71,70,71,1,1,1,-7,281,"$2,500",-,bio - career - this year - this tournament
1,Byron Nelson,,T2,69,72,72,70,1,3,2,-5,283,"$1,500",-,bio - career - this year - this tournament
2,Frank Stranahan,,T2,73,72,70,68,22,21,7,-5,283,,-,bio - career - this year - this tournament
3,Ben Hogan,,T4,75,68,71,70,34,11,4,-4,284,$900,-,bio - career - this year - this tournament
4,Harold McSpaden,,T4,74,69,70,71,27,11,2,-4,284,$900,-,bio - career - this year - this tournament
5,Jim Ferrier,,T6,70,71,73,72,3,3,4,-2,286,$625,-,bio - career - this year - this tournament
6,Henry Picard,,T6,73,70,72,71,22,11,7,-2,286,$625,-,bio - career - this year - this tournament
7,Chandler Harper,,T8,77,72,68,70,48,36,14,-1,287,$335,-,bio - career - this year - this tournament
8,Lloyd Mangrum,,T8,76,73,68,70,45,36,14,-1,287,$335,-,bio - career - this year - this tournament
9,Dick Metz,,T8,72,72,72,71,16,19,9,-1,287,$335,-,bio - career - this year - this tournament
10,Ed Oliver Jr.,,T8,70,72,74,71,3,6,9,-1,287,$335,-,bio - career - this year - this tournament
11,Toney Penna,,T8,71,70,75,71,10,3,9,-1,287,$335,-,bio - career - this year - this tournament
12,Johnny Bulla,,13,70,75,74,69,3,21,24,E,288,$225,-,bio - career - this year - this tournament
13,Dick Chapman,,T14,72,71,74,72,16,11,14,+1,289,,-,bio - career - this year - this tournament
14,Lawson Little,,T14,71,71,76,71,10,6,20,+1,289,$187,-,bio - career - this year - this tournament
15,Bobby Locke,,T14,74,74,71,70,27,29,24,+1,289,$187,-,bio - career - this year - this tournament
16,Herman Barron,,T17,71,71,74,74,10,6,9,+2,290,$125,-,bio - career - this year - this tournament
17,"Fred Haas, Jr.",,T17,70,74,73,73,3,19,14,+2,290,$125,-,bio - career - this year - this tournament
18,Johnny Palmer,,T17,70,73,74,73,3,11,14,+2,290,$125,-,bio - career - this year - this tournament
19,Denny Shute,,20,73,75,72,71,22,29,29,+3,291,$100,-,bio - career - this year - this tournament
20,Vic Ghezzi,,21,73,77,71,71,22,40,32,+4,292,$100,-,bio - career - this year - this tournament
21,Horton Smith,,T22,72,70,76,75,16,6,20,+5,293,$50,-,bio - career - this year - this tournament
22,Sam Snead,,T22,72,71,75,75,16,11,20,+5,293,$50,-,bio - career - this year - this tournament
23,Herman Keiser,,T24,74,75,73,72,27,36,37,+6,294,,-,bio - career - this year - this tournament
24,Ellsworth Vines,,T24,75,71,75,73,34,25,32,+6,294,,-,bio - career - this year - this tournament
25,Claude Harmon,,T26,73,69,76,77,22,6,20,+7,295,,-,bio - career - this year - this tournament
26,Gene Sarazen,,T26,75,76,74,70,34,44,44,+7,295,,-,bio - career - this year - this tournament
27,George Schneiter,,T26,70,75,78,72,3,21,39,+7,295,,-,bio - career - this year - this tournament
28,Dutch Harrison,,T29,74,71,74,77,27,21,24,+8,296,,-,bio - career - this year - this tournament
29,Clayton Heafner,,T29,75,73,73,75,34,29,32,+8,296,,-,bio - career - this year - this tournament
30,Cary Middlecoff,,T29,71,69,76,80,10,1,9,+8,296,,-,bio - career - this year - this tournament
31,Johnny Revolta,,T29,75,73,72,76,34,29,29,+8,296,,-,bio - career - this year - this tournament
32,Harry Todd,,T29,74,74,71,77,27,29,24,+8,296,,-,bio - career - this year - this tournament
33,Ed Dudley,,T34,72,75,73,77,16,27,29,+9,297,,-,bio - career - this year - this tournament
34,Chick Harbert,,T34,71,72,71,83,10,11,4,+9,297,,-,bio - career - this year - this tournament
35,Ky Laffoon,,T34,74,74,74,75,27,29,37,+9,297,,-,bio - career - this year - this tournament
36,Frank Moore,,T34,76,74,71,76,45,40,32,+9,297,,-,bio - career - this year - this tournament
37,George Schoux,,T34,71,72,76,78,10,11,24,+9,297,,-,bio - career - this year - this tournament
38,Robert Willets,,T34,76,78,70,73,45,51,40,+9,297,,-,bio - career - this year - this tournament
39,Lew Worsham,,T34,70,76,71,80,3,25,14,+9,297,,-,bio - career - this year - this tournament
40,George Fazio,,41,75,78,71,74,34,49,40,+10,298,,-,bio - career - this year - this tournament
41,Charles Congdon,,T42,75,74,75,76,34,36,40,+12,300,,-,bio - career - this year - this tournament
42,Gene Kunes,,T42,74,73,78,75,27,27,44,+12,300,,-,bio - career - this year - this tournament
43,Bob Hamilton,,44,72,78,74,77,16,40,40,+13,301,,-,bio - career - this year - this tournament
44,Ed Furgol,,45,77,73,71,81,48,40,32,+14,302,,-,bio - career - this year - this tournament
45,Charles Lind,,46,75,76,75,77,34,44,46,+15,303,,-,bio - career - this year - this tournament
46,Felix Serafin,,47,75,73,79,77,34,29,47,+16,304,,-,bio - career - this year - this tournament
47,George Hamer,,T48,77,77,77,74,48,51,51,+17,305,,-,bio - career - this year - this tournament
48,Steve Kovach,,T48,78,73,78,76,53,44,48,+17,305,,-,bio - career - this year - this tournament
49,Skee Riegel,,T48,75,80,75,75,34,54,50,+17,305,,-,bio - career - this year - this tournament
50,Jim Foulis,,51,77,76,79,74,48,49,52,+18,306,,-,bio - career - this year - this tournament
51,Johnny Farrell,,T52,80,76,76,76,55,55,52,+20,308,,-,bio - career - this year - this tournament
52,Jim Turnesa,,T52,80,72,77,79,55,47,48,+20,308,,-,bio - career - this year - this tournament
53,Craig Wood,,T52,78,80,75,75,53,57,55,+20,308,,-,bio - career - this year - this tournament
54,Charles Yates,,T52,77,75,81,75,48,47,55,+20,308,,-,bio - career - this year - this tournament
