,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Danny Willett,,1,70,74,72,67,9,8,5,-5,283,"$1,800,000",-,bio - career - this year - this tournament
1,Jordan Spieth,,T2,66,74,73,73,1,1,1,-2,286,"$880,000",-,bio - career - this year - this tournament
2,Lee Westwood,,T2,71,75,71,69,13,23,8,-2,286,"$880,000",-,bio - career - this year - this tournament
3,Dustin Johnson,,T4,73,71,72,71,34,8,5,-1,287,"$413,333",-,bio - career - this year - this tournament
4,J.B. Holmes,,T4,72,73,74,68,21,15,13,-1,287,"$413,333",-,bio - career - this year - this tournament
5,Paul Casey,,T4,69,77,74,67,4,23,16,-1,287,"$413,333",-,bio - career - this year - this tournament
6,Hideki Matsuyama,,T7,71,72,72,73,13,5,3,E,288,"$311,667",-,bio - career - this year - this tournament
7,Matthew Fitzpatrick,,T7,71,76,74,67,13,33,23,E,288,"$311,667",-,bio - career - this year - this tournament
8,Soren Kjeldsen,,T7,69,74,74,71,4,5,8,E,288,"$311,667",-,bio - career - this year - this tournament
9,Brandt Snedeker,,T10,71,72,74,72,13,5,8,+1,289,"$230,000",-,bio - career - this year - this tournament
10,Daniel Berger,,T10,73,71,74,71,34,8,11,+1,289,"$230,000",-,bio - career - this year - this tournament
11,Jason Day,,T10,72,73,71,73,21,15,5,+1,289,"$230,000",-,bio - career - this year - this tournament
12,Justin Rose,,T10,69,77,73,70,4,23,13,+1,289,"$230,000",-,bio - career - this year - this tournament
13,Rory McIlroy,,T10,70,71,77,71,9,2,11,+1,289,"$230,000",-,bio - career - this year - this tournament
14,Kiradech Aphibarnrat,,T15,72,72,77,70,21,8,23,+3,291,"$175,000",-,bio - career - this year - this tournament
15,Louis Oosthuizen,,T15,72,77,71,71,21,47,16,+3,291,"$175,000",-,bio - career - this year - this tournament
16,Billy Horschel,,T17,70,77,73,72,9,33,16,+4,292,"$145,000",-,bio - career - this year - this tournament
17,Danny Lee,,T17,68,74,79,71,2,3,23,+4,292,"$145,000",-,bio - career - this year - this tournament
18,Emiliano Grillo,,T17,71,75,74,72,13,23,16,+4,292,"$145,000",-,bio - career - this year - this tournament
19,Rafael Cabrera-Bello,,T17,74,73,75,70,43,33,32,+4,292,"$145,000",-,bio - career - this year - this tournament
20,Brooks Koepka,,T21,73,72,76,72,34,15,23,+5,293,"$116,000",-,bio - career - this year - this tournament
21,Bryson DeChambeau,,T21,72,72,77,72,21,8,23,+5,293,,-,bio - career - this year - this tournament
