,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Art Wall,,Win,73,74,71,66,10,21,13,-4,284,"$15,000",-,bio - career - this year - this tournament
1,Cary Middlecoff,,2,74,71,68,72,19,10,3,-3,285,"$7,500",-,bio - career - this year - this tournament
2,Arnold Palmer,,3,71,70,71,74,2,1,1,-2,286,"$4,500",-,bio - career - this year - this tournament
3,Stan Leonard,,T4,69,74,69,75,1,2,1,-1,287,"$2,625",-,bio - career - this year - this tournament
4,Dick Mayer,,T4,73,75,71,68,10,28,18,-1,287,"$2,625",-,bio - career - this year - this tournament
5,Charles Coe,,6,74,74,67,73,19,28,4,E,288,,-,bio - career - this year - this tournament
6,Fred Hawkins,,7,77,71,68,73,52,28,5,+1,289,"$2,100",-,bio - career - this year - this tournament
7,Julius Boros,,T8,75,69,74,72,33,3,13,+2,290,"$1,740",-,bio - career - this year - this tournament
8,Jay Hebert,,T8,72,73,72,73,5,10,10,+2,290,"$1,740",-,bio - career - this year - this tournament
9,Gene Littler,,T8,72,75,72,71,5,21,18,+2,290,"$1,740",-,bio - career - this year - this tournament
10,Billy Maxwell,,T8,73,71,72,74,10,3,5,+2,290,"$1,740",-,bio - career - this year - this tournament
11,Billy-Joe Patton,,T8,75,70,71,74,33,10,5,+2,290,,-,bio - career - this year - this tournament
12,Gary Player,,T8,73,75,71,71,10,28,18,+2,290,"$1,740",-,bio - career - this year - this tournament
13,Chick Harbert,,T14,74,72,74,71,19,18,26,+3,291,"$1,425",-,bio - career - this year - this tournament
14,Chandler Harper,,T14,71,74,74,72,2,10,18,+3,291,"$1,425",-,bio - career - this year - this tournament
15,Ted Kroll,,T14,76,71,73,71,45,21,26,+3,291,"$1,425",-,bio - career - this year - this tournament
16,Ed Oliver Jr.,,T14,75,69,73,74,33,3,10,+3,291,"$1,425",-,bio - career - this year - this tournament
17,Dow Finsterwald,,T18,79,68,73,72,68,21,26,+4,292,"$1,300",-,bio - career - this year - this tournament
18,Jack Fleck,,T18,74,71,71,76,19,10,5,+4,292,"$1,300",-,bio - career - this year - this tournament
19,Bill Hyndman,,T18,73,72,76,71,10,10,30,+4,292,,-,bio - career - this year - this tournament
20,Bo Wininger,,T18,75,70,72,75,33,10,10,+4,292,"$1,300",-,bio - career - this year - this tournament
21,Walter Burkemo,,T22,75,70,71,77,33,10,5,+5,293,"$1,275",-,bio - career - this year - this tournament
22,Chuck Kocsis,,T22,73,75,70,75,10,28,13,+5,293,,-,bio - career - this year - this tournament
23,Sam Snead,,T22,74,73,72,74,19,21,18,+5,293,"$1,275",-,bio - career - this year - this tournament
24,Don Cherry,,T25,77,71,75,71,52,28,36,+6,294,,-,bio - career - this year - this tournament
25,Doug Ford,,T25,76,73,73,72,45,38,33,+6,294,"$1,200",-,bio - career - this year - this tournament
26,Paul Harney,,T25,75,69,77,73,33,3,30,+6,294,"$1,200",-,bio - career - this year - this tournament
27,Miguel Martin,,T25,72,72,76,74,5,3,26,+6,294,"$1,200",-,bio - career - this year - this tournament
28,Mike Souchak,,T25,73,71,74,76,10,3,13,+6,294,"$1,200",-,bio - career - this year - this tournament
29,Tommy Bolt,,T30,72,75,72,76,5,21,18,+7,295,$350,-,bio - career - this year - this tournament
30,Ben Hogan,,T30,73,74,76,72,10,21,36,+7,295,$350,-,bio - career - this year - this tournament
31,Bob Rosburg,,T30,75,74,73,73,33,38,33,+7,295,$350,-,bio - career - this year - this tournament
32,Dave Thomas,,T30,73,71,77,74,10,3,30,+7,295,$350,-,bio - career - this year - this tournament
33,Jack Burke Jr.,,T34,71,77,76,72,2,28,39,+8,296,$350,-,bio - career - this year - this tournament
34,Frank Stranahan,,T34,74,72,73,77,19,18,18,+8,296,$350,-,bio - career - this year - this tournament
35,Don January,,36,74,75,70,78,19,38,18,+9,297,$350,-,bio - career - this year - this tournament
36,Marty Furgol,,37,74,74,74,76,19,28,33,+10,298,$350,-,bio - career - this year - this tournament
37,Ernie Vossler,,38,74,74,75,76,19,28,36,+11,299,$350,-,bio - career - this year - this tournament
38,Lionel Hebert,,39,77,72,76,75,52,38,40,+12,300,$350,-,bio - career - this year - this tournament
39,George Bayer,,40,74,75,77,77,19,38,41,+15,303,$350,-,bio - career - this year - this tournament
40,Deane Beman,,CUT,74,76,0,0,19,43,0,+6,150,,-,bio - career - this year - this tournament
41,Bruce Crampton,,CUT,75,75,0,0,33,43,0,+6,150,,-,bio - career - this year - this tournament
42,Tommy Jacobs,,CUT,77,73,0,0,52,43,0,+6,150,,-,bio - career - this year - this tournament
43,Jack Nicklaus,,CUT,76,74,0,0,45,43,0,+6,150,,-,bio - career - this year - this tournament
44,Dick Chapman,,CUT,75,76,0,0,33,47,0,+7,151,,-,bio - career - this year - this tournament
45,Claude Harmon,,CUT,74,77,0,0,19,47,0,+7,151,,-,bio - career - this year - this tournament
46,Lloyd Mangrum,,CUT,74,77,0,0,19,47,0,+7,151,,-,bio - career - this year - this tournament
47,Ken Venturi,,CUT,75,76,0,0,33,47,0,+7,151,,-,bio - career - this year - this tournament
48,Ward Wettlaufer,,CUT,77,74,0,0,52,47,0,+7,151,,-,bio - career - this year - this tournament
49,Billy Casper,,CUT,76,76,0,0,45,52,0,+8,152,,-,bio - career - this year - this tournament
50,Wes Ellis,,CUT,75,77,0,0,33,52,0,+8,152,,-,bio - career - this year - this tournament
51,Al Mengert,,CUT,76,76,0,0,45,52,0,+8,152,,-,bio - career - this year - this tournament
52,Dick Metz,,CUT,78,74,0,0,60,52,0,+8,152,,-,bio - career - this year - this tournament
53,Johnny Revolta,,CUT,76,76,0,0,45,52,0,+8,152,,-,bio - career - this year - this tournament
54,Jack Westland,,CUT,78,74,0,0,60,52,0,+8,152,,-,bio - career - this year - this tournament
55,Henry Picard,,CUT,77,76,0,0,52,58,0,+9,153,,-,bio - career - this year - this tournament
56,Jim Turnesa,,CUT,77,76,0,0,52,58,0,+9,153,,-,bio - career - this year - this tournament
57,Vic Ghezzi,,CUT,74,80,0,0,19,60,0,+10,154,,-,bio - career - this year - this tournament
58,Frank Taylor Jr,,CUT,81,73,0,0,71,60,0,+10,154,,-,bio - career - this year - this tournament
59,Tommy Aaron,,CUT,79,76,0,0,68,62,0,+11,155,,-,bio - career - this year - this tournament
60,Buster Cupit,,CUT,81,74,0,0,71,62,0,+11,155,,-,bio - career - this year - this tournament
61,Bob Goetz,,CUT,78,77,0,0,60,62,0,+11,155,,-,bio - career - this year - this tournament
62,Herman Keiser,,CUT,78,77,0,0,60,62,0,+11,155,,-,bio - career - this year - this tournament
63,Phil Rodgers,,CUT,78,77,0,0,60,62,0,+11,155,,-,bio - career - this year - this tournament
64,Ed Furgol,,CUT,78,78,0,0,60,67,0,+12,156,,-,bio - career - this year - this tournament
65,Gene Sarazen,,CUT,77,79,0,0,52,67,0,+12,156,,-,bio - career - this year - this tournament
66,Denny Shute,,CUT,81,75,0,0,71,67,0,+12,156,,-,bio - career - this year - this tournament
67,Lew Worsham,,CUT,76,80,0,0,45,67,0,+12,156,,-,bio - career - this year - this tournament
68,Jock Hutchison Jr,,CUT,85,0,0,0,84,0,0,+13,85,,-,bio - career - this year - this tournament
69,Henry Martell,,CUT,80,77,0,0,70,71,0,+13,157,,-,bio - career - this year - this tournament
70,John McMullin,,CUT,78,79,0,0,60,71,0,+13,157,,-,bio - career - this year - this tournament
71,Bill Campbell,,CUT,81,77,0,0,71,73,0,+14,158,,-,bio - career - this year - this tournament
72,Bob Sweeny,,CUT,81,77,0,0,71,73,0,+14,158,,-,bio - career - this year - this tournament
73,Billy Burke,,CUT,81,78,0,0,71,75,0,+15,159,,-,bio - career - this year - this tournament
74,Dick Foote,,CUT,84,76,0,0,82,76,0,+16,160,,-,bio - career - this year - this tournament
75,Roger Mcmanus,,CUT,81,79,0,0,71,76,0,+16,160,,-,bio - career - this year - this tournament
76,Fred McLeod,,CUT,89,0,0,0,87,0,0,+17,89,,-,bio - career - this year - this tournament
77,Retief Waltman,,CUT,84,77,0,0,82,78,0,+17,161,,-,bio - career - this year - this tournament
78,Bruce Castator,,CUT,82,80,0,0,78,79,0,+18,162,,-,bio - career - this year - this tournament
