,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Henry Picard,,Win,71,72,72,70,4,2,1,-3,285,"$1,500",-,bio - career - this year - this tournament
1,Harry Cooper,,T2,68,77,71,71,1,9,2,-1,287,$700,-,bio - career - this year - this tournament
2,Ralph Guldahl,,T2,73,70,73,71,13,2,2,-1,287,$700,-,bio - career - this year - this tournament
3,Paul Runyan,,4,71,73,74,70,4,7,7,E,288,$500,-,bio - career - this year - this tournament
4,Byron Nelson,,5,73,74,70,73,13,13,6,+2,290,$400,-,bio - career - this year - this tournament
5,Ed Dudley,,T6,70,69,77,75,2,1,2,+3,291,$275,-,bio - career - this year - this tournament
6,Felix Serafin,,T6,72,71,78,70,7,2,11,+3,291,$275,-,bio - career - this year - this tournament
7,Dick Metz,,T8,70,77,74,71,2,13,11,+4,292,$175,-,bio - career - this year - this tournament
8,Jimmy Thomson,,T8,74,70,76,72,19,7,10,+4,292,$175,-,bio - career - this year - this tournament
9,Vic Ghezzi,,T10,75,74,70,74,24,22,9,+5,293,$100,-,bio - career - this year - this tournament
10,Jimmy Hines,,T10,75,71,75,72,24,11,11,+5,293,$100,-,bio - career - this year - this tournament
11,Lawson Little,,T10,72,75,74,72,7,13,11,+5,293,$100,-,bio - career - this year - this tournament
12,Billy Burke,,T13,73,73,76,73,13,11,17,+7,295,,-,bio - career - this year - this tournament
13,Gene Sarazen,,T13,78,70,68,79,37,19,2,+7,295,,-,bio - career - this year - this tournament
14,Stanley Horne,,15,74,74,77,71,19,19,22,+8,296,,-,bio - career - this year - this tournament
15,Robert-T. Jones,,T16,76,74,72,75,30,25,17,+9,297,,-,bio - career - this year - this tournament
16,Harold McSpaden,,T16,72,75,77,73,7,13,19,+9,297,,-,bio - career - this year - this tournament
17,Bobby Cruickshank,,T18,72,75,77,74,7,13,19,+10,298,,-,bio - career - this year - this tournament
18,Ray Mangrum,,T18,78,72,76,72,37,25,23,+10,298,,-,bio - career - this year - this tournament
19,Johnny Revolta,,T18,73,72,76,77,13,9,11,+10,298,,-,bio - career - this year - this tournament
20,Tommy-Suffern Tailer,,T18,74,69,75,80,19,2,7,+10,298,,-,bio - career - this year - this tournament
21,Chuck Kocsis,,T22,76,73,77,73,30,22,23,+11,299,,-,bio - career - this year - this tournament
22,Horton Smith,,T22,75,75,78,71,24,25,29,+11,299,,-,bio - career - this year - this tournament
23,"Sam Parks, Jr.",,24,75,75,76,74,24,25,23,+12,300,,-,bio - career - this year - this tournament
24,Wiffy Cox,,T25,74,78,74,75,19,33,23,+13,301,,-,bio - career - this year - this tournament
25,Ben Hogan,,T25,75,76,78,72,24,31,31,+13,301,,-,bio - career - this year - this tournament
26,Ky Laffoon,,T27,78,76,74,74,37,36,29,+14,302,,-,bio - career - this year - this tournament
27,Tony Manero,,T27,72,78,82,70,7,25,37,+14,302,,-,bio - career - this year - this tournament
28,Frank Walsh,,T27,74,75,77,76,19,22,23,+14,302,,-,bio - career - this year - this tournament
29,Al Watrous,,T27,73,77,76,76,13,25,23,+14,302,,-,bio - career - this year - this tournament
30,Toney Penna,,T31,71,76,77,80,4,13,19,+16,304,,-,bio - career - this year - this tournament
31,Sam Snead,,T31,78,78,75,73,37,39,33,+16,304,,-,bio - career - this year - this tournament
32,Jess Sweetser,,33,82,75,73,75,42,42,32,+17,305,,-,bio - career - this year - this tournament
33,Leo Mallory,,T34,76,75,81,74,30,31,37,+18,306,,-,bio - career - this year - this tournament
34,Craig Wood,,T34,73,75,83,75,13,19,33,+18,306,,-,bio - career - this year - this tournament
35,Ross Somerville,,T36,77,78,82,71,35,38,41,+20,308,,-,bio - career - this year - this tournament
36,Bud Ward,,T36,77,76,79,76,35,34,37,+20,308,,-,bio - career - this year - this tournament
37,Willie Macfarlane,,38,76,80,75,78,30,39,33,+21,309,,-,bio - career - this year - this tournament
38,Charles Yates,,39,76,78,82,76,30,36,40,+24,312,,-,bio - career - this year - this tournament
39,Frank Strafaci,,WD,72,71,78,0,7,2,11,+5,221,,-,bio - career - this year - this tournament
40,Leonard Dodson,,WD,78,78,0,0,37,39,0,+12,156,,-,bio - career - this year - this tournament
41,Denny Shute,,WD,75,78,78,0,24,34,33,+15,231,,-,bio - career - this year - this tournament
