,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Charl Schwartzel,,Win,69,71,68,66,7,12,2,-14,274,"$1,440,000",-,bio - career - this year - this tournament
1,Jason Day,,T2,72,64,72,68,31,2,2,-12,276,"$704,000",-,bio - career - this year - this tournament
2,Adam Scott,,T2,72,70,67,67,31,20,6,-12,276,"$704,000",-,bio - career - this year - this tournament
3,Luke Donald,,T4,72,68,69,69,31,12,6,-10,278,"$330,667",-,bio - career - this year - this tournament
4,Geoff Ogilvy,,T4,69,69,73,67,7,5,9,-10,278,"$330,667",-,bio - career - this year - this tournament
5,Tiger Woods,,T4,71,66,74,67,24,3,9,-10,278,"$330,667",-,bio - career - this year - this tournament
6,Angel Cabrera,,7,71,70,67,71,24,18,2,-9,279,"$268,000",-,bio - career - this year - this tournament
7,K.J. Choi,,T8,67,70,71,72,3,3,2,-8,280,"$240,000",-,bio - career - this year - this tournament
8,Bo Van Pelt,,T8,73,69,68,70,49,20,8,-8,280,"$240,000",-,bio - career - this year - this tournament
9,Ryan Palmer,,10,71,72,69,70,24,30,14,-6,282,"$216,000",-,bio - career - this year - this tournament
10,Edoardo Molinari,,T11,74,70,69,70,64,37,18,-5,283,"$176,000",-,bio - career - this year - this tournament
11,Justin Rose,,T11,73,71,71,68,49,37,30,-5,283,"$176,000",-,bio - career - this year - this tournament
12,Lee Westwood,,T11,72,67,74,70,31,7,18,-5,283,"$176,000",-,bio - career - this year - this tournament
13,Steve Stricker,,T11,72,70,71,70,31,20,18,-5,283,"$176,000",-,bio - career - this year - this tournament
14,Rory McIlroy,,T15,65,69,70,80,1,1,1,-4,284,"$128,000",-,bio - career - this year - this tournament
15,Ross Fisher,,T15,69,71,71,73,7,12,9,-4,284,"$128,000",-,bio - career - this year - this tournament
16,Brandt Snedeker,,T15,69,71,74,70,7,12,24,-4,284,"$128,000",-,bio - career - this year - this tournament
17,Trevor Immelman,,T15,69,73,73,69,7,20,30,-4,284,"$128,000",-,bio - career - this year - this tournament
18,Fred Couples,,T15,71,68,72,73,24,7,9,-4,284,"$128,000",-,bio - career - this year - this tournament
19,Ryo Ishikawa,,T20,71,71,73,70,24,20,30,-3,285,"$93,200",-,bio - career - this year - this tournament
20,Martin Laird,,T20,74,69,69,73,64,30,14,-3,285,"$93,200",-,bio - career - this year - this tournament
21,Ricky Barnes,,T20,68,71,75,71,5,7,24,-3,285,"$93,200",-,bio - career - this year - this tournament
22,Y.E. Yang,,T20,67,72,73,73,3,7,14,-3,285,"$93,200",-,bio - career - this year - this tournament
23,Gary Woodland,,T24,69,73,74,70,7,20,38,-2,286,"$70,400",-,bio - career - this year - this tournament
24,Jim Furyk,,T24,72,68,74,72,31,12,24,-2,286,"$70,400",-,bio - career - this year - this tournament
25,David Toms,,T24,72,69,73,72,31,18,24,-2,286,"$70,400",-,bio - career - this year - this tournament
26,Hideki Matsuyama,,T27,72,73,68,74,31,43,18,-1,287,,-,bio - career - this year - this tournament
27,Alvaro Quiros,,T27,65,73,75,74,1,5,18,-1,287,"$54,400",-,bio - career - this year - this tournament
28,Ian Poulter,,T27,74,69,71,73,64,30,24,-1,287,"$54,400",-,bio - career - this year - this tournament
29,Matt Kuchar,,T27,68,75,69,75,5,30,14,-1,287,"$54,400",-,bio - career - this year - this tournament
30,Robert Karlsson,,T27,72,70,74,71,31,20,38,-1,287,"$54,400",-,bio - career - this year - this tournament
31,Miguel A. Jimenez,,T27,71,73,70,73,24,37,24,-1,287,"$54,400",-,bio - career - this year - this tournament
32,Charley Hoffman,,T27,74,69,72,72,64,30,30,-1,287,"$54,400",-,bio - career - this year - this tournament
33,Phil Mickelson,,T27,70,72,71,74,14,20,18,-1,287,"$54,400",-,bio - career - this year - this tournament
34,Ryan Moore,,T35,70,73,72,73,14,30,30,E,288,"$43,200",-,bio - career - this year - this tournament
35,Sergio Garcia,,T35,69,71,75,73,7,12,30,E,288,"$43,200",-,bio - career - this year - this tournament
36,Alex Cejka,,T35,72,71,75,70,31,30,42,E,288,"$43,200",-,bio - career - this year - this tournament
37,Rickie Fowler,,T38,70,69,76,74,14,7,30,+1,289,"$36,800",-,bio - career - this year - this tournament
38,Dustin Johnson,,T38,74,68,73,74,64,20,30,+1,289,"$36,800",-,bio - career - this year - this tournament
