,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Sam Snead,,Win,73,75,67,67,8,14,2,-6,282,"$2,750",-,bio - career - this year - this tournament
1,Johnny Bulla,,T2,74,73,69,69,16,10,5,-3,285,"$1,100",-,bio - career - this year - this tournament
2,Lloyd Mangrum,,T2,69,74,72,70,1,1,2,-3,285,"$1,100",-,bio - career - this year - this tournament
3,Johnny Palmer,,T4,73,71,70,72,8,3,1,-2,286,$440,-,bio - career - this year - this tournament
4,Jim Turnesa,,T4,73,72,71,70,8,4,5,-2,286,$440,-,bio - career - this year - this tournament
5,Lew Worsham,,6,76,75,70,68,29,29,12,1,289,$330,-,bio - career - this year - this tournament
6,Joe Kirkwood Jr,,7,73,72,70,75,8,4,2,2,290,$330,-,bio - career - this year - this tournament
7,Jimmy Demaret,,T8,76,72,73,71,29,14,12,4,292,$311,-,bio - career - this year - this tournament
8,Clayton Heafner,,T8,71,74,72,75,3,4,8,4,292,$311,-,bio - career - this year - this tournament
9,Byron Nelson,,T8,75,70,74,73,23,4,9,4,292,$311,-,bio - career - this year - this tournament
10,Claude Harmon,,T11,73,75,73,72,8,14,12,5,293,$302,-,bio - career - this year - this tournament
11,Herman Keiser,,T11,75,68,78,72,23,1,12,5,293,$302,-,bio - career - this year - this tournament
12,Herman Barron,,T13,73,75,71,75,8,14,9,6,294,$275,-,bio - career - this year - this tournament
13,Leland Gibson,,T13,71,77,74,72,3,14,18,6,294,$275,-,bio - career - this year - this tournament
14,Bobby Locke,,T13,74,74,74,72,16,14,18,6,294,$275,-,bio - career - this year - this tournament
15,Charles Coe,,T16,77,72,72,74,38,21,12,7,295,,-,bio - career - this year - this tournament
16,John Dawson,,T16,78,72,72,73,46,26,18,7,295,,-,bio - career - this year - this tournament
17,Jim Ferrier,,T16,77,72,67,79,38,21,5,7,295,$275,-,bio - career - this year - this tournament
18,Tony Holguin,,T19,81,70,71,74,52,29,18,8,296,$247,-,bio - career - this year - this tournament
19,Frank Stranahan,,T19,70,77,75,74,2,10,18,8,296,,-,bio - career - this year - this tournament
20,Pete Cooper,,T21,76,75,72,74,29,29,24,9,297,$247,-,bio - career - this year - this tournament
21,Henry Picard,,T21,74,77,73,73,16,29,27,9,297,$247,-,bio - career - this year - this tournament
22,Bob Hamilton,,T23,77,79,69,73,38,49,29,10,298,$187,-,bio - career - this year - this tournament
23,Dutch Harrison,,T23,73,78,75,72,8,29,35,10,298,$187,-,bio - career - this year - this tournament
24,Lawson Little,,T23,72,77,73,76,7,21,18,10,298,$187,-,bio - career - this year - this tournament
25,Cary Middlecoff,,T23,76,77,72,73,29,38,29,10,298,$187,-,bio - career - this year - this tournament
26,Toney Penna,,T23,74,76,76,72,16,26,35,10,298,$187,-,bio - career - this year - this tournament
27,Horton Smith,,T23,75,72,78,73,23,10,29,10,298,$187,-,bio - career - this year - this tournament
28,"Fred Haas, Jr.",,29,75,70,75,79,23,4,11,11,299,,-,bio - career - this year - this tournament
29,Skip Alexander,,T30,74,77,75,74,16,29,35,12,300,,-,bio - career - this year - this tournament
30,George Fazio,,T30,78,76,71,75,46,45,29,12,300,,-,bio - career - this year - this tournament
31,Dick Metz,,T30,71,76,76,77,3,10,24,12,300,,-,bio - career - this year - this tournament
32,Skee Riegel,,T30,75,74,74,77,23,21,24,12,300,,-,bio - career - this year - this tournament
