,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Bernhard Langer,,Win,69,70,69,70,8,3,1,-10,278,"$306,000",-,bio - career - this year - this tournament
1,Chip Beck,,2,72,67,72,70,35,3,2,-7,281,"$183,600",-,bio - career - this year - this tournament
2,Steve Elkington,,T3,71,70,71,71,22,8,4,-5,283,"$81,600",-,bio - career - this year - this tournament
3,Lanny Wadkins,,T3,69,72,71,71,8,8,4,-5,283,"$81,600",-,bio - career - this year - this tournament
4,John Daly,,T3,70,71,73,69,14,8,12,-5,283,"$81,600",-,bio - career - this year - this tournament
5,Tom Lehman,,T3,67,75,73,68,1,17,17,-5,283,"$81,600",-,bio - career - this year - this tournament
6,Dan Forsman,,T7,69,69,73,73,8,2,2,-4,284,"$54,850",-,bio - career - this year - this tournament
7,Jose Maria Olazabal,,T7,70,72,74,68,14,17,24,-4,284,"$54,850",-,bio - career - this year - this tournament
8,Brad Faxon,,T9,71,70,72,72,22,8,8,-3,285,"$47,600",-,bio - career - this year - this tournament
9,Payne Stewart,,T9,74,70,72,69,54,32,24,-3,285,"$47,600",-,bio - career - this year - this tournament
10,Scott Simpson,,T11,72,71,71,72,35,25,12,-2,286,"$34,850",-,bio - career - this year - this tournament
11,Raymond Floyd,,T11,68,71,74,73,6,3,8,-2,286,"$34,850",-,bio - career - this year - this tournament
12,Seve Ballesteros,,T11,74,70,71,71,54,32,17,-2,286,"$34,850",-,bio - career - this year - this tournament
13,Corey Pavin,,T11,67,75,73,71,1,17,17,-2,286,"$34,850",-,bio - career - this year - this tournament
14,Anders Forsbrand,,T11,71,74,75,66,22,41,45,-2,286,"$34,850",-,bio - career - this year - this tournament
15,Fuzzy Zoeller,,T11,75,67,71,73,68,17,8,-2,286,"$34,850",-,bio - career - this year - this tournament
16,Howard Twitty,,T17,70,71,73,73,14,8,12,-1,287,"$24,650",-,bio - career - this year - this tournament
17,Jeff Sluman,,T17,71,72,71,73,22,25,12,-1,287,"$24,650",-,bio - career - this year - this tournament
18,Mark Calcavecchia,,T17,71,70,74,72,22,8,17,-1,287,"$24,650",-,bio - career - this year - this tournament
19,Ian Woosnam,,T17,71,74,73,69,22,41,35,-1,287,"$24,650",-,bio - career - this year - this tournament
20,Sandy Lyle,,T21,73,71,71,73,45,32,17,E,288,"$17,000",-,bio - career - this year - this tournament
21,Larry Mize,,T21,67,74,74,73,1,8,17,E,288,"$17,000",-,bio - career - this year - this tournament
22,Fred Couples,,T21,72,70,74,72,35,17,24,E,288,"$17,000",-,bio - career - this year - this tournament
23,Mark O'Meara,,T21,75,69,73,71,68,32,32,E,288,"$17,000",-,bio - career - this year - this tournament
24,Jeff Maggert,,T21,70,67,75,76,14,1,4,E,288,"$17,000",-,bio - career - this year - this tournament
25,Russ Cochran,,T21,70,69,73,76,14,3,4,E,288,"$17,000",-,bio - career - this year - this tournament
26,Hale Irwin,,T27,74,69,74,72,54,25,32,+1,289,"$12,350",-,bio - career - this year - this tournament
27,Jack Nicklaus,,T27,67,75,76,71,1,17,35,+1,289,"$12,350",-,bio - career - this year - this tournament
28,Joey Sindelar,,T27,72,69,76,72,35,8,32,+1,289,"$12,350",-,bio - career - this year - this tournament
29,Nolan Henke,,T27,76,69,71,73,74,41,24,+1,289,"$12,350",-,bio - career - this year - this tournament
30,Bruce Lietzke,,T31,74,71,71,74,54,41,24,+2,290,"$10,533",-,bio - career - this year - this tournament
31,Andrew Magee,,T31,75,69,70,76,68,32,12,+2,290,"$10,533",-,bio - career - this year - this tournament
32,Greg Norman,,T31,74,68,71,77,54,17,8,+2,290,"$10,533",-,bio - career - this year - this tournament
33,Phil Mickelson,,T34,72,71,75,73,35,25,35,+3,291,"$8,975",-,bio - career - this year - this tournament
34,Craig Stadler,,T34,73,74,69,75,45,57,24,+3,291,"$8,975",-,bio - career - this year - this tournament
35,Gene Sauers,,T34,74,71,75,71,54,41,45,+3,291,"$8,975",-,bio - career - this year - this tournament
36,Bob Gilder,,T34,69,76,75,71,8,41,45,+3,291,"$8,975",-,bio - career - this year - this tournament
37,Jay Haas,,38,70,73,75,74,14,25,35,+4,292,"$8,000",-,bio - career - this year - this tournament
38,Duffy Waldorf,,T39,72,75,73,73,35,57,45,+5,293,"$6,817",-,bio - career - this year - this tournament
39,Keith Clearwater,,T39,74,70,75,74,54,32,43,+5,293,"$6,817",-,bio - career - this year - this tournament
40,Ted Schulz,,T39,69,76,76,72,8,41,49,+5,293,"$6,817",-,bio - career - this year - this tournament
41,John Cook,,T39,76,67,75,75,74,25,35,+5,293,"$6,817",-,bio - career - this year - this tournament
42,Lee Janzen,,T39,67,73,76,77,1,7,24,+5,293,"$6,817",-,bio - career - this year - this tournament
43,Nick Faldo,,T39,71,76,79,67,22,57,59,+5,293,"$6,817",-,bio - career - this year - this tournament
44,Tom Watson,,T45,71,75,73,75,22,51,43,+6,294,"$4,940",-,bio - career - this year - this tournament
45,Jay Don Blake,,T45,71,74,73,76,22,41,35,+6,294,"$4,940",-,bio - career - this year - this tournament
46,Jumbo Ozaki,,T45,75,71,77,71,68,51,57,+6,294,"$4,940",-,bio - career - this year - this tournament
47,Craig Parry,,T45,69,72,75,78,8,8,24,+6,294,"$4,940",-,bio - career - this year - this tournament
48,Joe Ozaki,,T45,74,70,78,72,54,32,53,+6,294,"$4,940",-,bio - career - this year - this tournament
49,Gil Morgan,,T50,72,74,72,77,35,51,35,+7,295,"$4,250",-,bio - career - this year - this tournament
50,Brett Ogle,,T50,70,74,71,80,14,32,17,+7,295,"$4,250",-,bio - career - this year - this tournament
51,Colin Montgomerie,,T52,71,72,78,75,22,25,49,+8,296,"$4,050",-,bio - career - this year - this tournament
52,David Peoples,,T52,71,73,78,74,22,32,53,+8,296,"$4,050",-,bio - career - this year - this tournament
53,David Edwards,,T54,73,73,76,76,45,51,53,+10,298,"$3,900",-,bio - career - this year - this tournament
54,Davis Love III,,T54,73,72,76,77,45,41,49,+10,298,"$3,900",-,bio - career - this year - this tournament
55,Ian Baker-Finch,,T54,73,72,73,80,45,41,35,+10,298,"$3,900",-,bio - career - this year - this tournament
56,Gary Hallberg,,T57,72,74,78,75,35,51,58,+11,299,"$3,800",-,bio - career - this year - this tournament
57,Charles Coody,,T57,74,72,75,78,54,51,49,+11,299,"$3,800",-,bio - career - this year - this tournament
58,John Huston,,59,68,74,84,75,6,17,59,+13,301,"$3,800",-,bio - career - this year - this tournament
59,Gary Player,,60,71,76,75,80,22,57,53,+14,302,"$3,700",-,bio - career - this year - this tournament
60,Billy Andrade,,61,73,74,80,76,45,57,61,+15,303,"$3,700",-,bio - career - this year - this tournament
61,Ben Crenshaw,,CUT,74,74,0,0,54,62,0,+4,148,,-,bio - career - this year - this tournament
62,David Frost,,CUT,75,73,0,0,68,62,0,+4,148,,-,bio - career - this year - this tournament
63,Paul Azinger,,CUT,71,77,0,0,22,62,0,+4,148,,-,bio - career - this year - this tournament
64,Mike Hulbert,,CUT,74,75,0,0,54,65,0,+5,149,,-,bio - career - this year - this tournament
65,Justin Leonard,,CUT,76,73,0,0,74,65,0,+5,149,,-,bio - career - this year - this tournament
66,Mark Brooks,,CUT,72,77,0,0,35,65,0,+5,149,,-,bio - career - this year - this tournament
67,Tony Johnstone,,CUT,74,76,0,0,54,68,0,+6,150,,-,bio - career - this year - this tournament
68,Steve Pate,,CUT,73,77,0,0,45,68,0,+6,150,,-,bio - career - this year - this tournament
69,Fred Funk,,CUT,77,73,0,0,80,68,0,+6,150,,-,bio - career - this year - this tournament
70,Wayne Grady,,CUT,77,73,0,0,80,68,0,+6,150,,-,bio - career - this year - this tournament
71,Bill Glasson,,CUT,70,80,0,0,14,68,0,+6,150,,-,bio - career - this year - this tournament
72,Dillard Pruitt,,CUT,76,75,0,0,74,73,0,+7,151,,-,bio - career - this year - this tournament
73,Billy Ray Brown,,CUT,74,77,0,0,54,73,0,+7,151,,-,bio - career - this year - this tournament
74,Tom Kite,,CUT,73,78,0,0,45,73,0,+7,151,,-,bio - career - this year - this tournament
75,Tommy Aaron,,CUT,80,71,0,0,87,73,0,+7,151,,-,bio - career - this year - this tournament
76,Arnold Palmer,,CUT,74,78,0,0,54,77,0,+8,152,,-,bio - career - this year - this tournament
77,Warren Schutte,,CUT,73,79,0,0,45,77,0,+8,152,,-,bio - career - this year - this tournament
78,Mark Carnevale,,CUT,79,73,0,0,85,77,0,+8,152,,-,bio - career - this year - this tournament
79,Nick Price,,CUT,72,81,0,0,35,80,0,+9,153,,-,bio - career - this year - this tournament
80,"Jim Gallagher, Jr.",,CUT,81,72,0,0,89,80,0,+9,153,,-,bio - career - this year - this tournament
81,Richard Zokol,,CUT,75,79,0,0,68,82,0,+10,154,,-,bio - career - this year - this tournament
82,Danny Yates,,CUT,76,79,0,0,74,83,0,+11,155,,-,bio - career - this year - this tournament
83,Billy Casper,,CUT,79,77,0,0,85,84,0,+12,156,,-,bio - career - this year - this tournament
84,Mark McCumber,,CUT,76,80,0,0,74,84,0,+12,156,,-,bio - career - this year - this tournament
85,Mike Standly,,CUT,78,79,0,0,83,86,0,+13,157,,-,bio - career - this year - this tournament
86,Stephen Dundas,,CUT,78,83,0,0,83,87,0,+17,161,,-,bio - career - this year - this tournament
87,Doug Ford,,CUT,83,78,0,0,90,87,0,+17,161,,-,bio - career - this year - this tournament
88,Gay Brewer,,CUT,80,83,0,0,87,89,0,+19,163,,-,bio - career - this year - this tournament
89,Curtis Strange,,WD,77,0,0,0,80,0,0,+5,77,,-,bio - career - this year - this tournament
