,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Bob Goalby,,Win,70,70,71,66,7,3,2,-11,277,"$20,000",-,bio - career - this year - this tournament
1,Roberto De Vicenzo,,2,69,73,70,66,2,7,7,-10,278,"$15,000",-,bio - career - this year - this tournament
2,Bert Yancey,,3,71,71,72,65,10,7,12,-9,279,"$10,000",-,bio - career - this year - this tournament
3,Bruce Devlin,,4,69,73,69,69,2,7,2,-8,280,"$7,500",-,bio - career - this year - this tournament
4,Frank Beard,,T5,75,65,71,70,38,3,2,-7,281,"$5,500",-,bio - career - this year - this tournament
5,Jack Nicklaus,,T5,69,71,74,67,2,3,12,-7,281,"$5,500",-,bio - career - this year - this tournament
6,Tommy Aaron,,T7,69,72,72,69,2,6,10,-6,282,"$3,460",-,bio - career - this year - this tournament
7,Raymond Floyd,,T7,71,71,69,71,10,7,2,-6,282,"$3,460",-,bio - career - this year - this tournament
8,Lionel Hebert,,T7,72,71,71,68,17,12,12,-6,282,"$3,460",-,bio - career - this year - this tournament
9,Jerry Pittman,,T7,70,73,70,69,7,12,10,-6,282,"$3,460",-,bio - career - this year - this tournament
10,Gary Player,,T7,72,67,71,72,17,1,1,-6,282,"$3,460",-,bio - career - this year - this tournament
11,Miller Barber,,T12,75,69,68,71,38,20,7,-5,283,"$2,850",-,bio - career - this year - this tournament
12,Doug Sanders,,T12,76,69,70,68,48,22,18,-5,283,"$2,850",-,bio - career - this year - this tournament
13,Don January,,T14,71,68,72,73,10,1,2,-4,284,"$2,650",-,bio - career - this year - this tournament
14,Mason Rudolph,,T14,73,73,72,66,24,28,28,-4,284,"$2,650",-,bio - career - this year - this tournament
15,Julius Boros,,T16,73,71,70,71,24,20,12,-3,285,"$2,400",-,bio - career - this year - this tournament
16,Billy Casper,,T16,68,75,73,69,1,12,20,-3,285,"$2,400",-,bio - career - this year - this tournament
17,Tom Weiskopf,,T16,74,71,69,71,30,22,12,-3,285,"$2,400",-,bio - career - this year - this tournament
18,Bob Charles,,19,75,71,70,70,38,28,20,-2,286,"$2,200",-,bio - career - this year - this tournament
19,Dave Marr,,T20,74,71,71,71,30,22,20,-1,287,"$2,050",-,bio - career - this year - this tournament
20,Kermit Zarley,,T20,70,73,74,70,7,12,25,-1,287,"$2,050",-,bio - career - this year - this tournament
21,George Archer,,T22,75,71,72,70,38,28,28,E,288,"$1,760",-,bio - career - this year - this tournament
