,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Cary Middlecoff,,Win,72,65,72,70,4,1,1,-9,279,"$5,000",-,bio - career - this year - this tournament
1,Ben Hogan,,2,73,68,72,73,8,2,2,-2,286,"$3,125",-,bio - career - this year - this tournament
2,Sam Snead,,3,72,71,74,70,4,3,5,-1,287,"$2,125",-,bio - career - this year - this tournament
3,Julius Boros,,T4,71,75,72,71,2,7,7,1,289,"$1,333",-,bio - career - this year - this tournament
4,Bob Rosburg,,T4,72,72,72,73,4,5,4,1,289,"$1,333",-,bio - career - this year - this tournament
5,Mike Souchak,,T4,71,74,72,72,2,6,5,1,289,"$1,333",-,bio - career - this year - this tournament
6,Lloyd Mangrum,,7,74,73,72,72,12,14,10,3,291,$875,-,bio - career - this year - this tournament
7,Stan Leonard,,T8,77,73,68,74,32,25,7,4,292,$812,-,bio - career - this year - this tournament
8,Harvie Ward Jr,,T8,77,69,75,71,32,7,12,4,292,,-,bio - career - this year - this tournament
9,Dick Mayer,,T10,78,72,72,71,47,25,15,5,293,$695,-,bio - career - this year - this tournament
10,Byron Nelson,,T10,72,75,74,72,4,14,12,5,293,$695,-,bio - career - this year - this tournament
11,Arnold Palmer,,T10,76,76,72,69,27,36,21,5,293,$695,-,bio - career - this year - this tournament
12,Jack Burke Jr.,,T13,67,76,71,80,1,3,3,6,294,$593,-,bio - career - this year - this tournament
13,Skee Riegel,,T13,73,73,73,75,8,7,10,6,294,$593,-,bio - career - this year - this tournament
14,Walter Burkemo,,T15,73,73,72,77,8,7,7,7,295,$562,-,bio - career - this year - this tournament
15,Jay Hebert,,T15,75,74,74,72,20,20,18,7,295,$562,-,bio - career - this year - this tournament
16,Frank Stranahan,,T15,77,76,71,71,32,41,21,7,295,$562,-,bio - career - this year - this tournament
17,Joe Conrad,,T18,77,71,74,75,32,19,15,9,297,,-,bio - career - this year - this tournament
18,Billy Maxwell,,T18,77,72,77,71,32,20,25,9,297,$525,-,bio - career - this year - this tournament
19,Johnny Palmer,,T18,77,73,72,75,32,25,15,9,297,$525,-,bio - career - this year - this tournament
20,Peter Thomson,,T18,74,73,74,76,12,14,12,9,297,$525,-,bio - career - this year - this tournament
21,Tommy Bolt,,T22,76,70,77,75,27,7,18,10,298,$512,-,bio - career - this year - this tournament
22,Gene Littler,,T22,75,72,76,75,20,14,18,10,298,$512,-,bio - career - this year - this tournament
23,Pete Cooper,,T24,73,73,78,75,8,7,21,11,299,$500,-,bio - career - this year - this tournament
24,Ed Furgol,,T24,74,72,78,75,12,7,21,11,299,$500,-,bio - career - this year - this tournament
25,Hillman Robbins,,T24,77,76,74,72,32,41,30,11,299,,-,bio - career - this year - this tournament
26,Max Evans,,27,76,75,75,76,27,33,25,14,302,$500,-,bio - career - this year - this tournament
27,William Goodloe,,T28,74,73,81,75,12,14,33,15,303,,-,bio - career - this year - this tournament
28,Claude Harmon,,T28,77,75,78,73,32,36,40,15,303,$250,-,bio - career - this year - this tournament
29,Don Cherry,,T30,79,75,78,72,54,49,49,16,304,,-,bio - career - this year - this tournament
30,Marvin Ward,,T30,77,73,77,77,32,25,30,16,304,$250,-,bio - career - this year - this tournament
31,Charles Coe,,T32,74,77,76,78,12,33,30,17,305,,-,bio - career - this year - this tournament
32,Pat Fletcher,,T32,76,75,77,77,27,33,33,17,305,$250,-,bio - career - this year - this tournament
33,Chick Harbert,,T32,76,80,73,76,27,56,38,17,305,$250,-,bio - career - this year - this tournament
34,Al Mengert,,T32,79,71,78,77,54,25,33,17,305,$250,-,bio - career - this year - this tournament
35,Billy Burke,,T36,75,78,77,76,20,41,40,18,306,$250,-,bio - career - this year - this tournament
36,Bill Campbell,,T36,77,73,80,76,32,25,40,18,306,,-,bio - career - this year - this tournament
37,Bruce Cudd,,T36,75,74,79,78,20,20,33,18,306,,-,bio - career - this year - this tournament
38,Shelley Mayfield,,T36,77,73,80,76,32,25,40,18,306,$250,-,bio - career - this year - this tournament
39,Denny Shute,,T36,78,71,77,80,47,20,25,18,306,$250,-,bio - career - this year - this tournament
40,Henry Picard,,T41,78,79,75,75,47,60,49,19,307,$250,-,bio - career - this year - this tournament
41,Bob Toski,,T41,78,71,79,79,47,20,33,19,307,$250,-,bio - career - this year - this tournament
42,Marty Furgol,,T43,79,74,79,76,54,41,49,20,308,$250,-,bio - career - this year - this tournament
43,Leland Gibson,,T43,81,75,75,77,65,56,46,20,308,$250,-,bio - career - this year - this tournament
44,Rudy Horvath,,T43,79,77,76,76,54,56,49,20,308,$250,-,bio - career - this year - this tournament
45,James Jackson,,T43,79,75,77,77,54,49,46,20,308,,-,bio - career - this year - this tournament
46,"Earl Stewart, Jr.",,T43,78,80,72,78,47,63,40,20,308,$250,-,bio - career - this year - this tournament
47,Jim Turnesa,,48,77,75,79,78,32,36,46,21,309,$250,-,bio - career - this year - this tournament
48,Billy-Joe Patton,,T49,79,76,77,78,54,51,49,22,310,,-,bio - career - this year - this tournament
49,Johnny Revolta,,T49,75,78,79,78,20,41,49,22,310,$250,-,bio - career - this year - this tournament
50,John Weitzel,,T49,78,80,78,74,47,63,62,22,310,$250,-,bio - career - this year - this tournament
51,Lew Worsham,,T49,80,75,79,76,62,51,55,22,310,$250,-,bio - career - this year - this tournament
52,Dick Chapman,,T53,74,79,73,85,12,41,25,23,311,,-,bio - career - this year - this tournament
53,Vic Ghezzi,,T53,78,79,77,77,47,60,55,23,311,$250,-,bio - career - this year - this tournament
54,Ed Oliver Jr.,,T53,77,76,81,77,32,41,55,23,311,$250,-,bio - career - this year - this tournament
55,Jerry Barber,,T56,75,77,77,83,20,36,38,24,312,$250,-,bio - career - this year - this tournament
56,Herman Keiser,,T56,82,79,75,76,71,68,62,24,312,$250,-,bio - career - this year - this tournament
57,Rex Baxter,,58,74,76,80,83,12,25,40,25,313,,-,bio - career - this year - this tournament
58,Ted Lenczyk,,T59,77,80,77,81,32,60,55,27,315,,-,bio - career - this year - this tournament
59,Horton Smith,,T59,81,81,79,74,65,69,67,27,315,$250,-,bio - career - this year - this tournament
60,"Sam Parks, Jr.",,61,80,80,78,78,62,67,65,28,316,$250,-,bio - career - this year - this tournament
