,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Dustin Johnson,,Win,65,70,65,68,1,1,1,-20,268,"$2,070,000",10000,bio - career - this year - this tournament
1,Cameron Smith,,T2,67,68,69,69,6,1,2,-15,273,"$1,012,000",7300,bio - career - this year - this tournament
2,Sungjae Im,,T2,66,70,68,69,4,6,2,-15,273,"$1,012,000",7500,bio - career - this year - this tournament
3,Justin Thomas,,4,66,69,71,70,4,1,6,-12,276,"$552,000",10700,bio - career - this year - this tournament
4,Rory McIlroy,,T5,75,66,67,69,77,28,10,-11,277,"$437,000",10200,bio - career - this year - this tournament
5,Dylan Frittelli,,T5,65,73,67,72,1,14,5,-11,277,"$437,000",6500,bio - career - this year - this tournament
6,C.T. Pan,,T7,70,66,74,68,25,6,15,-10,278,"$358,417",6100,bio - career - this year - this tournament
7,Brooks Koepka,,T7,70,69,69,70,25,17,10,-10,278,"$358,417",9700,bio - career - this year - this tournament
8,Jon Rahm,,T7,69,66,72,71,18,1,7,-10,278,"$358,417",10500,bio - career - this year - this tournament
9,Webb Simpson,,T10,67,73,71,68,6,23,20,-9,279,"$287,500",9300,bio - career - this year - this tournament
10,Patrick Reed,,T10,68,68,71,72,10,6,7,-9,279,"$287,500",9200,bio - career - this year - this tournament
11,Corey Conners,,T10,74,65,71,69,70,17,15,-9,279,"$287,500",6600,bio - career - this year - this tournament
12,Kevin Na,,T13,73,68,69,70,61,28,15,-8,280,"$215,625",6700,bio - career - this year - this tournament
13,Marc Leishman,,T13,70,72,70,68,25,35,26,-8,280,"$215,625",6900,bio - career - this year - this tournament
14,Hideki Matsuyama,,T13,68,68,72,72,10,6,10,-8,280,"$215,625",8700,bio - career - this year - this tournament
15,Abraham Ancer,,T13,68,67,69,76,10,1,2,-8,280,"$215,625",7400,bio - career - this year - this tournament
16,Patrick Cantlay,,T17,70,66,73,72,25,6,14,-7,281,"$178,250",9600,bio - career - this year - this tournament
17,Xander Schauffele,,T17,67,73,71,70,6,23,20,-7,281,"$178,250",9800,bio - career - this year - this tournament
18,Tommy Fleetwood,,T19,71,66,71,74,42,11,10,-6,282,"$144,325",8600,bio - career - this year - this tournament
19,Scottie Scheffler,,T19,71,68,72,71,42,17,20,-6,282,"$144,325",7800,bio - career - this year - this tournament
20,Sebastian Munoz,,T19,70,68,69,75,25,14,7,-6,282,"$144,325",6700,bio - career - this year - this tournament
21,Cameron Champ,,T19,68,74,68,72,10,35,15,-6,282,"$144,325",7100,bio - career - this year - this tournament
22,Justin Rose,,T23,67,70,76,70,6,11,29,-5,283,"$115,000",7700,bio - career - this year - this tournament
23,Louis Oosthuizen,,T23,68,70,75,70,10,14,29,-5,283,"$115,000",7900,bio - career - this year - this tournament
24,Ian Poulter,,T25,72,71,71,70,54,43,36,-4,284,"$91,713",7000,bio - career - this year - this tournament
25,Charl Schwartzel,,T25,73,71,69,71,61,50,29,-4,284,"$91,713",6500,bio - career - this year - this tournament
26,Danny Willett,,T25,71,66,74,73,42,11,20,-4,284,"$91,713",7000,bio - career - this year - this tournament
27,Shane Lowry,,T25,74,69,68,73,70,43,20,-4,284,"$91,713",7300,bio - career - this year - this tournament
28,Bernhard Langer,,T29,68,73,73,71,10,28,36,-3,285,"$74,750",6100,bio - career - this year - this tournament
29,Nick Taylor,,T29,72,72,69,72,54,50,29,-3,285,"$74,750",6400,bio - career - this year - this tournament
30,Chez Reavie,,T29,71,72,72,70,42,43,44,-3,285,"$74,750",6500,bio - career - this year - this tournament
31,Sung Kang,,T29,75,69,71,70,77,50,44,-3,285,"$74,750",6300,bio - career - this year - this tournament
32,Rickie Fowler,,T29,70,70,75,70,25,23,44,-3,285,"$74,750",8100,bio - career - this year - this tournament
33,Adam Scott,,T34,70,72,71,73,25,35,29,-2,286,"$62,100",8900,bio - career - this year - this tournament
