,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Gary Player,,Win,72,72,69,64,8,16,10,-11,277,"$45,000",-,bio - career - this year - this tournament
1,Hubert Green,,T2,72,69,65,72,8,5,1,-10,278,"$21,667",-,bio - career - this year - this tournament
2,Rod Funseth,,T2,73,66,70,69,20,1,2,-10,278,"$21,667",-,bio - career - this year - this tournament
3,Tom Watson,,T2,73,68,68,69,20,5,2,-10,278,"$21,667",-,bio - career - this year - this tournament
4,Wally Armstrong,,T5,72,70,70,68,8,8,9,-8,280,"$11,750",-,bio - career - this year - this tournament
5,Billy Kratzert,,T5,70,74,67,69,3,16,5,-8,280,"$11,750",-,bio - career - this year - this tournament
6,Jack Nicklaus,,7,72,73,69,67,8,27,14,-7,281,"$10,000",-,bio - career - this year - this tournament
7,Hale Irwin,,8,73,67,71,71,20,3,5,-6,282,"$8,500",-,bio - career - this year - this tournament
8,Joe Inman,,T9,69,73,72,69,2,8,14,-5,283,"$6,750",-,bio - career - this year - this tournament
9,David Graham,,T9,75,69,67,72,44,16,5,-5,283,"$6,750",-,bio - career - this year - this tournament
10,Tom Weiskopf,,T11,72,71,70,71,8,13,10,-4,284,"$4,417",-,bio - career - this year - this tournament
11,Don January,,T11,72,70,72,70,8,8,14,-4,284,"$4,417",-,bio - career - this year - this tournament
12,Jerry McGee,,T11,71,73,71,69,5,16,20,-4,284,"$4,417",-,bio - career - this year - this tournament
13,Lee Trevino,,T14,70,69,72,74,3,1,5,-3,285,"$3,300",-,bio - career - this year - this tournament
14,Peter Oosterhuis,,T14,74,70,70,71,34,16,14,-3,285,"$3,300",-,bio - career - this year - this tournament
15,Lindy Miller,,T16,74,71,70,71,34,27,20,-2,286,,-,bio - career - this year - this tournament
16,Raymond Floyd,,T16,76,71,71,68,50,36,32,-2,286,"$2,950",-,bio - career - this year - this tournament
17,Jerry Pate,,T18,72,71,72,72,8,13,20,-1,287,"$2,550",-,bio - career - this year - this tournament
18,Gil Morgan,,T18,73,73,70,71,20,32,24,-1,287,"$2,550",-,bio - career - this year - this tournament
19,Tom Kite,,T18,71,74,71,71,5,27,24,-1,287,"$2,550",-,bio - career - this year - this tournament
20,Seve Ballesteros,,T18,74,71,68,74,34,27,10,-1,287,"$2,550",-,bio - career - this year - this tournament
21,Ed Sneed,,T18,74,70,70,73,34,16,14,-1,287,"$2,550",-,bio - career - this year - this tournament
22,Lanny Wadkins,,T18,74,70,73,70,34,16,29,-1,287,"$2,550",-,bio - career - this year - this tournament
23,Leonard Thompson,,T24,72,69,75,72,8,5,24,E,288,"$2,200",-,bio - career - this year - this tournament
24,Miller Barber,,T24,75,67,73,73,44,8,20,E,288,"$2,200",-,bio - career - this year - this tournament
25,Andy Bean,,T24,76,68,73,71,50,16,29,E,288,"$2,200",-,bio - career - this year - this tournament
26,Gene Littler,,T24,72,68,70,78,8,3,4,E,288,"$2,200",-,bio - career - this year - this tournament
27,Bobby Cole,,28,77,70,70,72,57,36,29,+1,289,"$2,000",-,bio - career - this year - this tournament
28,Mac McLendon,,T29,72,72,72,74,8,16,24,+2,290,"$1,975",-,bio - career - this year - this tournament
29,Bill Rogers,,T29,76,70,68,76,50,32,14,+2,290,"$1,975",-,bio - career - this year - this tournament
30,Gay Brewer,,T29,73,71,69,77,20,16,10,+2,290,"$1,975",-,bio - career - this year - this tournament
31,Terry Diehl,,T32,74,72,74,71,34,32,36,+3,291,"$1,950",-,bio - career - this year - this tournament
32,Jim Colbert,,T32,74,73,75,69,34,36,43,+3,291,"$1,950",-,bio - career - this year - this tournament
33,Andy North,,T32,73,76,72,70,20,50,38,+3,291,"$1,950",-,bio - career - this year - this tournament
34,Johnny Miller,,T32,77,72,72,70,57,50,38,+3,291,"$1,950",-,bio - career - this year - this tournament
35,Tommy Aaron,,36,73,74,71,74,20,36,32,+4,292,"$1,925",-,bio - career - this year - this tournament
36,Mike Hill,,T37,73,75,74,71,20,43,43,+5,293,"$1,900",-,bio - career - this year - this tournament
37,Ben Crenshaw,,T37,75,70,74,74,44,27,34,+5,293,"$1,900",-,bio - career - this year - this tournament
38,Arnold Palmer,,T37,73,69,74,77,20,8,24,+5,293,"$1,900",-,bio - career - this year - this tournament
39,Tom Purtzer,,T37,78,69,74,72,61,36,38,+5,293,"$1,900",-,bio - career - this year - this tournament
40,Lyn Lott,,41,72,76,71,75,8,43,34,+6,294,"$1,875",-,bio - career - this year - this tournament
41,Lee Elder,,T42,73,75,74,73,20,43,43,+7,295,"$1,850",-,bio - career - this year - this tournament
42,Al Geiberger,,T42,75,73,75,72,44,43,48,+7,295,"$1,850",-,bio - career - this year - this tournament
43,John Schlee,,T42,68,75,77,75,1,13,36,+7,295,"$1,850",-,bio - career - this year - this tournament
44,Vance Heafner,,T45,73,74,74,75,20,36,38,+8,296,,-,bio - career - this year - this tournament
45,Dave Hill,,T45,72,76,74,74,8,43,43,+8,296,"$1,825",-,bio - career - this year - this tournament
46,Jay Haas,,T47,74,73,74,76,34,36,38,+9,297,"$1,800",-,bio - career - this year - this tournament
47,Gary Hallberg,,T47,73,73,78,73,20,32,49,+9,297,,-,bio - career - this year - this tournament
