,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Craig StadlerPlayoff: Beat Dan Pohl with par on first extra hole,,Win,75,69,67,73,18,1,1,-4,284,"$64,000",-,bio - career - this year - this tournament
1,Dan PohlPlayoff: Lost to Craig Stadler who made par on first extra hole,,2,75,75,67,67,18,22,8,-4,284,"$39,000",-,bio - career - this year - this tournament
2,Seve Ballesteros,,T3,73,73,68,71,4,4,2,-3,285,"$21,000",-,bio - career - this year - this tournament
3,Jerry Pate,,T3,74,73,67,71,10,8,2,-3,285,"$21,000",-,bio - career - this year - this tournament
4,Tom Kite,,T5,76,69,73,69,32,3,11,-1,287,"$13,500",-,bio - career - this year - this tournament
5,Tom Watson,,T5,77,69,70,71,39,4,6,-1,287,"$13,500",-,bio - career - this year - this tournament
6,Raymond Floyd,,T7,74,72,69,74,10,4,4,1,289,"$11,067",-,bio - career - this year - this tournament
7,Curtis Strange,,T7,74,70,73,72,10,1,8,1,289,"$11,067",-,bio - career - this year - this tournament
8,Larry Nelson,,T7,79,71,70,69,53,22,16,1,289,"$11,067",-,bio - career - this year - this tournament
9,Mark Hayes,,T10,74,73,73,70,10,8,16,2,290,"$8,550",-,bio - career - this year - this tournament
10,Tom Weiskopf,,T10,75,72,68,75,18,8,4,2,290,"$8,550",-,bio - career - this year - this tournament
11,Andy Bean,,T10,75,72,73,70,18,8,16,2,290,"$8,550",-,bio - career - this year - this tournament
12,Fuzzy Zoeller,,T10,72,76,70,72,2,15,11,2,290,"$8,550",-,bio - career - this year - this tournament
13,Bob Gilder,,14,79,71,66,75,53,22,6,3,291,"$6,700",-,bio - career - this year - this tournament
14,Gary Player,,T15,74,73,71,74,10,8,11,4,292,"$5,850",-,bio - career - this year - this tournament
15,Yutaka Hagawa,,T15,75,74,71,72,18,19,16,4,292,"$5,850",-,bio - career - this year - this tournament
16,Jack Nicklaus,,T15,69,77,71,75,1,4,8,4,292,"$5,850",-,bio - career - this year - this tournament
17,Jim Simons,,T15,77,74,69,72,39,32,16,4,292,"$5,850",-,bio - career - this year - this tournament
18,David Graham,,19,73,77,70,73,4,22,16,5,293,"$5,000",-,bio - career - this year - this tournament
19,Jack Renner,,T20,72,75,76,71,2,8,28,6,294,"$4,300",-,bio - career - this year - this tournament
20,Bruce Lietzke,,T20,76,75,69,74,32,32,16,6,294,"$4,300",-,bio - career - this year - this tournament
21,Jodie Mudd,,T20,77,74,67,76,39,32,11,6,294,,-,bio - career - this year - this tournament
22,Peter Jacobsen,,T20,78,75,70,71,47,36,28,6,294,"$4,300",-,bio - career - this year - this tournament
23,Peter Oosterhuis,,T24,73,74,75,73,4,8,24,7,295,"$3,075",-,bio - career - this year - this tournament
24,Danny Edwards,,T24,75,74,74,72,18,19,28,7,295,"$3,075",-,bio - career - this year - this tournament
25,Morris Hatalsky,,T24,73,77,75,70,4,22,32,7,295,"$3,075",-,bio - career - this year - this tournament
26,John Schroeder,,T24,77,71,70,77,39,15,11,7,295,"$3,075",-,bio - career - this year - this tournament
27,Wayne Levi,,T24,77,76,72,70,39,36,32,7,295,"$3,075",-,bio - career - this year - this tournament
28,Ben Crenshaw,,T24,74,80,70,71,10,45,31,7,295,"$3,075",-,bio - career - this year - this tournament
29,Calvin Peete,,T30,77,72,73,74,39,19,24,8,296,"$2,475",-,bio - career - this year - this tournament
30,George Archer,,T30,79,74,72,71,53,36,32,8,296,"$2,475",-,bio - career - this year - this tournament
31,Ron Streck,,32,74,76,75,73,10,22,32,10,298,"$2,300",-,bio - career - this year - this tournament
32,Keith Fergus,,T33,76,74,72,77,32,22,24,11,299,"$2,100",-,bio - career - this year - this tournament
33,Lanny Wadkins,,T33,75,78,72,74,18,36,32,11,299,"$2,100",-,bio - career - this year - this tournament
34,George Burns,,T33,75,79,71,74,18,45,32,11,299,"$2,100",-,bio - career - this year - this tournament
35,Tommy Aaron,,T36,78,72,77,73,47,22,43,12,300,"$1,875",-,bio - career - this year - this tournament
36,Greg Norman,,T36,73,75,73,79,4,15,23,12,300,"$1,875",-,bio - career - this year - this tournament
37,Bill Rogers,,T38,77,77,77,70,39,45,46,13,301,"$1,667",-,bio - career - this year - this tournament
38,Lee Trevino,,T38,75,78,75,73,18,36,44,13,301,"$1,667",-,bio - career - this year - this tournament
39,Chi Chi Rodriguez,,T38,78,75,73,75,47,36,40,13,301,"$1,667",-,bio - career - this year - this tournament
40,Willie Wood,,T41,78,75,73,76,47,36,40,14,302,,-,bio - career - this year - this tournament
41,Jim Holtgrieve,,T41,74,76,72,80,10,22,24,14,302,,-,bio - career - this year - this tournament
42,Hubert Green,,43,76,72,77,78,32,15,32,15,303,"$1,500",-,bio - career - this year - this tournament
43,Jay Haas,,44,76,74,76,78,32,22,40,16,304,"$1,500",-,bio - career - this year - this tournament
44,Gay Brewer,,45,73,80,72,80,4,36,32,17,305,"$1,500",-,bio - career - this year - this tournament
