,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Mark O'Meara,,Win,74,70,68,67,25,9,2,-9,279,"$576,000",-,bio - career - this year - this tournament
1,Fred Couples,,T2,69,70,71,70,1,1,1,-8,280,"$281,600",-,bio - career - this year - this tournament
2,David Duval,,T2,71,68,74,67,5,1,5,-8,280,"$281,600",-,bio - career - this year - this tournament
3,Jim Furyk,,4,76,70,67,68,54,18,5,-7,281,"$153,600",-,bio - career - this year - this tournament
4,Paul Azinger,,5,71,72,69,70,5,4,2,-6,282,"$128,000",-,bio - career - this year - this tournament
5,Jack Nicklaus,,T6,73,72,70,68,18,11,10,-5,283,"$111,200",-,bio - career - this year - this tournament
6,David Toms,,T6,75,72,72,64,42,21,26,-5,283,"$111,200",-,bio - career - this year - this tournament
7,Tiger Woods,,T8,71,72,72,70,5,4,10,-3,285,"$89,600",-,bio - career - this year - this tournament
8,Justin Leonard,,T8,74,73,69,69,25,21,14,-3,285,"$89,600",-,bio - career - this year - this tournament
9,Colin Montgomerie,,T8,71,75,69,70,5,18,10,-3,285,"$89,600",-,bio - career - this year - this tournament
10,Darren Clarke,,T8,76,73,67,69,54,35,14,-3,285,"$89,600",-,bio - career - this year - this tournament
11,Jay Haas,,T12,72,71,71,72,11,4,7,-2,286,"$64,800",-,bio - career - this year - this tournament
12,Jose Maria Olazabal,,T12,70,73,71,72,2,4,7,-2,286,"$64,800",-,bio - career - this year - this tournament
13,Phil Mickelson,,T12,74,69,69,74,25,4,2,-2,286,"$64,800",-,bio - career - this year - this tournament
14,Per-Ulrik Johansson,,T12,74,75,67,70,25,35,14,-2,286,"$64,800",-,bio - career - this year - this tournament
15,Scott Hoch,,T16,70,71,73,73,2,3,7,-1,287,"$48,000",-,bio - career - this year - this tournament
16,Scott McCarron,,T16,73,71,72,71,18,9,14,-1,287,"$48,000",-,bio - career - this year - this tournament
17,Ian Woosnam,,T16,74,71,72,70,25,11,20,-1,287,"$48,000",-,bio - career - this year - this tournament
18,Mark Calcavecchia,,T16,74,74,69,70,25,27,20,-1,287,"$48,000",-,bio - career - this year - this tournament
19,Ernie Els,,T16,75,70,70,72,42,11,10,-1,287,"$48,000",-,bio - career - this year - this tournament
20,Willie Wood,,T21,74,74,70,70,25,27,23,E,288,"$38,400",-,bio - career - this year - this tournament
21,Matt Kuchar,,T21,72,76,68,72,11,27,14,E,288,,-,bio - career - this year - this tournament
22,Jeff Maggert,,T23,72,73,72,72,11,11,20,+1,289,"$33,280",-,bio - career - this year - this tournament
