,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Jimmy Demaret,,Win,67,72,70,71,2,1,1,-8,280,"$1,500",-,bio - career - this year - this tournament
1,Lloyd Mangrum,,2,64,75,71,74,1,1,2,-4,284,$800,-,bio - career - this year - this tournament
2,Byron Nelson,,3,69,72,74,70,3,3,6,-3,285,$600,-,bio - career - this year - this tournament
3,Harry Cooper,,T4,69,75,73,70,3,8,10,-1,287,$400,-,bio - career - this year - this tournament
4,Ed Dudley,,T4,73,72,71,71,16,10,7,-1,287,$400,-,bio - career - this year - this tournament
5,Willie Goggin,,T4,71,72,73,71,7,6,7,-1,287,$400,-,bio - career - this year - this tournament
6,Henry Picard,,T7,71,71,71,75,7,4,5,E,288,$200,-,bio - career - this year - this tournament
7,Sam Snead,,T7,71,72,69,76,7,6,3,E,288,$200,-,bio - career - this year - this tournament
8,Craig Wood,,T7,70,75,67,76,5,10,3,E,288,$200,-,bio - career - this year - this tournament
9,Ben Hogan,,T10,73,74,69,74,16,20,7,+2,290,$100,-,bio - career - this year - this tournament
10,Toney Penna,,T10,73,73,72,72,16,18,14,+2,290,$100,-,bio - career - this year - this tournament
11,Paul Runyan,,T12,72,73,72,74,12,10,10,+3,291,$50,-,bio - career - this year - this tournament
12,Frank Walsh,,T12,73,75,69,74,16,26,10,+3,291,$50,-,bio - career - this year - this tournament
13,Sam Byrd,,T14,73,74,72,73,16,20,20,+4,292,,-,bio - career - this year - this tournament
14,Johnny Farrell,,T14,76,72,70,74,40,26,14,+4,292,,-,bio - career - this year - this tournament
15,Ralph Guldahl,,T14,74,73,71,74,27,20,14,+4,292,,-,bio - career - this year - this tournament
16,Harold McSpaden,,T17,73,71,74,75,16,8,14,+5,293,,-,bio - career - this year - this tournament
17,Charles Yates,,T17,72,75,71,75,12,20,14,+5,293,,-,bio - career - this year - this tournament
18,Lawson Little,,T19,70,77,75,72,5,20,25,+6,294,,-,bio - career - this year - this tournament
19,Ed Oliver Jr.,,T19,73,75,74,72,16,26,25,+6,294,,-,bio - career - this year - this tournament
20,Johnny Bulla,,T21,73,73,74,75,16,18,21,+7,295,,-,bio - career - this year - this tournament
21,Dick Metz,,T21,71,74,75,75,7,10,21,+7,295,,-,bio - career - this year - this tournament
22,Gene Sarazen,,T21,74,71,77,73,27,10,25,+7,295,,-,bio - career - this year - this tournament
23,Bud Ward,,T21,74,68,75,78,27,4,10,+7,295,,-,bio - career - this year - this tournament
24,Al Watrous,,T21,75,70,73,77,35,10,14,+7,295,,-,bio - career - this year - this tournament
25,Jim Ferrier,,26,73,74,75,74,16,20,25,+8,296,,-,bio - career - this year - this tournament
26,Jimmy Hines,,T27,75,76,74,72,35,38,37,+9,297,,-,bio - career - this year - this tournament
27,Johnny Revolta,,T27,74,74,74,75,27,26,25,+9,297,,-,bio - career - this year - this tournament
28,Jim Foulis,,T29,74,75,73,76,27,32,25,+10,298,,-,bio - career - this year - this tournament
29,Tony Manero,,T29,75,75,73,75,35,34,32,+10,298,,-,bio - career - this year - this tournament
30,Dutch Harrison,,T31,72,76,74,77,12,26,25,+11,299,,-,bio - career - this year - this tournament
31,Frank Moore,,T31,76,72,73,78,40,26,23,+11,299,,-,bio - career - this year - this tournament
32,Chick Harbert,,T33,74,77,75,75,27,38,38,+13,301,,-,bio - career - this year - this tournament
33,Jules Huot,,T33,78,76,70,77,52,46,35,+13,301,,-,bio - career - this year - this tournament
34,Jimmy Thomson,,T33,77,76,70,78,47,42,32,+13,301,,-,bio - career - this year - this tournament
35,Wilford Wehrle,,T33,74,71,76,80,27,10,23,+13,301,,-,bio - career - this year - this tournament
36,Martin Pose,,37,77,76,74,75,47,42,40,+14,302,,-,bio - career - this year - this tournament
37,Tommy Armour,,38,71,74,78,80,7,10,32,+15,303,,-,bio - career - this year - this tournament
38,Vic Ghezzi,,T39,77,75,74,79,47,40,38,+17,305,,-,bio - career - this year - this tournament
39,William Holt Jr.,,T39,80,75,76,74,56,49,48,+17,305,,-,bio - career - this year - this tournament
40,Rod Munday,,T39,73,76,75,81,16,32,35,+17,305,,-,bio - career - this year - this tournament
41,Bob Sweeny,,T39,76,78,73,78,40,46,40,+17,305,,-,bio - career - this year - this tournament
42,Tommy-Suffern Tailer,,T39,79,74,74,78,54,42,40,+17,305,,-,bio - career - this year - this tournament
43,Chuck Kocsis,,44,76,79,74,77,40,49,45,+18,306,,-,bio - career - this year - this tournament
44,Art Doering,,45,76,79,76,76,40,49,48,+19,307,,-,bio - career - this year - this tournament
45,Felix Serafin,,46,85,72,80,71,59,55,54,+20,308,,-,bio - career - this year - this tournament
46,Horton Smith,,T47,76,76,80,77,40,40,53,+21,309,,-,bio - career - this year - this tournament
47,William Turnesa,,T47,76,74,81,78,40,34,48,+21,309,,-,bio - career - this year - this tournament
48,Ray Billows,,49,75,83,71,81,35,56,45,+22,310,,-,bio - career - this year - this tournament
