,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Tiger Woods,,Win,70,69,66,71,7,4,1,-12,276,"$1,008,000",-,bio - career - this year - this tournament
1,Retief Goosen,,2,69,67,69,74,4,2,1,-9,279,"$604,800",-,bio - career - this year - this tournament
2,Phil Mickelson,,3,69,72,68,71,4,9,4,-8,280,"$380,800",-,bio - career - this year - this tournament
3,Jose Maria Olazabal,,4,70,69,71,71,7,4,7,-7,281,"$268,800",-,bio - career - this year - this tournament
4,Padraig Harrington,,T5,69,70,72,71,4,4,8,-6,282,"$212,800",-,bio - career - this year - this tournament
5,Ernie Els,,T5,70,67,72,73,7,3,4,-6,282,"$212,800",-,bio - career - this year - this tournament
6,Vijay Singh,,7,70,65,72,76,7,1,3,-5,283,"$187,600",-,bio - career - this year - this tournament
7,Sergio Garcia,,8,68,71,70,75,2,4,4,-4,284,"$173,600",-,bio - career - this year - this tournament
8,Adam Scott,,T9,71,72,72,70,18,16,13,-3,285,"$151,200",-,bio - career - this year - this tournament
9,Angel Cabrera,,T9,68,71,73,73,2,4,10,-3,285,"$151,200",-,bio - career - this year - this tournament
10,Miguel A. Jimenez,,T9,70,71,74,70,7,9,13,-3,285,"$151,200",-,bio - career - this year - this tournament
11,Chris DiMarco,,T12,70,71,72,73,7,9,11,-2,286,"$123,200",-,bio - career - this year - this tournament
12,Brad Faxon,,T12,71,75,69,71,18,30,13,-2,286,"$123,200",-,bio - career - this year - this tournament
13,Davis Love III,,T14,67,75,74,71,1,13,17,-1,287,"$98,000",-,bio - career - this year - this tournament
14,Nick Faldo,,T14,75,67,73,72,53,13,13,-1,287,"$98,000",-,bio - career - this year - this tournament
15,Colin Montgomerie,,T14,75,71,70,71,53,30,17,-1,287,"$98,000",-,bio - career - this year - this tournament
16,Shigeki Maruyama,,T14,75,72,73,67,53,39,36,-1,287,"$98,000",-,bio - career - this year - this tournament
17,Paul McGinley,,T18,72,74,71,71,22,30,22,E,288,"$81,200",-,bio - career - this year - this tournament
18,Thomas Bjorn,,T18,74,67,70,77,38,9,8,E,288,"$81,200",-,bio - career - this year - this tournament
19,Darren Clarke,,T20,70,74,73,72,7,20,22,+1,289,"$65,240",-,bio - career - this year - this tournament
20,Jerry Kelly,,T20,72,74,71,72,22,30,22,+1,289,"$65,240",-,bio - career - this year - this tournament
21,Justin Leonard,,T20,70,75,74,70,7,23,32,+1,289,"$65,240",-,bio - career - this year - this tournament
22,Nick Price,,T20,70,76,70,73,7,30,17,+1,289,"$65,240",-,bio - career - this year - this tournament
23,Jeff Sluman,,T24,73,72,71,74,25,23,17,+2,290,"$46,480",-,bio - career - this year - this tournament
24,Stewart Cink,,T24,74,70,72,74,38,20,17,+2,290,"$46,480",-,bio - career - this year - this tournament
25,Tom Pernice Jr.,,T24,74,72,71,73,38,30,22,+2,290,"$46,480",-,bio - career - this year - this tournament
26,Mark Brooks,,T24,74,72,71,73,38,30,22,+2,290,"$46,480",-,bio - career - this year - this tournament
27,Mike Weir,,T24,72,71,71,76,22,16,12,+2,290,"$46,480",-,bio - career - this year - this tournament
28,Charles Howell III,,T29,74,73,71,73,38,39,29,+3,291,"$38,080",-,bio - career - this year - this tournament
29,Robert Allenby,,T29,73,70,76,72,25,16,32,+3,291,"$38,080",-,bio - career - this year - this tournament
30,Jesper Parnevik,,T29,70,72,77,72,7,13,32,+3,291,"$38,080",-,bio - career - this year - this tournament
31,Bernhard Langer,,T32,73,72,73,74,25,23,29,+4,292,"$32,410",-,bio - career - this year - this tournament
32,Billy Mayfair,,T32,74,71,72,75,38,23,22,+4,292,"$32,410",-,bio - career - this year - this tournament
33,John Daly,,T32,74,73,70,75,38,39,22,+4,292,"$32,410",-,bio - career - this year - this tournament
34,Craig Stadler,,T32,73,72,76,71,25,23,39,+4,292,"$32,410",-,bio - career - this year - this tournament
35,Greg Norman,,T36,71,76,72,75,18,39,32,+6,294,"$26,950",-,bio - career - this year - this tournament
36,Fred Couples,,T36,73,73,76,72,25,30,42,+6,294,"$26,950",-,bio - career - this year - this tournament
37,David Toms,,T36,73,74,76,71,25,39,44,+6,294,"$26,950",-,bio - career - this year - this tournament
38,Rocco Mediate,,T36,75,68,77,74,53,16,36,+6,294,"$26,950",-,bio - career - this year - this tournament
39,Tom Watson,,T40,71,76,76,72,18,39,44,+7,295,"$22,960",-,bio - career - this year - this tournament
40,Steve Lowery,,T40,75,71,76,73,53,30,42,+7,295,"$22,960",-,bio - career - this year - this tournament
41,Kirk Triplett,,T40,74,70,74,77,38,20,29,+7,295,"$22,960",-,bio - career - this year - this tournament
42,Scott Verplank,,43,70,75,76,75,7,23,39,+8,296,"$20,720",-,bio - career - this year - this tournament
43,Lee Westwood,,44,75,72,74,76,53,39,39,+9,297,"$19,600",-,bio - career - this year - this tournament
44,Bob Estes,,45,73,72,75,78,25,23,36,+10,298,"$18,480",-,bio - career - this year - this tournament
45,Larry Mize,,CUT,74,74,0,0,38,46,0,+4,148,,-,bio - career - this year - this tournament
46,Joe Durant,,CUT,74,74,0,0,38,46,0,+4,148,,-,bio - career - this year - this tournament
47,Michael Campbell,,CUT,74,74,0,0,38,46,0,+4,148,,-,bio - career - this year - this tournament
48,David Duval,,CUT,74,74,0,0,38,46,0,+4,148,,-,bio - career - this year - this tournament
49,Rory Sabbatini,,CUT,73,75,0,0,25,46,0,+4,148,,-,bio - career - this year - this tournament
50,Michael Hoey,,CUT,75,73,0,0,53,46,0,+4,148,,-,bio - career - this year - this tournament
51,Scott McCarron,,CUT,75,73,0,0,53,46,0,+4,148,,-,bio - career - this year - this tournament
52,Paul Azinger,,CUT,75,73,0,0,53,46,0,+4,148,,-,bio - career - this year - this tournament
53,Tom Lehman,,CUT,76,72,0,0,67,46,0,+4,148,,-,bio - career - this year - this tournament
54,Kevin Sutherland,,CUT,78,70,0,0,75,46,0,+4,148,,-,bio - career - this year - this tournament
55,Lee Janzen,,CUT,74,75,0,0,38,56,0,+5,149,,-,bio - career - this year - this tournament
56,Paul Lawrie,,CUT,75,74,0,0,53,56,0,+5,149,,-,bio - career - this year - this tournament
57,Toshi Izawa,,CUT,73,76,0,0,25,56,0,+5,149,,-,bio - career - this year - this tournament
58,Mark O'Meara,,CUT,78,71,0,0,75,56,0,+5,149,,-,bio - career - this year - this tournament
59,Mark Calcavecchia,,CUT,79,70,0,0,78,56,0,+5,149,,-,bio - career - this year - this tournament
60,Billy Andrade,,CUT,75,75,0,0,53,61,0,+6,150,,-,bio - career - this year - this tournament
61,Kenny Perry,,CUT,76,74,0,0,67,61,0,+6,150,,-,bio - career - this year - this tournament
62,Matt Kuchar,,CUT,73,77,0,0,25,61,0,+6,150,,-,bio - career - this year - this tournament
63,Jim Furyk,,CUT,73,77,0,0,25,61,0,+6,150,,-,bio - career - this year - this tournament
64,Tom Kite,,CUT,77,73,0,0,72,61,0,+6,150,,-,bio - career - this year - this tournament
65,Shingo Katayama,,CUT,78,72,0,0,75,61,0,+6,150,,-,bio - career - this year - this tournament
66,Bubba Dickerson,,CUT,79,71,0,0,78,61,0,+6,150,,-,bio - career - this year - this tournament
67,Toru Taniguchi,,CUT,80,70,0,0,82,61,0,+6,150,,-,bio - career - this year - this tournament
68,Steve Stricker,,CUT,75,76,0,0,53,69,0,+7,151,,-,bio - career - this year - this tournament
69,Niclas Fasth,,CUT,76,75,0,0,67,69,0,+7,151,,-,bio - career - this year - this tournament
70,Scott Hoch,,CUT,76,75,0,0,67,69,0,+7,151,,-,bio - career - this year - this tournament
71,Fuzzy Zoeller,,CUT,75,77,0,0,53,72,0,+8,152,,-,bio - career - this year - this tournament
72,Craig Perks,,CUT,81,71,0,0,85,72,0,+8,152,,-,bio - career - this year - this tournament
73,Jose Coceres,,CUT,74,79,0,0,38,74,0,+9,153,,-,bio - career - this year - this tournament
