,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,"Sam SneadPlayoff: Beat Ben Hogan in a 18 hole playoff - Snead 70, Hogan 71",,Win,74,73,70,72,17,5,2,1,289,"$5,000",-,bio - career - this year - this tournament
1,"Ben HoganPlayoff: Lost to Sam Snead in a 18 hole playoff - Snead 70, Hogan 71",,2,72,73,69,75,5,2,1,1,289,"$3,175",-,bio - career - this year - this tournament
2,Billy-Joe Patton,,3,70,74,75,71,1,1,3,2,290,,-,bio - career - this year - this tournament
3,Dutch Harrison,,T4,70,79,74,68,1,13,12,3,291,"$1,937",-,bio - career - this year - this tournament
4,Lloyd Mangrum,,T4,71,75,76,69,3,3,8,3,291,"$1,937",-,bio - career - this year - this tournament
5,Jerry Barber,,T6,74,76,71,71,17,17,6,4,292,"$1,041",-,bio - career - this year - this tournament
6,Jack Burke Jr.,,T6,71,77,73,71,3,7,6,4,292,"$1,041",-,bio - career - this year - this tournament
7,Bob Rosburg,,T6,73,73,76,70,7,3,8,4,292,"$1,041",-,bio - career - this year - this tournament
8,Al Besselink,,T9,74,74,74,72,17,7,8,6,294,$781,-,bio - career - this year - this tournament
9,Cary Middlecoff,,T9,73,76,70,75,7,13,3,6,294,$781,-,bio - career - this year - this tournament
10,Dick Chapman,,11,75,75,75,70,24,17,22,7,295,,-,bio - career - this year - this tournament
11,Tommy Bolt,,T12,73,74,72,77,7,5,3,8,296,$631,-,bio - career - this year - this tournament
12,Chick Harbert,,T12,73,75,75,73,7,7,12,8,296,$631,-,bio - career - this year - this tournament
13,Byron Nelson,,T12,73,76,74,73,7,13,12,8,296,$631,-,bio - career - this year - this tournament
14,Lew Worsham,,T12,74,74,74,74,17,7,8,8,296,$631,-,bio - career - this year - this tournament
15,Julius Boros,,T16,76,79,68,74,32,46,12,9,297,$562,-,bio - career - this year - this tournament
16,Jay Hebert,,T16,79,74,74,70,56,34,31,9,297,$562,-,bio - career - this year - this tournament
17,Peter Thomson,,T16,76,72,76,73,32,7,18,9,297,$562,-,bio - career - this year - this tournament
18,Ken Venturi,,T16,76,74,73,74,32,17,12,9,297,,-,bio - career - this year - this tournament
19,Charles Coe,,T20,76,75,73,74,32,22,18,10,298,,-,bio - career - this year - this tournament
20,Harvie Ward Jr,,T20,78,75,74,71,47,34,31,10,298,,-,bio - career - this year - this tournament
21,Walter Burkemo,,T22,74,77,75,73,17,22,28,11,299,$442,-,bio - career - this year - this tournament
22,Pete Cooper,,T22,73,76,75,75,7,13,18,11,299,$442,-,bio - career - this year - this tournament
23,Marty Furgol,,T22,76,79,75,69,32,46,47,11,299,$442,-,bio - career - this year - this tournament
24,Gene Littler,,T22,79,75,73,72,56,38,31,11,299,$442,-,bio - career - this year - this tournament
25,Ed Oliver Jr.,,T22,75,75,75,74,24,17,22,11,299,$442,-,bio - career - this year - this tournament
26,"Earl Stewart, Jr.",,T22,78,75,75,71,47,34,39,11,299,$442,-,bio - career - this year - this tournament
27,Bob Toski,,T22,80,74,71,74,62,38,22,11,299,$442,-,bio - career - this year - this tournament
28,Jimmy Demaret,,T29,80,75,72,73,62,46,31,12,300,$333,-,bio - career - this year - this tournament
29,Vic Ghezzi,,T29,73,79,73,75,7,27,22,12,300,$333,-,bio - career - this year - this tournament
30,Dick Mayer,,T29,76,75,72,77,32,22,12,12,300,$333,-,bio - career - this year - this tournament
31,Gardner Dickinson,,32,73,78,76,74,7,22,31,13,301,$250,-,bio - career - this year - this tournament
32,Jimmy Clark,,T33,76,82,72,72,32,62,47,14,302,$250,-,bio - career - this year - this tournament
33,George Fazio,,T33,78,79,74,71,47,55,52,14,302,$250,-,bio - career - this year - this tournament
34,Doug Ford,,T33,77,78,74,73,44,46,42,14,302,$250,-,bio - career - this year - this tournament
35,"Fred Haas, Jr.",,T33,76,78,78,70,32,38,54,14,302,$250,-,bio - career - this year - this tournament
36,Johnny Palmer,,T33,75,81,77,69,24,53,57,14,302,$250,-,bio - career - this year - this tournament
37,Clarence Doser,,T38,74,78,72,79,17,27,18,15,303,$250,-,bio - career - this year - this tournament
38,Lawson Little,,T38,76,77,74,76,32,34,31,15,303,$250,-,bio - career - this year - this tournament
39,Al Mengert,,T38,76,79,73,75,32,46,39,15,303,$250,-,bio - career - this year - this tournament
40,Skee Riegel,,T38,75,76,76,76,24,22,31,15,303,$250,-,bio - career - this year - this tournament
41,Horton Smith,,T38,80,78,71,74,62,62,42,15,303,$250,-,bio - career - this year - this tournament
42,Billy Maxwell,,T43,75,77,77,75,24,27,42,16,304,$250,-,bio - career - this year - this tournament
43,Frank Stranahan,,T43,79,75,72,78,56,38,28,16,304,,-,bio - career - this year - this tournament
44,Felice Torza,,T43,74,78,74,78,17,27,28,16,304,$250,-,bio - career - this year - this tournament
45,Skip Alexander,,T46,80,77,73,75,62,55,47,17,305,$250,-,bio - career - this year - this tournament
46,Bruce Cudd,,T46,76,78,73,78,32,38,31,17,305,,-,bio - career - this year - this tournament
47,Leland Gibson,,T46,75,77,78,75,24,27,47,17,305,$250,-,bio - career - this year - this tournament
48,Bud Holscher,,T46,78,77,73,77,47,46,39,17,305,$250,-,bio - career - this year - this tournament
49,Bill Nary,,T46,78,74,78,75,47,27,47,17,305,$250,-,bio - career - this year - this tournament
50,Bill Campbell,,T51,73,77,75,81,7,17,22,18,306,,-,bio - career - this year - this tournament
51,Ted Kroll,,T51,78,76,75,77,47,38,42,18,306,$250,-,bio - career - this year - this tournament
52,Arnold Blum,,T53,75,82,75,75,24,55,54,19,307,,-,bio - career - this year - this tournament
53,Dave Douglas,,T53,72,76,77,82,5,7,22,19,307,$250,-,bio - career - this year - this tournament
54,Claude Harmon,,T53,77,75,77,78,44,27,42,19,307,$250,-,bio - career - this year - this tournament
55,Jack Isaacs,,T53,76,79,76,76,32,46,52,19,307,$250,-,bio - career - this year - this tournament
56,Gene Sarazen,,T53,79,75,78,75,56,38,54,19,307,$250,-,bio - career - this year - this tournament
57,Don Cherry,,T58,80,79,74,76,62,67,57,21,309,,-,bio - career - this year - this tournament
58,Fred Hawkins,,T58,78,80,76,75,47,62,59,21,309,$250,-,bio - career - this year - this tournament
59,Bill Ogden,,T60,81,76,77,76,68,55,59,22,310,$250,-,bio - career - this year - this tournament
60,Johnny Revolta,,T60,81,79,75,75,68,68,62,22,310,$250,-,bio - career - this year - this tournament
61,Jim Turnesa,,T60,83,79,75,73,71,71,65,22,310,$250,-,bio - career - this year - this tournament
62,Bob Sweeny,,63,81,76,79,76,68,55,63,24,312,,-,bio - career - this year - this tournament
63,James Jackson,,T64,75,82,79,78,24,55,63,26,314,,-,bio - career - this year - this tournament
64,Robert Kuntz,,T64,80,77,82,75,62,55,66,26,314,,-,bio - career - this year - this tournament
65,Jimmy Mchale,,66,78,82,79,76,47,68,66,27,315,,-,bio - career - this year - this tournament
66,Don Albert,,67,77,79,83,77,44,53,66,28,316,,-,bio - career - this year - this tournament
67,Angelo Santilli,,T68,79,81,82,75,56,68,70,29,317,,-,bio - career - this year - this tournament
68,Denny Shute,,T68,73,85,82,77,7,62,69,29,317,$250,-,bio - career - this year - this tournament
69,Raymond Palmer,,70,84,78,80,77,74,71,70,31,319,,-,bio - career - this year - this tournament
70,Craig Wood,,71,87,80,78,75,76,74,73,32,320,$250,-,bio - career - this year - this tournament
71,"Sam Parks, Jr.",,72,86,79,79,80,75,73,72,36,324,$250,-,bio - career - this year - this tournament
72,Jock Hutchison Jr,,WD,0,0,0,0,0,0,0,0,0,,-,bio - career - this year - this tournament
73,Fred McLeod,,WD,0,0,0,0,0,0,0,0,0,,-,bio - career - this year - this tournament
74,Jess Sweetser,,WD,79,0,0,0,56,0,0,7,79,,-,bio - career - this year - this tournament
75,Jim Ferrier,,WD,78,76,0,0,47,38,0,10,154,,-,bio - career - this year - this tournament
76,Chandler Harper,,WD,83,0,0,0,71,0,0,11,83,,-,bio - career - this year - this tournament
77,Frank Souchak,,WD,90,0,0,0,77,0,0,18,90,,-,bio - career - this year - this tournament
78,Dale Morey,,WD,83,75,76,0,71,62,59,18,234,,-,bio - career - this year - this tournament
